year,bula_h,regtyp,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Schleswig-Holstein,Urban regions,No,0.84818,60,60,0.75661,0.93975
1995,Schleswig-Holstein,Rural regions,No,0.82801,64,64,0.73483,0.92120
1995,Hamburg,Urban regions,No,0.89452,73,73,0.82357,0.96547
1995,Lower Saxony,Urban regions,No,0.90564,247,247,0.86911,0.94217
1995,Lower Saxony,Rural regions,No,0.82791,221,221,0.77803,0.87779
1995,Bremen,Urban regions,No,0.83318,46,46,0.72425,0.94211
1995,North Rhine-Westphalia,Urban regions,Yes,0.04654,73,1194,0.03459,0.05849
1995,North Rhine-Westphalia,Urban regions,No,0.89282,1121,1194,0.87527,0.91038
1995,Hesse,Urban regions,No,0.90747,366,366,0.87774,0.93720
1995,Hesse,Rural regions,No,0.90874,66,66,0.83873,0.97875
1995,"Rhineland-Palatinate, Saarland",Urban regions,No,0.90225,257,257,0.86587,0.93863
1995,"Rhineland-Palatinate, Saarland",Rural regions,No,0.92481,57,57,0.85574,0.99388
1995,Baden-Wuerttemberg,Urban regions,Yes,0.05367,44,720,0.03720,0.07014
1995,Baden-Wuerttemberg,Urban regions,No,0.88962,676,720,0.86671,0.91252
1995,Baden-Wuerttemberg,Rural regions,No,0.82002,98,98,0.74357,0.89648
1995,Bavaria,Urban regions,No,0.90769,412,412,0.87971,0.93568
1995,Bavaria,Rural regions,No,0.91199,374,374,0.88324,0.94074
1995,Berlin,Urban regions,No,0.85822,272,272,0.81669,0.89976
1995,Brandenburg,Rural regions,No,0.81613,223,223,0.76518,0.86709
1995,Mecklenburg-Western Pomerania,Rural regions,No,0.80813,147,147,0.74425,0.87200
1995,Saxony,Urban regions,No,0.84772,245,245,0.80264,0.89280
1995,Saxony,Rural regions,No,0.82645,206,206,0.77460,0.87829
1995,Saxony-Anhalt,Urban regions,No,0.92731,60,60,0.86107,0.99356
1995,Saxony-Anhalt,Rural regions,No,0.88930,234,234,0.84901,0.92959
1995,Thuringa,Urban regions,No,0.84450,78,78,0.76356,0.92544
1995,Thuringa,Rural regions,No,0.78460,178,178,0.72403,0.84516
1996,Schleswig-Holstein,Urban regions,No,0.84365,58,58,0.74936,0.93794
1996,Schleswig-Holstein,Rural regions,No,0.88511,68,68,0.80875,0.96147
1996,Hamburg,Urban regions,No,0.88399,70,70,0.80843,0.95955
1996,Lower Saxony,Urban regions,No,0.87483,243,243,0.83314,0.91652
1996,Lower Saxony,Rural regions,No,0.86439,219,219,0.81894,0.90984
1996,Bremen,Urban regions,No,0.91787,47,47,0.83852,0.99721
1996,North Rhine-Westphalia,Urban regions,Yes,0.03716,61,1200,0.02646,0.04787
1996,North Rhine-Westphalia,Urban regions,No,0.89945,1139,1200,0.88242,0.91647
1996,Hesse,Urban regions,No,0.87593,339,339,0.84079,0.91108
1996,Hesse,Rural regions,No,0.88163,66,66,0.80309,0.96016
1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.87905,254,254,0.83887,0.91923
1996,"Rhineland-Palatinate, Saarland",Rural regions,No,0.92764,53,53,0.85722,0.99806
1996,Baden-Wuerttemberg,Urban regions,Yes,0.04045,38,699,0.02583,0.05506
1996,Baden-Wuerttemberg,Urban regions,No,0.87709,661,699,0.85273,0.90145
1996,Baden-Wuerttemberg,Rural regions,No,0.90566,97,97,0.84719,0.96413
1996,Bavaria,Urban regions,No,0.90050,397,397,0.87102,0.92999
1996,Bavaria,Rural regions,No,0.84960,369,369,0.81307,0.88612
1996,Berlin,Urban regions,No,0.86348,269,269,0.82237,0.90458
1996,Brandenburg,Rural regions,No,0.87625,247,247,0.83510,0.91740
1996,Mecklenburg-Western Pomerania,Rural regions,No,0.81596,143,143,0.75222,0.87970
1996,Saxony,Urban regions,No,0.86033,254,254,0.81761,0.90304
1996,Saxony,Rural regions,No,0.84037,216,216,0.79141,0.88933
1996,Saxony-Anhalt,Urban regions,No,0.82997,61,61,0.73492,0.92503
1996,Saxony-Anhalt,Rural regions,No,0.86605,213,213,0.82020,0.91190
1996,Thuringa,Urban regions,No,0.82128,78,78,0.73570,0.90685
1996,Thuringa,Rural regions,No,0.79208,194,194,0.73483,0.84934
1997,Schleswig-Holstein,Urban regions,No,0.89874,56,56,0.81901,0.97847
1997,Schleswig-Holstein,Rural regions,No,0.88321,66,66,0.80513,0.96129
1997,Hamburg,Urban regions,No,0.81382,66,66,0.71919,0.90845
1997,Lower Saxony,Urban regions,No,0.86626,235,235,0.82265,0.90988
1997,Lower Saxony,Rural regions,No,0.75629,216,216,0.69890,0.81368
1997,Bremen,Urban regions,No,0.87948,46,46,0.78435,0.97460
