year,quintil_oecd_hh,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,1st Quintile,Yes,0.23397,338,1307,0.21101,0.25693
1995,1st Quintile,No,0.69622,969,1307,0.67128,0.72117
1995,2nd Quintile,Yes,0.04968,77,1376,0.03819,0.06116
1995,2nd Quintile,No,0.88682,1299,1376,0.87007,0.90356
1995,3rd Quintile,No,0.92797,1302,1302,0.91392,0.94202
1995,4th Quintile,No,0.94217,1201,1201,0.92896,0.95538
1995,5th Quintile,No,0.94520,1071,1071,0.93157,0.95884
1996,1st Quintile,Yes,0.20678,300,1303,0.18478,0.22878
1996,1st Quintile,No,0.70735,1003,1303,0.68263,0.73206
1996,2nd Quintile,Yes,0.03031,58,1309,0.02102,0.03960
1996,2nd Quintile,No,0.88693,1251,1309,0.86976,0.90409
1996,3rd Quintile,No,0.91308,1279,1279,0.89764,0.92853
1996,4th Quintile,No,0.92856,1208,1208,0.91403,0.94309
1996,5th Quintile,No,0.94537,1075,1075,0.93178,0.95896
1997,1st Quintile,Yes,0.17954,259,1243,0.15819,0.20088
1997,1st Quintile,No,0.73625,984,1243,0.71175,0.76076
1997,2nd Quintile,Yes,0.03818,55,1301,0.02777,0.04860
1997,2nd Quintile,No,0.87352,1246,1301,0.85545,0.89159
1997,3rd Quintile,No,0.91058,1275,1275,0.89491,0.92625
1997,4th Quintile,No,0.93036,1223,1223,0.91609,0.94463
1997,5th Quintile,No,0.93952,1046,1046,0.92507,0.95398
1998,1st Quintile,Yes,0.20459,312,1434,0.18371,0.22548
1998,1st Quintile,No,0.74336,1122,1434,0.72075,0.76598
1998,2nd Quintile,Yes,0.03858,66,1496,0.02882,0.04835
1998,2nd Quintile,No,0.90513,1430,1496,0.89028,0.91999
1998,3rd Quintile,No,0.92798,1432,1432,0.91459,0.94138
1998,4th Quintile,No,0.96372,1439,1439,0.95406,0.97339
1998,5th Quintile,No,0.96170,1261,1261,0.95110,0.97230
1999,1st Quintile,Yes,0.18825,296,1506,0.16850,0.20800
1999,1st Quintile,No,0.81175,1210,1506,0.79200,0.83150
1999,2nd Quintile,Yes,0.03088,45,1523,0.02219,0.03957
1999,2nd Quintile,No,0.96912,1478,1523,0.96043,0.97781
1999,3rd Quintile,No,0.98849,1466,1466,0.98303,0.99395
1999,4th Quintile,No,0.99488,1373,1373,0.99111,0.99866
1999,5th Quintile,No,0.99669,1233,1233,0.99348,0.99990
2000,1st Quintile,Yes,0.16444,449,2554,0.15006,0.17881
