year,quintil_oecd_hh,sampreg,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,1st Quintile,West,Yes,0.21156,202,879,0.18454,0.23857
1995,1st Quintile,West,No,0.71043,677,879,0.68043,0.74043
1995,1st Quintile,East,Yes,0.29983,136,428,0.25637,0.34329
1995,1st Quintile,East,No,0.65447,292,428,0.60936,0.69958
1995,2nd Quintile,West,Yes,0.03935,37,868,0.02641,0.05229
1995,2nd Quintile,West,No,0.88973,831,868,0.86888,0.91058
1995,2nd Quintile,East,Yes,0.07585,40,508,0.05280,0.09890
1995,2nd Quintile,East,No,0.87943,468,508,0.85109,0.90777
1995,3rd Quintile,West,No,0.93215,926,926,0.91595,0.94836
1995,3rd Quintile,East,No,0.91003,376,376,0.88107,0.93899
1995,4th Quintile,West,No,0.94002,937,937,0.92481,0.95524
1995,4th Quintile,East,No,0.95645,264,264,0.93178,0.98111
1995,5th Quintile,West,No,0.94718,952,952,0.93297,0.96140
1995,5th Quintile,East,No,0.91485,119,119,0.86449,0.96521
1996,1st Quintile,West,Yes,0.18297,183,886,0.15749,0.20844
1996,1st Quintile,West,No,0.71717,703,886,0.68749,0.74684
1996,1st Quintile,East,Yes,0.27734,117,417,0.23431,0.32036
1996,1st Quintile,East,No,0.67825,300,417,0.63335,0.72314
1996,2nd Quintile,West,No,0.88290,812,812,0.86077,0.90503
1996,2nd Quintile,East,No,0.89909,439,439,0.87088,0.92730
1996,3rd Quintile,West,No,0.91591,882,882,0.89759,0.93424
1996,3rd Quintile,East,No,0.90238,397,397,0.87315,0.93161
1996,4th Quintile,West,No,0.93078,936,936,0.91451,0.94705
1996,4th Quintile,East,No,0.91388,272,272,0.88048,0.94729
1996,5th Quintile,West,No,0.94389,922,922,0.92903,0.95875
1996,5th Quintile,East,No,0.96471,153,153,0.93538,0.99404
1997,1st Quintile,West,Yes,0.17235,180,857,0.14705,0.19766
1997,1st Quintile,West,No,0.73803,677,857,0.70858,0.76749
1997,1st Quintile,East,Yes,0.20113,79,386,0.16109,0.24117
1997,1st Quintile,East,No,0.73091,307,386,0.68661,0.77521
1997,2nd Quintile,West,Yes,0.03724,35,845,0.02447,0.05002
1997,2nd Quintile,West,No,0.87388,810,845,0.85148,0.89628
1997,2nd Quintile,East,No,0.87247,436,436,0.84112,0.90382
1997,3rd Quintile,West,No,0.90931,876,876,0.89029,0.92834
1997,3rd Quintile,East,No,0.91551,399,399,0.88819,0.94283
1997,4th Quintile,West,No,0.92848,932,932,0.91193,0.94503
1997,4th Quintile,East,No,0.94192,291,291,0.91500,0.96884
1997,5th Quintile,West,No,0.93963,906,906,0.92411,0.95515
1997,5th Quintile,East,No,0.93809,140,140,0.89802,0.97815
1998,1st Quintile,West,Yes,0.17844,191,1026,0.15500,0.20188
1998,1st Quintile,West,No,0.76956,835,1026,0.74378,0.79534
1998,1st Quintile,East,Yes,0.29390,121,408,0.24964,0.33816
1998,1st Quintile,East,No,0.65392,287,408,0.60770,0.70013
1998,2nd Quintile,West,Yes,0.03899,43,1018,0.02709,0.05089
1998,2nd Quintile,West,No,0.90359,975,1018,0.88544,0.92173
1998,2nd Quintile,East,No,0.90991,455,455,0.88358,0.93625
1998,3rd Quintile,West,No,0.93205,982,982,0.91631,0.94780
1998,3rd Quintile,East,No,0.91340,450,450,0.88739,0.93942
1998,4th Quintile,West,No,0.96537,1094,1094,0.95453,0.97621
1998,4th Quintile,East,No,0.95471,345,345,0.93274,0.97669
1998,5th Quintile,West,No,0.96414,1095,1095,0.95312,0.97516
1998,5th Quintile,East,No,0.93180,166,166,0.89334,0.97027
1999,1st Quintile,West,Yes,0.15994,167,1026,0.13750,0.18238
1999,1st Quintile,West,No,0.84006,859,1026,0.81762,0.86250
1999,1st Quintile,East,Yes,0.27428,129,480,0.23432,0.31423
1999,1st Quintile,East,No,0.72572,351,480,0.68577,0.76568
1999,2nd Quintile,West,Yes,0.03451,33,991,0.02314,0.04588
1999,2nd Quintile,West,No,0.96549,958,991,0.95412,0.97686
1999,2nd Quintile,East,No,0.97962,520,520,0.96747,0.99178
1999,3rd Quintile,West,No,0.99141,1008,1008,0.98571,0.99711
1999,3rd Quintile,East,No,0.97764,458,458,0.96409,0.99120
1999,4th Quintile,West,No,0.99513,1081,1081,0.99098,0.99928
1999,4th Quintile,East,No,0.99330,292,292,0.98392,1.00267
1999,5th Quintile,West,No,0.99670,1079,1079,0.99328,1.00012
1999,5th Quintile,East,No,0.99654,154,154,0.98723,1.00584
2000,1st Quintile,West,Yes,0.14188,265,1805,0.12578,0.15798
2000,1st Quintile,West,No,0.85812,1540,1805,0.84202,0.87422
2000,1st Quintile,East,Yes,0.23176,184,749,0.20152,0.26200
2000,1st Quintile,East,No,0.76824,565,749,0.73800,0.79848
2000,2nd Quintile,West,Yes,0.03016,61,1874,0.02241,0.03790
2000,2nd Quintile,West,No,0.96984,1813,1874,0.96210,0.97759
2000,2nd Quintile,East,No,0.97556,819,819,0.96498,0.98614
2000,3rd Quintile,West,No,0.99620,1891,1891,0.99343,0.99898
2000,3rd Quintile,East,No,0.98106,737,737,0.97121,0.99091
2000,4th Quintile,West,No,0.99621,2119,2119,0.99360,0.99883
2000,4th Quintile,East,No,0.98702,468,468,0.97676,0.99729
2000,5th Quintile,West,No,0.99882,2164,2164,0.99738,1.00027
2001,1st Quintile,West,Yes,0.11276,190,1548,0.09700,0.12853
2001,1st Quintile,West,No,0.88724,1358,1548,0.87147,0.90300
2001,1st Quintile,East,Yes,0.19986,144,683,0.16985,0.22987
2001,1st Quintile,East,No,0.80014,539,683,0.77013,0.83015
2001,2nd Quintile,West,Yes,0.02475,44,1674,0.01730,0.03219
2001,2nd Quintile,West,No,0.97525,1630,1674,0.96781,0.98270
2001,2nd Quintile,East,No,0.97018,760,760,0.95808,0.98228
2001,3rd Quintile,West,No,0.99377,1751,1751,0.99008,0.99745
2001,3rd Quintile,East,No,0.99229,666,666,0.98564,0.99894
2001,4th Quintile,West,No,0.99684,1910,1910,0.99432,0.99936
2001,4th Quintile,East,No,0.99398,452,452,0.98683,1.00112
2001,5th Quintile,West,No,0.99806,1930,1930,0.99609,1.00002
2002,1st Quintile,West,Yes,0.13348,199,1437,0.11589,0.15107
2002,1st Quintile,West,No,0.86652,1238,1437,0.84893,0.88411
2002,1st Quintile,East,Yes,0.19342,130,662,0.16331,0.22353
2002,1st Quintile,East,No,0.80658,532,662,0.77647,0.83669
2002,2nd Quintile,West,Yes,0.03079,38,1541,0.02216,0.03941
2002,2nd Quintile,West,No,0.96921,1503,1541,0.96059,0.97784
2002,2nd Quintile,East,No,0.96466,677,677,0.95074,0.97858
2002,3rd Quintile,West,No,0.99786,1653,1653,0.99564,1.00009
2002,3rd Quintile,East,No,0.99378,607,607,0.98753,1.00004
2002,4th Quintile,West,No,0.99848,1848,1848,0.99670,1.00026
2002,4th Quintile,East,No,0.99750,510,510,0.99316,1.00184
2002,5th Quintile,West,No,0.99890,2875,2875,0.99769,1.00011
2003,1st Quintile,West,Yes,0.14955,206,1431,0.13106,0.16803
2003,1st Quintile,West,No,0.85045,1225,1431,0.83197,0.86894
2003,1st Quintile,East,Yes,0.22614,142,621,0.19321,0.25907
2003,1st Quintile,East,No,0.77386,479,621,0.74093,0.80679
2003,2nd Quintile,West,Yes,0.03062,43,1481,0.02185,0.03940
2003,2nd Quintile,West,No,0.96938,1438,1481,0.96060,0.97815
2003,2nd Quintile,East,Yes,0.04522,36,728,0.03012,0.06033
2003,2nd Quintile,East,No,0.95478,692,728,0.93967,0.96988
2003,3rd Quintile,West,No,0.99107,1587,1587,0.98644,0.99570
2003,3rd Quintile,East,No,0.99439,622,622,0.98851,1.00026
2003,4th Quintile,West,No,0.99856,1800,1800,0.99681,1.00031
2003,4th Quintile,East,No,0.99917,469,469,0.99655,1.00178
2003,5th Quintile,West,No,0.99974,2675,2675,0.99913,1.00035
2004,1st Quintile,West,Yes,0.17062,216,1350,0.15055,0.19069
2004,1st Quintile,West,No,0.82938,1134,1350,0.80931,0.84945
2004,1st Quintile,East,Yes,0.28419,167,612,0.24843,0.31996
2004,1st Quintile,East,No,0.71581,445,612,0.68004,0.75157
2004,2nd Quintile,West,Yes,0.02422,43,1451,0.01631,0.03214
2004,2nd Quintile,West,No,0.97578,1408,1451,0.96786,0.98369
2004,2nd Quintile,East,No,0.95444,683,683,0.93879,0.97009
2004,3rd Quintile,West,No,0.99588,1576,1576,0.99272,0.99905
2004,3rd Quintile,East,No,0.98617,604,604,0.97685,0.99549
2004,4th Quintile,West,No,0.99611,1774,1774,0.99322,0.99901
