year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,male,4248,7.243068011340853,7.183530456648334,7.302605566033372,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
1985,Urban regions,female,4381,7.255520807827825,7.194036249431686,7.317005366223964,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,Rural regions,male,1152,7.220506200400671,7.101535630798009,7.3394767700033325,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1985,Rural regions,female,1205,7.150804443408468,7.03006981804717,7.2715390687697665,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1986,Urban regions,male,4117,7.3230545437454895,7.264580820560039,7.38152826693094,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,Urban regions,female,4185,7.28604434326181,7.225655942185796,7.3464327443378235,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,Rural regions,male,1095,7.31691199896204,7.211846211425874,7.421977786498207,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1986,Rural regions,female,1151,7.288359768146862,7.18243388076788,7.394285655525845,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1987,Urban regions,male,4079,7.124319160412615,7.065075455554604,7.183562865270625,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1987,Urban regions,female,4123,7.100027208122845,7.039582627616843,7.160471788628847,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1987,Rural regions,male,1076,7.117754699621242,7.004792179749883,7.230717219492602,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1987,Rural regions,female,1140,7.029292547785743,6.910285466401452,7.148299629170034,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1988,Urban regions,male,3898,7.00435004396034,6.943855191680192,7.064844896240488,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1988,Urban regions,female,3957,7.0461264080200126,6.98277019998217,7.109482616057855,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1988,Rural regions,male,1015,7.010101295594033,6.888790153034966,7.1314124381531006,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1988,Rural regions,female,1058,6.91649897830789,6.790540936266265,7.042457020349514,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0
1989,Urban regions,male,3769,7.0958227403443725,7.0349974169504605,7.1566480637382845,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1989,Urban regions,female,3895,7.113038052919102,7.050478140981221,7.175597964856983,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1989,Rural regions,male,974,7.0024055300215124,6.876182689505644,7.128628370537381,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1989,Rural regions,female,993,6.855701302598774,6.729466843008362,6.981935762189186,5.0,7.0,8.0,0.5,10.0,7.0,6.974999999999994,7.0
1990,Urban regions,male,4360,7.209632758273804,7.1566217596355886,7.262643756912019,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1990,Urban regions,female,4549,7.154006841347545,7.0985681366963265,7.209445545998764,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1990,Rural regions,male,2338,7.027634183327021,6.950592440426815,7.104675926227227,6.0,7.0,8.0,3.0,10.0,7.0,6.974999999999994,7.0
1990,Rural regions,female,2485,6.923539105170619,6.84703448703324,7.000043723307997,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
