year,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,male,5927,7.417586127481895,7.366096900466434,7.478409180096425,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1984,female,6184,7.425103301211895,7.369436322129932,7.491729248295618,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,male,5400,7.237500889114174,7.187974818841146,7.300990836334242,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
1985,female,5586,7.229705545218812,7.167384803931061,7.303270656084767,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,male,5212,7.321568327592047,7.271461104668398,7.385098947380259,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
1986,female,5336,7.286610630169313,7.237049716683639,7.347907412462362,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,male,5155,7.12275200172073,7.068080337223674,7.183315899892078,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1987,female,5263,7.082987528514958,7.0267069070690376,7.143205857022227,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1988,male,4913,7.005715808448614,6.949870037814762,7.080192470867701,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1988,female,5015,7.0155185919222784,6.956247098803577,7.0952719305420135,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1989,male,4743,7.073910869428398,7.007878560226701,7.142178153656811,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1989,female,4888,7.054580935953317,7.001768075783709,7.128526046447905,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1990,male,6735,7.1517522283096495,7.103447348634814,7.205251785778679,6.0,7.183972332697814,8.0,3.0,10.0,7.0,6.0,7.0
1990,female,7084,7.080618986351057,7.038462785655093,7.137215295811567,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1991,male,6580,7.0833649665064735,7.027521854625633,7.137297117956129,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1991,female,6873,7.058513174385379,7.004665494699541,7.112425561698896,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1992,male,6414,7.0440824827466315,6.99184082573789,7.098741639229524,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1992,female,6813,6.983619635768454,6.925110300256644,7.040758010693246,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1993,male,6335,6.970297321703399,6.916216988520208,7.0245478955791905,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1993,female,6702,6.971668132637796,6.917926433621925,7.033774544480246,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1994,male,6179,6.915945458837533,6.864575335728655,6.963903144364774,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1994,female,6623,6.883710570732195,6.834957736497217,6.9440574145578795,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1995,male,6373,6.89644612454818,6.8369064954496865,6.951107339394914,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1995,female,6842,6.858257693267162,6.810861924030675,6.918225785262696,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1996,male,6285,6.902631082694442,6.860312022474099,6.957998296956018,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1996,female,6744,6.924625391424269,6.872817495041685,6.978797872318195,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1997,male,6195,6.798957107858408,6.743201630406745,6.857535002395088,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1997,female,6607,6.786888741400712,6.731532568544442,6.851280252197346,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1998,male,6870,6.943563808363627,6.894313631859713,6.999266093902477,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1998,female,7331,6.977345033304455,6.92596753718313,7.027480627146182,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1999,male,6599,6.995564099996863,6.943058226982731,7.046305934220168,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1999,female,7045,7.004801323523362,6.9526263343655454,7.061450286642417,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2000,male,11558,7.104232944580653,7.063820961686073,7.144099723184516,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2000,female,12486,7.1056608996560415,7.065689756485966,7.145861502183629,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2001,male,10501,7.107181730975294,7.065467912154423,7.14903312549063,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2001,female,11369,7.134276389030527,7.098216015020197,7.180278131589285,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2002,male,11110,6.918037907767509,6.873577386125536,6.961432227993857,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2002,female,11871,6.929262715396175,6.884007266588852,6.975615136501088,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2003,male,10663,6.857247192355105,6.808922146049834,6.909726304241159,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2003,female,11460,6.8954496155466565,6.847981767834461,6.942990567379183,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2004,male,10359,6.672419376850055,6.630098611183609,6.7236095889176895,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,female,11199,6.671717781367399,6.623140447287091,6.725853602741243,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2005,male,9869,6.822650492411876,6.7732798885778625,6.876818469101626,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2005,female,10765,6.867285128409476,6.822666150670285,6.913924381203564,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2006,male,10440,6.784425569018747,6.733407834731172,6.8303502274124,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2006,female,11456,6.791296885842528,6.744193444278443,6.840467089116551,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2007,male,9754,6.8179664581972546,6.766416226832991,6.868494873232055,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2007,female,10707,6.8775997381705425,6.835983649020948,6.93053877992288,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
