"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Laendlicher Raum","Westdeutschland","7.19","7.5","2361","5","6","9","10","10","7.11","7.27","0","10","7","8"
"1985","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Staedtischer Raum","Westdeutschland","7.25","7.5","8625","5","6","9","10","10","7.21","7.29","0","10","8","8"
"1986","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Laendlicher Raum","Westdeutschland","7.3","7.5","2251","5","6","8","10","10","7.22","7.38","0","10","8","8"
"1986","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Staedtischer Raum","Westdeutschland","7.3","7.5","8297","5","6","9","10","10","7.26","7.34","0","10","8","8"
"1987","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Laendlicher Raum","Westdeutschland","7.07","6.5","2220","5","6","8","10","10","6.99","7.15","0","10","7","8"
"1987","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Staedtischer Raum","Westdeutschland","7.11","7.5","8198","5","6","8","9","10","7.07","7.15","0","10","7","8"
"1988","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Laendlicher Raum","Westdeutschland","6.96","6.5","2080","4","6","8","9","10","6.87","7.05","0","10","7","8"
"1988","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Staedtischer Raum","Westdeutschland","7.03","6.5","7848","5","6","8","9","10","6.99","7.07","0","10","7","8"
"1989","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Laendlicher Raum","Westdeutschland","6.93","6.5","1974","4","6","8","9","10","6.84","7.02","0","10","7","8"
"1989","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Staedtischer Raum","Westdeutschland","7.1","7.5","7657","5","6","8","9","10","7.06","7.14","0","10","8","8"
"1990","Laendlicher Raum","Ostdeutschland","6.64","6.5","2863","5","5","8","9","10","6.57","6.71","0","10","7","7"
"1990","Laendlicher Raum","Westdeutschland","7.2","7.5","1966","5","6","8","9","10","7.12","7.28","0","10","8","8"
"1990","Staedtischer Raum","Ostdeutschland","6.41","6.5","1448","4","5","8","9","10","6.31","6.51","0","10","7","7"
"1990","Staedtischer Raum","Westdeutschland","7.26","7.5","7455","5","6","8","9","10","7.22","7.3","0","10","8","8"
"1991","Laendlicher Raum","Ostdeutschland","6.08","5.5","2699","3","5","8","8","10","6.01","6.15","0","10","6","6"
"1991","Laendlicher Raum","Westdeutschland","7.3","7.5","2004","5","6","8","9","10","7.22","7.38","0","10","8","8"
"1991","Staedtischer Raum","Ostdeutschland","5.95","5.5","1307","3","5","8","8","10","5.84","6.06","0","10","6","6"
"1991","Staedtischer Raum","Westdeutschland","7.35","7.5","7354","5","7","8","9","10","7.31","7.39","0","10","8","8"
"1992","Laendlicher Raum","Ostdeutschland","6.12","5.5","2528","4","5","7","8","10","6.05","6.19","0","10","6","6"
"1992","Laendlicher Raum","Westdeutschland","7.17","7.5","1991","5","6","8","9","10","7.09","7.25","0","10","8","8"
"1992","Staedtischer Raum","Ostdeutschland","6.01","5.5","1308","4","5","7","8","10","5.91","6.11","0","10","6","6"
"1992","Staedtischer Raum","Westdeutschland","7.27","7.5","7281","5","6","8","9","10","7.23","7.31","0","10","8","8"
"1993","Laendlicher Raum","Ostdeutschland","6.23","5.5","2496","4","5","8","8","10","6.16","6.3","0","10","6","7"
"1993","Laendlicher Raum","Westdeutschland","7.15","7.5","2000","5","6","8","9","10","7.07","7.23","0","10","7","8"
"1993","Staedtischer Raum","Ostdeutschland","6.16","5.5","1308","3","5","8","8","10","6.05","6.27","0","10","6","7"
"1993","Staedtischer Raum","Westdeutschland","7.17","7.5","7233","5","6","8","9","10","7.13","7.21","0","10","7","8"
"1994","Laendlicher Raum","Ostdeutschland","6.31","6.5","2455","4","5","8","8","10","6.24","6.38","0","10","6","7"
"1994","Laendlicher Raum","Westdeutschland","7.08","6.5","1938","5","6","8","9","10","7","7.16","0","10","7","8"
"1994","Staedtischer Raum","Ostdeutschland","6.24","6.5","1304","4","5","8","8","10","6.14","6.34","0","10","6","7"
"1994","Staedtischer Raum","Westdeutschland","7.05","6.5","7105","5","6","8","9","10","7.01","7.09","0","10","7","7"
"1995","Laendlicher Raum","Ostdeutschland","6.48","6.5","2465","4","5","8","8","10","6.41","6.55","0","10","7","7"
"1995","Laendlicher Raum","Westdeutschland","7.04","6.5","2096","5","6","8","9","10","6.96","7.12","0","10","7","8"
"1995","Staedtischer Raum","Ostdeutschland","6.27","5.5","1214","4","5","8","8","10","6.17","6.37","0","10","6","7"
"1995","Staedtischer Raum","Westdeutschland","6.97","6.5","7440","5","6","8","9","10","6.93","7.01","0","10","7","7"
"1996","Laendlicher Raum","Ostdeutschland","6.43","6.5","2442","4","5","8","8","10","6.36","6.5","0","10","7","7"
"1996","Laendlicher Raum","Westdeutschland","6.98","6.5","2090","5","6","8","9","10","6.9","7.06","0","10","7","8"
"1996","Staedtischer Raum","Ostdeutschland","6.42","6.5","1239","4","5","8","8","10","6.32","6.52","0","10","7","7"
"1996","Staedtischer Raum","Westdeutschland","7.04","6.5","7258","5","6","8","9","10","7","7.08","0","10","7","7"
"1997","Laendlicher Raum","Ostdeutschland","6.39","6.5","2419","4","5","8","8","10","6.32","6.46","0","10","7","7"
"1997","Laendlicher Raum","Westdeutschland","6.87","6.5","2040","5","6","8","9","10","6.79","6.95","0","10","7","7"
"1997","Staedtischer Raum","Ostdeutschland","6.26","5.5","1208","4","5","8","8","10","6.16","6.36","0","10","6","7"
"1997","Staedtischer Raum","Westdeutschland","6.91","6.5","7134","4","6","8","9","10","6.87","6.95","0","10","7","7"
"1998","Laendlicher Raum","Ostdeutschland","6.54","6.5","2605","4","5","8","8","10","6.47","6.61","0","10","7","7"
"1998","Laendlicher Raum","Westdeutschland","7.14","7.5","2366","5","6","8","9","10","7.07","7.21","0","10","8","8"
"1998","Staedtischer Raum","Ostdeutschland","6.46","6.5","1251","4","5","8","8","10","6.36","6.56","0","10","7","7"
"1998","Staedtischer Raum","Westdeutschland","7.05","6.5","7979","5","6","8","9","10","7.01","7.09","0","10","7","7"
"1999","Laendlicher Raum","Ostdeutschland","6.54","6.5","2542","4","5","8","8","10","6.47","6.61","0","10","7","7"
"1999","Laendlicher Raum","Westdeutschland","7.2","7.5","2260","5","6","8","9","10","7.13","7.27","0","10","8","8"
"1999","Staedtischer Raum","Ostdeutschland","6.61","6.5","1237","4","5","8","9","10","6.51","6.71","0","10","7","7"
"1999","Staedtischer Raum","Westdeutschland","7.07","6.5","7605","5","6","8","9","10","7.03","7.11","0","10","7","8"
"2000","Laendlicher Raum","Ostdeutschland","6.62","6.5","3990","5","5","8","8","10","6.57","6.67","0","10","7","7"
"2000","Laendlicher Raum","Westdeutschland","7.23","7.5","4420","5","6","8","9","10","7.18","7.28","0","10","8","8"
"2000","Staedtischer Raum","Ostdeutschland","6.57","6.5","1844","5","5","8","9","10","6.49","6.65","0","10","7","7"
"2000","Staedtischer Raum","Westdeutschland","7.22","7.5","13792","5","6","8","9","10","7.19","7.25","0","10","8","8"
"2001","Laendlicher Raum","Ostdeutschland","6.6","6.5","3680","4","5","8","8","10","6.54","6.66","0","10","7","7"
"2001","Laendlicher Raum","Westdeutschland","7.25","7.5","3954","5","6","8","9","10","7.2","7.3","0","10","8","8"
"2001","Staedtischer Raum","Ostdeutschland","6.67","6.5","1745","5","5","8","9","10","6.59","6.75","0","10","7","7"
"2001","Staedtischer Raum","Westdeutschland","7.24","7.5","12491","5","6","8","9","10","7.21","7.27","0","10","8","8"
"2002","Laendlicher Raum","Ostdeutschland","6.39","6.5","3655","4","5","8","8","10","6.33","6.45","0","10","7","7"
"2002","Laendlicher Raum","Westdeutschland","7.03","6.5","4124","5","6","8","9","10","6.98","7.08","0","10","7","8"
"2002","Staedtischer Raum","Ostdeutschland","6.52","6.5","1767","4","5","8","8","10","6.44","6.6","0","10","7","7"
"2002","Staedtischer Raum","Westdeutschland","7.04","6.5","13435","5","6","8","9","10","7.01","7.07","0","10","8","8"
"2003","Laendlicher Raum","Ostdeutschland","6.31","6.5","3577","4","5","8","8","10","6.25","6.37","0","10","7","7"
"2003","Laendlicher Raum","Westdeutschland","7","6.5","3875","5","6","8","9","10","6.95","7.05","0","10","7","8"
"2003","Staedtischer Raum","Ostdeutschland","6.44","6.5","1761","4","5","8","9","10","6.36","6.52","0","10","7","7"
"2003","Staedtischer Raum","Westdeutschland","7","6.5","12910","5","6","8","9","10","6.97","7.03","0","10","7","8"
"2004","Laendlicher Raum","Ostdeutschland","6.09","5.5","3453","4","5","8","8","10","6.03","6.15","0","10","6","7"
"2004","Laendlicher Raum","Westdeutschland","6.85","6.5","3819","5","6","8","9","10","6.79","6.91","0","10","7","7"
"2004","Staedtischer Raum","Ostdeutschland","6.27","6.5","1756","4","5","8","8","10","6.19","6.35","0","10","7","7"
"2004","Staedtischer Raum","Westdeutschland","6.77","6.5","12530","4","6","8","9","10","6.74","6.8","0","10","7","7"
"2005","Laendlicher Raum","Ostdeutschland","6.3","6.5","3322","4","5","8","8","10","6.24","6.36","0","10","7","7"
"2005","Laendlicher Raum","Westdeutschland","7.01","6.5","3629","5","6","8","9","10","6.95","7.07","0","10","7","8"
"2005","Staedtischer Raum","Ostdeutschland","6.49","6.5","1700","4","5","8","9","10","6.4","6.58","0","10","7","7"
"2005","Staedtischer Raum","Westdeutschland","6.94","6.5","11983","5","6","8","9","10","6.91","6.97","0","10","7","8"
"2006","Laendlicher Raum","Ostdeutschland","6.25","6.5","3520","4","5","8","8","10","6.19","6.31","0","10","7","7"
"2006","Laendlicher Raum","Westdeutschland","6.95","6.5","4009","5","6","8","9","10","6.89","7.01","0","10","7","8"
"2006","Staedtischer Raum","Ostdeutschland","6.32","6.5","1739","4","5","8","8","10","6.24","6.4","0","10","7","7"
"2006","Staedtischer Raum","Westdeutschland","6.89","6.5","12628","5","6","8","9","10","6.86","6.92","0","10","7","7"
"2007","Laendlicher Raum","Ostdeutschland","6.35","6.5","3336","4","5","8","8","10","6.29","6.41","0","10","7","7"
"2007","Laendlicher Raum","Westdeutschland","7","6.5","3757","5","6","8","9","10","6.94","7.06","0","10","7","8"
"2007","Staedtischer Raum","Ostdeutschland","6.44","6.5","1664","4","5","8","9","10","6.36","6.52","0","10","7","7"
"2007","Staedtischer Raum","Westdeutschland","6.95","6.5","11704","5","6","8","9","10","6.92","6.98","0","10","7","8"
"2008","Laendlicher Raum","Ostdeutschland","6.51","6.5","3146","4","5","8","8","10","6.45","6.57","0","10","7","7"
"2008","Laendlicher Raum","Westdeutschland","7.04","6.5","3519","5","6","8","9","10","6.98","7.1","0","10","7","8"
"2008","Staedtischer Raum","Ostdeutschland","6.6","6.5","1614","4","5","8","8","10","6.52","6.68","0","10","7","7"
"2008","Staedtischer Raum","Westdeutschland","6.93","6.5","10996","5","6","8","9","10","6.9","6.96","0","10","7","8"
"2009","Laendlicher Raum","Ostdeutschland","6.39","6.5","3004","4","5","8","8","10","6.33","6.45","0","10","7","7"
"2009","Laendlicher Raum","Westdeutschland","6.89","6.5","3343","4","6","8","9","10","6.83","6.95","0","10","7","7"
"2009","Staedtischer Raum","Ostdeutschland","6.61","6.5","1531","4","5","8","9","10","6.52","6.7","0","10","7","7"
"2009","Staedtischer Raum","Westdeutschland","6.89","6.5","10085","5","6","8","9","10","6.86","6.92","0","10","7","7"
"2010","Laendlicher Raum","Ostdeutschland","6.66","6.5","3561","4","5","8","9","10","6.6","6.72","0","10","7","7"
"2010","Laendlicher Raum","Westdeutschland","7.13","7.5","4792","5","6","8","9","10","7.08","7.18","0","10","8","8"
"2010","Staedtischer Raum","Ostdeutschland","6.79","6.5","1897","4","6","8","9","10","6.71","6.87","0","10","7","7"
"2010","Staedtischer Raum","Westdeutschland","7.09","6.5","13677","5","6","8","9","10","7.06","7.12","0","10","8","8"
