"year","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","Ostdeutschland","","","","",""
"1984","Westdeutschland","7.42","7.5","12111","7.38","7.46"
"1985","Ostdeutschland","","","","",""
"1985","Westdeutschland","7.23","7.5","10986","7.19","7.27"
"1986","Ostdeutschland","","","","",""
"1986","Westdeutschland","7.3","7.5","10548","7.26","7.34"
"1987","Ostdeutschland","","","","",""
"1987","Westdeutschland","7.1","6.5","10418","7.06","7.14"
"1988","Ostdeutschland","","","","",""
"1988","Westdeutschland","7.01","6.5","9928","6.97","7.05"
"1989","Ostdeutschland","","","","",""
"1989","Westdeutschland","7.06","7.5","9631","7.02","7.1"
"1990","Ostdeutschland","6.56","6.5","4398","6.5","6.62"
"1990","Westdeutschland","7.25","7.5","9421","7.21","7.29"
"1991","Ostdeutschland","6.04","5.5","4092","5.98","6.1"
"1991","Westdeutschland","7.33","7.5","9361","7.3","7.36"
"1992","Ostdeutschland","6.09","5.5","3942","6.03","6.15"
"1992","Westdeutschland","7.24","7.5","9285","7.21","7.27"
"1993","Ostdeutschland","6.21","5.5","3804","6.15","6.27"
"1993","Westdeutschland","7.16","7.5","9233","7.12","7.2"
"1994","Ostdeutschland","6.28","6.5","3759","6.22","6.34"
"1994","Westdeutschland","7.05","6.5","9043","7.01","7.09"
"1995","Ostdeutschland","6.41","6.5","3679","6.35","6.47"
"1995","Westdeutschland","6.99","6.5","9536","6.95","7.03"
"1996","Ostdeutschland","6.43","6.5","3681","6.37","6.49"
"1996","Westdeutschland","7.03","6.5","9348","6.99","7.07"
"1997","Ostdeutschland","6.35","6.5","3627","6.29","6.41"
"1997","Westdeutschland","6.9","6.5","9175","6.86","6.94"
"1998","Ostdeutschland","6.51","6.5","3856","6.46","6.56"
"1998","Westdeutschland","7.07","6.5","10345","7.04","7.1"
"1999","Ostdeutschland","6.57","6.5","3779","6.51","6.63"
"1999","Westdeutschland","7.1","7.5","9865","7.07","7.13"
"2000","Ostdeutschland","6.61","6.5","5834","6.56","6.66"
"2000","Westdeutschland","7.22","7.5","18212","7.19","7.25"
"2001","Ostdeutschland","6.62","6.5","5425","6.57","6.67"
"2001","Westdeutschland","7.24","7.5","16445","7.21","7.27"
"2002","Ostdeutschland","6.43","6.5","5422","6.38","6.48"
"2002","Westdeutschland","7.04","6.5","17559","7.01","7.07"
"2003","Ostdeutschland","6.35","6.5","5338","6.3","6.4"
"2003","Westdeutschland","7","6.5","16785","6.97","7.03"
"2004","Ostdeutschland","6.15","5.5","5209","6.1","6.2"
"2004","Westdeutschland","6.79","6.5","16349","6.76","6.82"
"2005","Ostdeutschland","6.36","6.5","5022","6.31","6.41"
"2005","Westdeutschland","6.96","6.5","15612","6.93","6.99"
"2006","Ostdeutschland","6.27","6.5","5259","6.22","6.32"
"2006","Westdeutschland","6.91","6.5","16637","6.88","6.94"
"2007","Ostdeutschland","6.38","6.5","5000","6.33","6.43"
"2007","Westdeutschland","6.96","6.5","15461","6.93","6.99"
"2008","Ostdeutschland","6.54","6.5","4760","6.49","6.59"
"2008","Westdeutschland","6.96","6.5","14515","6.93","6.99"
"2009","Ostdeutschland","6.47","6.5","4535","6.42","6.52"
"2009","Westdeutschland","6.89","6.5","13428","6.86","6.92"
"2010","Ostdeutschland","6.71","6.5","5458","6.66","6.76"
"2010","Westdeutschland","7.1","6.5","18469","7.08","7.12"
"2011","Ostdeutschland","6.65","6.5","5788","6.6","6.7"
"2011","Westdeutschland","7.05","6.5","19989","7.03","7.07"
"2012","Ostdeutschland","6.72","6.5","5941","6.68","6.76"
"2012","Westdeutschland","7.17","7.5","20446","7.15","7.19"
"2013","Ostdeutschland","6.83","6.5","6088","6.78","6.88"
"2013","Westdeutschland","7.24","7.5","24468","7.22","7.26"
"2014","Ostdeutschland","6.84","6.5","5559","6.79","6.89"
"2014","Westdeutschland","7.23","7.5","21429","7.21","7.25"
"2015","Ostdeutschland","6.95","6.5","5393","6.9","7"
"2015","Westdeutschland","7.34","7.5","21335","7.32","7.36"
"2016","Ostdeutschland","6.99","6.5","5494","6.94","7.04"
"2016","Westdeutschland","7.33","7.5","21623","7.31","7.35"
"2017","Ostdeutschland","6.96","6.5","6159","6.92","7"
"2017","Westdeutschland","7.33","7.5","24315","7.31","7.35"
"2018","Ostdeutschland","7.12","7.5","5995","7.08","7.16"
"2018","Westdeutschland","7.4","7.5","23170","7.38","7.42"
"2019","Ostdeutschland","7.17","7.5","5998","7.13","7.21"
"2019","Westdeutschland","7.5","7.5","23034","7.48","7.52"
"2020","Ostdeutschland","7.27","7.5","5838","7.23","7.31"
"2020","Westdeutschland","7.5","7.5","23620","7.48","7.52"
