year,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2013,female,19614,15.73152,15.22194,16.24109,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2014,Implausible value,,,,,,,,,,,,
2014,No answer / don't know,,,,,,,,,,,,
2014,male,18393,14.05809,13.55573,14.56045,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2014,female,20291,16.20526,15.69820,16.71232,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2015,Implausible value,,,,,,,,,,,,
2015,No answer / don't know,,,,,,,,,,,,
2015,male,16738,14.87753,14.33837,15.41668,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2015,female,18700,16.10401,15.57716,16.63087,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2016,Implausible value,,,,,,,,,,,,
2016,No answer / don't know,,,,,,,,,,,,
2016,male,16061,16.04896,15.48124,16.61667,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2016,female,17958,16.69192,16.14648,17.23735,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2017,Implausible value,,,,,,,,,,,,
2017,No answer / don't know,,,,,,,,,,,,
2017,male,17174,15.58199,15.03952,16.12446,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2017,female,18493,16.65549,16.11847,17.19251,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2018,Implausible value,,,,,,,,,,,,
2018,No answer / don't know,,,,,,,,,,,,
2018,male,19292,15.83253,15.31738,16.34769,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2018,female,20296,16.63570,16.12333,17.14806,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2019,Implausible value,,,,,,,,,,,,
2019,No answer / don't know,,,,,,,,,,,,
2019,male,18137,15.60326,15.07510,16.13141,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2019,female,19021,17.18209,16.64598,17.71821,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2020,Implausible value,,,,,,,,,,,,
2020,No answer / don't know,,,,,,,,,,,,
2020,male,18456,15.51655,14.99416,16.03893,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2020,female,18887,17.91094,17.36406,18.45783,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2021,Implausible value,,,,,,,,,,,,
2021,No answer / don't know,,,,,,,,,,,,
2021,male,13089,16.42813,15.79329,17.06296,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2021,female,13482,18.01670,17.36790,18.66550,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2022,Implausible value,,,,,,,,,,,,
2022,No answer / don't know,,,,,,,,,,,,
2022,male,12050,16.21531,15.55713,16.87349,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2022,female,12469,19.20553,18.51405,19.89701,0.00000,0.00000,0.00000,0.00000,0.00000,,,
