year,bula_h,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1986,"Rhineland-Palatinate, Saarland",male,463,10.42864,7.63741,13.21987,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,"Rhineland-Palatinate, Saarland",female,489,15.89326,12.64467,19.14184,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Baden-Wuerttemberg,male,1358,7.45958,6.06093,8.85822,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Baden-Wuerttemberg,female,1306,10.54399,8.87680,12.21119,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Bavaria,male,1112,7.65771,6.09305,9.22236,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Bavaria,female,1177,11.02250,9.23153,12.81346,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Berlin,male,230,6.06891,2.96689,9.17094,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Berlin,female,227,12.39882,8.08847,16.70917,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Schleswig-Holstein,male,210,10.04344,5.95443,14.13245,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Schleswig-Holstein,female,214,15.11710,10.29029,19.94391,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Hamburg,male,139,9.22220,4.36962,14.07478,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Hamburg,female,142,9.14513,4.36306,13.92721,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Lower Saxony,male,670,12.34468,9.84936,14.84000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Lower Saxony,female,708,13.98982,11.43031,16.54932,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Bremen,male,59,14.22226,5.12002,23.32450,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Bremen,female,61,11.60297,3.40072,19.80523,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,North Rhine-Westphalia,male,1863,10.81731,9.40600,12.22863,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,North Rhine-Westphalia,female,1816,13.74664,12.16187,15.33141,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Hesse,male,701,8.31140,6.26432,10.35849,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Hesse,female,668,12.46332,9.95398,14.97267,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,"Rhineland-Palatinate, Saarland",male,462,13.14843,10.05889,16.23798,0.00000,0.00000,0.00000,0.00000,0.00000,,,
