year,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,,,,,,,,,,,,
1984,Primary Level,576,7.92129,7.44291,8.39966,3.00000,7.00000,12.00000,0.00000,25.50000,7.00000,5.00000,8.00000
1984,Lower Secondary Level,1612,9.23292,8.76751,9.69834,2.00000,6.00000,14.00000,0.00000,32.00000,6.00000,5.00000,6.00000
1984,Upper Secondary Level,3544,11.17402,10.84539,11.50264,4.00000,8.00000,16.00000,0.00000,34.00000,8.00000,8.00000,9.00000
1984,Post-secondary Non-tertiary Level,209,8.62088,7.36477,9.87699,3.00000,5.00000,12.00000,0.00000,25.50000,5.00000,4.00000,7.00000
1984,First Stage of Tertiary Education,448,12.46109,11.43938,13.48279,4.00000,9.00000,19.00000,0.00000,41.50000,9.00000,8.00000,10.00000
1984,Second Stage of Tertiary Education,618,11.24541,10.48146,12.00935,3.00000,9.00000,17.00000,0.00000,38.00000,9.00000,7.00000,10.00000
1985,Pre-primary Level,,,,,,,,,,,,
1985,Primary Level,451,8.67723,8.12589,9.22858,3.00000,8.00000,13.00000,0.00000,28.00000,8.00000,6.97500,9.00000
1985,Lower Secondary Level,1431,8.90199,8.41576,9.38821,2.00000,5.00000,13.00000,0.00000,29.50000,5.00000,5.00000,6.00000
1985,Upper Secondary Level,3148,10.87456,10.54040,11.20871,3.00000,8.00000,16.00000,0.00000,35.50000,8.00000,7.00000,8.00000
1985,Post-secondary Non-tertiary Level,171,9.12931,7.72851,10.53011,3.00000,5.95524,12.07691,0.00000,25.69228,6.00000,4.00000,8.00000
1985,First Stage of Tertiary Education,401,12.56773,11.48556,13.64991,4.00000,9.00000,19.00000,0.00000,41.50000,9.00000,8.00000,11.00000
1985,Second Stage of Tertiary Education,563,10.90335,10.12950,11.67719,3.00000,8.00000,17.00000,0.00000,38.00000,8.00000,7.00000,10.00000
1986,Pre-primary Level,,,,,,,,,,,,
1986,Primary Level,31,2.77252,1.19468,4.35036,1.00000,1.00000,1.33777,0.49335,1.84441,1.00000,1.00000,3.00000
1986,Lower Secondary Level,225,2.30438,1.74449,2.86427,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1986,Upper Secondary Level,460,3.55813,2.97999,4.13627,1.00000,1.00000,3.00000,0.00000,6.00000,1.00000,1.00000,1.00000
1986,Post-secondary Non-tertiary Level,32,1.57390,0.41741,2.73040,0.00000,1.00000,1.00000,0.00000,2.50000,1.00000,0.00000,1.00000
1986,First Stage of Tertiary Education,46,6.52874,4.05392,9.00356,1.00000,4.14982,8.03729,0.00000,18.59323,4.00000,1.00000,6.00000
1986,Second Stage of Tertiary Education,97,3.34215,2.30258,4.38173,0.85915,1.00000,4.00000,0.00000,8.71127,1.00000,1.00000,1.00000
1987,Pre-primary Level,,,,,,,,,,,,
1987,Primary Level,47,2.09844,0.95865,3.23824,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1987,Lower Secondary Level,301,1.57499,1.20433,1.94565,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1987,Upper Secondary Level,612,2.79889,2.36462,3.23316,0.00000,1.00000,1.00000,0.00000,2.50000,1.00000,1.00000,1.00000
1987,Post-secondary Non-tertiary Level,46,1.80505,0.93622,2.67387,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1987,First Stage of Tertiary Education,72,3.97940,2.46455,5.49425,1.00000,1.00000,5.00000,0.00000,11.00000,1.00000,1.00000,1.00000
1987,Second Stage of Tertiary Education,115,3.73365,2.62045,4.84686,1.00000,1.00000,2.00000,0.00000,3.50000,1.00000,1.00000,1.00000
1988,Pre-primary Level,,,,,,,,,,,,
1988,Primary Level,352,9.13240,8.41595,9.84885,2.00000,8.00000,15.00000,0.00000,28.00000,8.00000,7.00000,10.00000
1988,Lower Secondary Level,1356,9.38774,8.87176,9.90373,2.00000,6.00000,15.00000,0.00000,34.50000,6.00000,5.00000,7.00000
1988,Upper Secondary Level,2914,11.14749,10.78586,11.50911,3.00000,8.00000,17.00000,0.00000,38.00000,8.00000,8.00000,9.00000
1988,Post-secondary Non-tertiary Level,174,7.12879,5.78899,8.46859,1.30383,4.00000,10.00000,0.00000,23.04425,4.00000,3.00000,5.00000
1988,First Stage of Tertiary Education,351,11.75244,10.70349,12.80139,4.00000,9.00000,17.79801,0.00000,38.49503,9.00000,7.00000,10.00000
1988,Second Stage of Tertiary Education,536,11.24212,10.41970,12.06455,3.00000,9.00000,18.00000,0.00000,40.50000,9.00000,8.00000,10.00000
1989,Pre-primary Level,,,,,,,,,,,,
1989,Primary Level,,,,,,,,,,,,
1989,Lower Secondary Level,,,,,,,,,,,,
1989,Upper Secondary Level,,,,,,,,,,,,
1989,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1989,First Stage of Tertiary Education,,,,,,,,,,,,
1989,Second Stage of Tertiary Education,,,,,,,,,,,,
1990,Pre-primary Level,,,,,,,,,,,,
1990,Primary Level,326,9.15116,8.28984,10.01248,2.00000,6.00000,16.00000,0.00000,37.00000,6.00000,4.00000,10.00000
1990,Lower Secondary Level,1488,9.49065,8.98889,9.99240,2.00000,5.00000,16.00000,0.00000,37.00000,5.00000,4.00000,6.00000
1990,Upper Secondary Level,4812,11.41388,11.12442,11.70334,3.00000,9.00000,18.00000,0.00000,40.50000,9.00000,8.00000,9.00000
1990,Post-secondary Non-tertiary Level,241,7.42272,6.29335,8.55208,1.00000,4.00000,10.00000,0.00000,23.50000,4.00000,3.00000,5.00000
1990,First Stage of Tertiary Education,545,13.69435,12.75480,14.63389,4.00000,10.55369,21.00000,0.00000,46.50000,11.00000,9.97500,12.00000
1990,Second Stage of Tertiary Education,1377,11.72807,11.18045,12.27568,3.00000,9.00000,19.00000,0.00000,43.00000,9.00000,8.00000,10.00000
1991,Pre-primary Level,,,,,,,,,,,,
1991,Primary Level,345,8.54029,7.69600,9.38459,2.00000,5.00000,15.00000,0.00000,31.00000,5.00000,4.00000,7.00000
1991,Lower Secondary Level,1443,9.20493,8.69879,9.71107,2.00000,4.00000,15.00000,0.00000,34.50000,4.00000,4.00000,6.00000
1991,Upper Secondary Level,4555,10.79654,10.49851,11.09457,2.00000,7.00000,17.00000,0.00000,39.50000,7.00000,7.00000,8.00000
1991,Post-secondary Non-tertiary Level,266,6.21561,5.25576,7.17546,1.00000,3.00000,7.00000,0.00000,16.00000,3.00000,2.00000,4.00000
1991,First Stage of Tertiary Education,548,12.88882,11.93141,13.84623,3.00000,10.00000,20.00000,0.00000,45.50000,10.00000,9.00000,11.00000
1991,Second Stage of Tertiary Education,1315,10.78089,10.21873,11.34306,2.00000,7.00000,18.00000,0.00000,42.00000,7.00000,6.00000,9.00000
1992,Pre-primary Level,,,,,,,,,,,,
1992,Primary Level,303,9.28849,8.33890,10.23808,2.00000,5.00000,16.00000,0.00000,33.00000,5.00000,4.00000,10.00000
1992,Lower Secondary Level,1368,8.93677,8.43483,9.43871,2.00000,4.00000,14.00000,0.00000,32.00000,4.00000,4.00000,5.00000
1992,Upper Secondary Level,4229,10.42682,10.12218,10.73146,2.00000,7.00000,17.00000,0.00000,39.50000,7.00000,6.00000,7.00000
