"year","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","Laendlicher Raum","3.25","2.5","3140","1","2","4","5","8","3.19","3.31","1","10","4","4"
"1985","Staedtischer Raum","2.98","2.5","11458","1","2","4","5","7","2.95","3.01","1","10","3","4"
"1986","Laendlicher Raum","3.26","2.5","2998","1","2","4","5","7","3.2","3.32","1","11","4","4"
"1986","Staedtischer Raum","2.95","2.5","10896","1","2","4","5","7","2.92","2.98","1","10","3","3"
"1987","Laendlicher Raum","3.25","2.5","2939","1","2","4","5","7","3.18","3.32","1","17","4","4"
"1987","Staedtischer Raum","2.93","2.5","10703","1","2","4","5","7","2.9","2.96","1","11","3","3"
"1988","Laendlicher Raum","3.22","2.5","2757","1","2","4","5","7","3.15","3.29","1","16","4","4"
"1988","Staedtischer Raum","2.9","2.5","10256","1","2","4","5","7","2.87","2.93","1","11","3","3"
"1989","Laendlicher Raum","3.19","2.5","2613","1","2","4","5","7","3.12","3.26","1","17","4","4"
"1989","Staedtischer Raum","2.89","2.5","9981","1","2","4","5","7","2.86","2.92","1","12","3","3"
"1990","Laendlicher Raum","3.09","2.5","6545","1","2","4","5","7","3.05","3.13","1","14","3","4"
"1990","Staedtischer Raum","2.91","2.5","11859","1","2","4","5","7","2.88","2.94","1","13","3","3"
"1991","Laendlicher Raum","3.1","2.5","6380","1","2","4","5","7","3.06","3.14","1","15","3","4"
"1991","Staedtischer Raum","2.9","2.5","11629","1","2","4","5","7","2.87","2.93","1","13","3","3"
"1992","Laendlicher Raum","3.12","2.5","6141","1","2","4","5","7","3.09","3.15","1","10","3","3"
"1992","Staedtischer Raum","2.87","2.5","11522","1","2","4","5","6","2.84","2.9","1","13","3","3"
"1993","Laendlicher Raum","3.04","2.5","6119","1","2","4","5","7","3.01","3.07","1","11","3","3"
"1993","Staedtischer Raum","2.87","2.5","11409","1","2","4","5","6","2.84","2.9","1","13","3","3"
"1994","Laendlicher Raum","3.01","2.5","5997","1","2","4","5","7","2.98","3.04","1","9","3","3"
"1994","Staedtischer Raum","2.86","2.5","11141","1","2","4","5","7","2.83","2.89","1","13","3","3"
"1995","Laendlicher Raum","3.03","2.5","6204","1","2","4","5","7","3","3.06","1","9","3","3"
"1995","Staedtischer Raum","2.84","2.5","11508","1","2","4","5","7","2.81","2.87","1","11","3","3"
"1996","Laendlicher Raum","3.02","2.5","6074","1","2","4","5","7","2.99","3.05","1","9","3","3"
"1996","Staedtischer Raum","2.83","2.5","11265","1","2","4","5","7","2.8","2.86","1","11","3","3"
"1997","Laendlicher Raum","3","2.5","5973","1","2","4","5","7","2.97","3.03","1","9","3","3"
"1997","Staedtischer Raum","2.82","2.5","11033","1","2","4","5","7","2.79","2.85","1","12","3","3"
"1998","Laendlicher Raum","3.01","2.5","6619","1","2","4","5","7","2.98","3.04","1","9","3","3"
"1998","Staedtischer Raum","2.8","2.5","12137","1","2","4","5","7","2.78","2.82","1","12","3","3"
"1999","Laendlicher Raum","2.96","2.5","6371","1","2","4","5","6","2.93","2.99","1","9","3","3"
