"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","Ostdeutschland","","","","",""
"1985","Laendlicher Raum","Westdeutschland","3.25","2.5","3140","3.19","3.31"
"1985","Staedtischer Raum","Ostdeutschland","","","","",""
"1985","Staedtischer Raum","Westdeutschland","2.98","2.5","11458","2.95","3.01"
"1986","Laendlicher Raum","Ostdeutschland","","","","",""
"1986","Laendlicher Raum","Westdeutschland","3.26","2.5","2998","3.2","3.32"
"1986","Staedtischer Raum","Ostdeutschland","","","","",""
"1986","Staedtischer Raum","Westdeutschland","2.95","2.5","10896","2.92","2.98"
"1987","Laendlicher Raum","Ostdeutschland","","","","",""
"1987","Laendlicher Raum","Westdeutschland","3.25","2.5","2939","3.18","3.32"
"1987","Staedtischer Raum","Ostdeutschland","","","","",""
"1987","Staedtischer Raum","Westdeutschland","2.93","2.5","10703","2.9","2.96"
"1988","Laendlicher Raum","Ostdeutschland","","","","",""
"1988","Laendlicher Raum","Westdeutschland","3.22","2.5","2757","3.15","3.29"
"1988","Staedtischer Raum","Ostdeutschland","","","","",""
"1988","Staedtischer Raum","Westdeutschland","2.9","2.5","10256","2.87","2.93"
"1989","Laendlicher Raum","Ostdeutschland","","","","",""
"1989","Laendlicher Raum","Westdeutschland","3.19","2.5","2613","3.12","3.26"
"1989","Staedtischer Raum","Ostdeutschland","","","","",""
"1989","Staedtischer Raum","Westdeutschland","2.89","2.5","9981","2.86","2.92"
"1990","Laendlicher Raum","Ostdeutschland","3.07","2.5","3951","3.03","3.11"
"1990","Laendlicher Raum","Westdeutschland","3.11","2.5","2594","3.04","3.18"
"1990","Staedtischer Raum","Ostdeutschland","2.84","2.5","2020","2.79","2.89"
"1990","Staedtischer Raum","Westdeutschland","2.92","2.5","9839","2.89","2.95"
"1991","Laendlicher Raum","Ostdeutschland","3.06","2.5","3714","3.02","3.1"
"1991","Laendlicher Raum","Westdeutschland","3.13","2.5","2666","3.06","3.2"
