"year","quintil","mean","median","n","lower_confidence","upper_confidence"
"1995","1 Einkommensschwächstes Quintil","3.22","2.5","7105","3.18","3.26"
"1995","2","2.86","2.5","4950","2.82","2.9"
"1995","3","2.81","2.5","3017","2.77","2.85"
"1995","4","2.57","1.5","1795","2.52","2.62"
"1995","5 Einkommensstärkstes Quintil","2.31","1.5","845","2.24","2.38"
"1996","1 Einkommensschwächstes Quintil","3.11","2.5","6374","3.07","3.15"
"1996","2","2.98","2.5","4936","2.94","3.02"
"1996","3","2.81","2.5","3156","2.77","2.85"
"1996","4","2.6","1.5","1901","2.55","2.65"
"1996","5 Einkommensstärkstes Quintil","2.36","1.5","972","2.29","2.43"
"1997","1 Einkommensschwächstes Quintil","3.14","2.5","5987","3.1","3.18"
"1997","2","2.95","2.5","4827","2.91","2.99"
"1997","3","2.79","2.5","3291","2.75","2.83"
"1997","4","2.55","1.5","1935","2.5","2.6"
"1997","5 Einkommensstärkstes Quintil","2.36","1.5","967","2.29","2.43"
"1998","1 Einkommensschwächstes Quintil","3.17","2.5","6439","3.13","3.21"
"1998","2","2.91","2.5","5174","2.87","2.95"
"1998","3","2.72","1.5","3597","2.68","2.76"
"1998","4","2.65","1.5","2383","2.6","2.7"
"1998","5 Einkommensstärkstes Quintil","2.33","1.5","1163","2.27","2.39"
"1999","1 Einkommensschwächstes Quintil","3.1","2.5","5258","3.06","3.14"
"1999","2","2.95","2.5","5303","2.91","2.99"
"1999","3","2.85","2.5","3663","2.81","2.89"
"1999","4","2.52","1.5","2438","2.48","2.56"
"1999","5 Einkommensstärkstes Quintil","2.39","1.5","1326","2.33","2.45"
"2000","1 Einkommensschwächstes Quintil","3.14","2.5","8689","3.11","3.17"
"2000","2","2.95","2.5","8714","2.92","2.98"
"2000","3","2.78","2.5","6738","2.75","2.81"
"2000","4","2.56","1.5","4752","2.53","2.59"
"2000","5 Einkommensstärkstes Quintil","2.32","1.5","2914","2.28","2.36"
"2001","1 Einkommensschwächstes Quintil","3.11","2.5","7277","3.07","3.15"
"2001","2","2.99","2.5","7647","2.96","3.02"
"2001","3","2.78","2.5","6305","2.75","2.81"
"2001","4","2.54","1.5","4636","2.51","2.57"
"2001","5 Einkommensstärkstes Quintil","2.29","1.5","2863","2.25","2.33"
"2002","1 Einkommensschwächstes Quintil","3.12","2.5","6246","3.08","3.16"
"2002","2","3","2.5","6580","2.97","3.03"
"2002","3","2.77","2.5","5965","2.74","2.8"
"2002","4","2.42","1.5","5859","2.39","2.45"
"2002","5 Einkommensstärkstes Quintil","2.36","1.5","5466","2.33","2.39"
"2003","1 Einkommensschwächstes Quintil","3.08","2.5","5780","3.04","3.12"
"2003","2","2.98","2.5","6126","2.94","3.02"
"2003","3","2.81","2.5","6132","2.78","2.84"
"2003","4","2.45","1.5","5838","2.42","2.48"
"2003","5 Einkommensstärkstes Quintil","2.36","1.5","4916","2.33","2.39"
"2004","1 Einkommensschwächstes Quintil","3.05","2.5","5565","3.01","3.09"
"2004","2","2.99","2.5","5923","2.95","3.03"
"2004","3","2.77","2.5","5887","2.74","2.8"
"2004","4","2.44","1.5","5687","2.41","2.47"
"2004","5 Einkommensstärkstes Quintil","2.35","1.5","4869","2.32","2.38"
"2005","1 Einkommensschwächstes Quintil","3.01","2.5","5387","2.97","3.05"
"2005","2","2.96","2.5","5494","2.92","3"
"2005","3","2.8","2.5","5539","2.77","2.83"
"2005","4","2.46","1.5","5455","2.43","2.49"
"2005","5 Einkommensstärkstes Quintil","2.32","1.5","4831","2.29","2.35"
"2006","1 Einkommensschwächstes Quintil","2.93","2.5","5718","2.89","2.97"
