"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Westdeutschland","3.12","2.5","16176","1","2","4","5","7","3.1","3.14","1","11","3","4"
"1985","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Westdeutschland","3.05","2.5","14598","1","2","4","5","7","3.02","3.08","1","10","4","4"
"1986","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Westdeutschland","3.03","2.5","13894","1","2","4","5","7","3","3.06","1","11","3","4"
"1987","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Westdeutschland","3.01","2.5","13642","1","2","4","5","7","2.98","3.04","1","17","3","4"
"1988","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Westdeutschland","2.98","2.5","13013","1","2","4","5","7","2.95","3.01","1","16","3","3"
"1989","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Westdeutschland","2.96","2.5","12594","1","2","4","5","7","2.93","2.99","1","17","3","3"
"1990","Ostdeutschland","2.99","2.5","6101","1","2","4","4","6","2.96","3.02","1","8","3","3"
"1990","Westdeutschland","2.97","2.5","12433","1","2","4","5","7","2.94","3","1","14","3","3"
"1991","Ostdeutschland","3.01","2.5","5667","1","2","4","4","6","2.98","3.04","1","7","3","3"
"1991","Westdeutschland","2.95","2.5","12477","1","2","4","5","7","2.92","2.98","1","15","3","3"
"1992","Ostdeutschland","2.95","2.5","5401","1","2","4","4","6","2.92","2.98","1","8","3","3"
"1992","Westdeutschland","2.95","2.5","12441","1","2","4","5","7","2.92","2.98","1","13","3","3"
"1993","Ostdeutschland","2.96","2.5","5167","1","2","4","4","6","2.93","2.99","1","8","3","3"
"1993","Westdeutschland","2.92","2.5","12361","1","2","4","5","7","2.89","2.95","1","13","3","3"
"1994","Ostdeutschland","2.93","2.5","5032","1","2","4","4","6","2.9","2.96","1","8","3","3"
"1994","Westdeutschland","2.91","2.5","12106","1","2","4","5","7","2.88","2.94","1","13","3","3"
"1995","Ostdeutschland","2.85","2.5","4861","1","2","4","4","6","2.82","2.88","1","8","3","3"
"1995","Westdeutschland","2.92","2.5","12851","1","2","4","5","7","2.89","2.95","1","11","3","3"
"1996","Ostdeutschland","2.83","2.5","4797","1","2","4","4","6","2.79","2.87","1","8","3","3"
"1996","Westdeutschland","2.9","2.5","12542","1","2","4","5","7","2.87","2.93","1","11","3","3"
"1997","Ostdeutschland","2.8","2.5","4683","1","2","4","4","6","2.77","2.83","1","8","3","3"
"1997","Westdeutschland","2.89","2.5","12324","1","2","4","5","7","2.86","2.92","1","12","3","3"
"1998","Ostdeutschland","2.77","2.5","4934","1","2","4","4","6","2.74","2.8","1","7","3","3"
"1998","Westdeutschland","2.89","2.5","13822","1","2","4","5","7","2.87","2.91","1","12","3","3"
"1999","Ostdeutschland","2.72","2.5","4771","1","2","4","4","5","2.69","2.75","1","7","3","3"
"1999","Westdeutschland","2.88","2.5","13217","1","2","4","5","7","2.86","2.9","1","13","3","3"
"2000","Ostdeutschland","2.7","2.5","7357","1","2","4","4","6","2.67","2.73","1","7","3","3"
"2000","Westdeutschland","2.86","2.5","24450","1","2","4","5","7","2.84","2.88","1","13","3","3"
"2001","Ostdeutschland","2.65","1.5","6738","1","2","4","4","5","2.62","2.68","1","7","3","3"
"2001","Westdeutschland","2.85","2.5","21990","1","2","4","5","7","2.83","2.87","1","12","3","3"
"2002","Ostdeutschland","2.65","1.5","6704","1","2","4","4","6","2.62","2.68","1","8","3","3"
"2002","Westdeutschland","2.83","2.5","23412","1","2","4","5","6","2.81","2.85","1","12","3","3"
"2003","Ostdeutschland","2.65","1.5","6547","1","2","3","4","6","2.62","2.68","1","11","3","3"
"2003","Westdeutschland","2.81","2.5","22245","1","2","4","5","6","2.79","2.83","1","13","3","3"
"2004","Ostdeutschland","2.61","1.5","6378","1","2","3","4","6","2.58","2.64","1","12","3","3"
"2004","Westdeutschland","2.8","2.5","21553","1","2","4","5","6","2.78","2.82","1","13","3","3"
"2005","Ostdeutschland","2.61","1.5","6151","1","2","3","4","6","2.58","2.64","1","12","3","3"
"2005","Westdeutschland","2.79","2.5","20555","1","2","4","5","6","2.77","2.81","1","13","3","3"
"2006","Ostdeutschland","2.55","1.5","6540","1","2","3","4","6","2.52","2.58","1","12","3","3"
"2006","Westdeutschland","2.77","1.5","22128","1","2","4","5","6","2.75","2.79","1","13","3","3"
"2007","Ostdeutschland","2.53","1.5","6124","1","2","3","4","6","2.5","2.56","1","13","2","3"
"2007","Westdeutschland","2.76","1.5","20494","1","2","4","4","6","2.74","2.78","1","13","3","3"
"2008","Ostdeutschland","2.52","1.5","5821","1","2","3","4","6","2.49","2.55","1","13","2","3"
"2008","Westdeutschland","2.73","1.5","19056","1","2","4","4","6","2.71","2.75","1","10","3","3"
"2009","Ostdeutschland","2.53","1.5","5582","1","2","3","4","6","2.5","2.56","1","14","2","2"
"2009","Westdeutschland","2.7","1.5","17639","1","2","4","4","6","2.68","2.72","1","10","3","3"
