"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","3.12","2.5","16176","3.1","3.14"
"1985","3.05","2.5","14598","3.02","3.08"
"1986","3.03","2.5","13894","3","3.06"
"1987","3.01","2.5","13642","2.98","3.04"
"1988","2.98","2.5","13013","2.95","3.01"
"1989","2.96","2.5","12594","2.93","2.99"
"1990","2.97","2.5","18534","2.95","2.99"
"1991","2.96","2.5","18144","2.94","2.98"
"1992","2.95","2.5","17842","2.93","2.97"
"1993","2.93","2.5","17528","2.91","2.95"
"1994","2.91","2.5","17138","2.89","2.93"
"1995","2.9","2.5","17712","2.88","2.92"
"1996","2.89","2.5","17339","2.87","2.91"
"1997","2.88","2.5","17007","2.86","2.9"
"1998","2.87","2.5","18756","2.85","2.89"
"1999","2.85","2.5","17988","2.83","2.87"
"2000","2.83","2.5","31807","2.81","2.85"
"2001","2.81","2.5","28728","2.79","2.83"
"2002","2.8","2.5","30116","2.78","2.82"
"2003","2.78","2.5","28792","2.76","2.8"
"2004","2.77","2.5","27931","2.75","2.79"
"2005","2.75","2.5","26706","2.73","2.77"
"2006","2.73","1.5","28668","2.71","2.75"
"2007","2.72","1.5","26618","2.7","2.74"
"2008","2.69","1.5","24877","2.67","2.71"
"2009","2.67","1.5","23221","2.65","2.69"
"2010","2.67","1.5","37468","2.65","2.69"
"2011","2.67","1.5","44001","2.66","2.68"
"2012","2.66","1.5","42406","2.65","2.67"
"2013","2.66","1.5","47665","2.65","2.67"
"2014","2.66","1.5","41507","2.64","2.68"
"2015","2.65","1.5","41052","2.63","2.67"
"2016","2.67","1.5","45088","2.65","2.69"
"2017","2.68","1.5","50153","2.66","2.7"
"2018","2.66","1.5","48143","2.64","2.68"
"2019","2.67","1.5","48664","2.65","2.69"
"2020","2.69","1.5","49931","2.67","2.71"
