year,regtyp,sampreg,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,West,Daily,0.65798,5866,7464,0.64722,0.66875
1990,Urban regions,West,At least once per week,0.12119,1132,7464,0.11379,0.12860
1990,Urban regions,West,At least once per month,0.01360,111,7464,0.01097,0.01623
1990,Urban regions,West,Seldom,0.03145,275,7464,0.02749,0.03541
1990,Urban regions,West,Never,0.00856,80,7464,0.00647,0.01065
1990,Rural regions,West,Daily,0.65089,1540,1933,0.62963,0.67214
1990,Rural regions,West,At least once per week,0.11790,290,1933,0.10352,0.13228
1990,Rural regions,West,At least once per month,0.02088,44,1933,0.01450,0.02725
1990,Rural regions,West,Seldom,0.02573,59,1933,0.01867,0.03279
1995,Urban regions,West,Daily,0.68588,6256,7472,0.67535,0.69640
1995,Urban regions,West,At least once per week,0.09559,867,7472,0.08892,0.10226
1995,Urban regions,West,At least once per month,0.01188,100,7472,0.00942,0.01433
1995,Urban regions,West,Seldom,0.01906,168,7472,0.01596,0.02216
1995,Urban regions,West,Never,0.00942,81,7472,0.00723,0.01161
1995,Urban regions,East,Daily,0.72212,1052,1174,0.69648,0.74775
1995,Urban regions,East,At least once per week,0.07787,122,1174,0.06253,0.09320
1995,Rural regions,West,Daily,0.64362,1681,2022,0.62274,0.66450
1995,Rural regions,West,At least once per week,0.10556,276,2022,0.09216,0.11896
1995,Rural regions,West,Seldom,0.03054,65,2022,0.02304,0.03805
1995,Rural regions,East,Daily,0.73072,2168,2432,0.71308,0.74835
1995,Rural regions,East,At least once per week,0.05815,197,2432,0.04885,0.06745
1995,Rural regions,East,Seldom,0.01805,67,2432,0.01276,0.02335
1998,Urban regions,West,Daily,0.69069,6739,7985,0.68056,0.70083
1998,Urban regions,West,At least once per week,0.09646,897,7985,0.08998,0.10293
1998,Urban regions,West,At least once per month,0.00793,76,7985,0.00598,0.00988
1998,Urban regions,West,Seldom,0.02015,184,7985,0.01707,0.02323
1998,Urban regions,West,Never,0.00966,89,7985,0.00752,0.01181
1998,Urban regions,East,Daily,0.72443,1078,1198,0.69912,0.74975
1998,Urban regions,East,At least once per week,0.07479,120,1198,0.05989,0.08969
1998,Rural regions,West,Daily,0.66225,1959,2302,0.64293,0.68158
1998,Rural regions,West,At least once per week,0.07967,241,2302,0.06860,0.09073
1998,Rural regions,West,At least once per month,0.01500,34,2302,0.01004,0.01997
1998,Rural regions,West,Seldom,0.02498,68,2302,0.01860,0.03135
1998,Rural regions,East,Daily,0.75336,2319,2571,0.73669,0.77002
1998,Rural regions,East,At least once per week,0.05466,192,2571,0.04587,0.06344
1998,Rural regions,East,Seldom,0.01796,60,2571,0.01283,0.02310
2003,Urban regions,West,Daily,0.71399,11109,12955,0.70621,0.72178
2003,Urban regions,West,At least once per week,0.07804,1359,12955,0.07342,0.08266
2003,Urban regions,West,At least once per month,0.00835,118,12955,0.00678,0.00992
2003,Urban regions,West,Seldom,0.01258,211,12955,0.01066,0.01450
2003,Urban regions,West,Never,0.01182,158,12955,0.00996,0.01368
2003,Urban regions,East,Daily,0.75073,1513,1721,0.73029,0.77117
2003,Urban regions,East,At least once per week,0.08221,167,1721,0.06923,0.09519
2003,Urban regions,East,Seldom,0.01897,41,1721,0.01253,0.02542
2003,Rural regions,West,Daily,0.69841,3234,3805,0.68382,0.71299
2003,Rural regions,West,At least once per week,0.07393,390,3805,0.06561,0.08224
2003,Rural regions,West,At least once per month,0.01007,42,3805,0.00690,0.01324
2003,Rural regions,West,Seldom,0.01722,80,3805,0.01309,0.02136
2003,Rural regions,West,Never,0.01302,59,3805,0.00942,0.01663
2003,Rural regions,East,Daily,0.77835,3186,3512,0.76461,0.79209
2003,Rural regions,East,At least once per week,0.05602,266,3512,0.04842,0.06363
2003,Rural regions,East,Seldom,0.01396,60,3512,0.01008,0.01785
2008,Urban regions,West,Daily,0.69309,9157,11057,0.68450,0.70169
2008,Urban regions,West,At least once per week,0.09802,1367,11057,0.09248,0.10356
2008,Urban regions,West,At least once per month,0.01167,160,11057,0.00967,0.01368
2008,Urban regions,West,Seldom,0.01704,237,11057,0.01463,0.01945
2008,Urban regions,West,Never,0.01069,136,11057,0.00877,0.01260
2008,Urban regions,East,Daily,0.70392,1308,1591,0.68148,0.72636
2008,Urban regions,East,At least once per week,0.11824,208,1591,0.10237,0.13411
2008,Urban regions,East,At least once per month,0.02455,32,1591,0.01695,0.03216
2008,Urban regions,East,Seldom,0.01849,43,1591,0.01187,0.02511
2008,Rural regions,West,Daily,0.68538,2893,3452,0.66989,0.70087
2008,Rural regions,West,At least once per week,0.09580,390,3452,0.08598,0.10561
2008,Rural regions,West,At least once per month,0.01009,41,3452,0.00675,0.01342
2008,Rural regions,West,Seldom,0.02515,92,3452,0.01992,0.03037
2008,Rural regions,West,Never,0.01166,36,3452,0.00808,0.01525
2008,Rural regions,East,Daily,0.76342,2728,3110,0.74848,0.77836
2008,Rural regions,East,At least once per week,0.06673,280,3110,0.05796,0.07551
2008,Rural regions,East,At least once per month,0.00885,38,3110,0.00556,0.01214
2008,Rural regions,East,Seldom,0.01823,64,3110,0.01353,0.02294
2013,Urban regions,West,Daily,0.57744,10862,14243,0.56933,0.58555
2013,Urban regions,West,At least once per week,0.11490,2438,14243,0.10966,0.12014
2013,Urban regions,West,At least once per month,0.01435,319,14243,0.01239,0.01630
2013,Urban regions,West,Seldom,0.02039,443,14243,0.01806,0.02271
2013,Urban regions,West,Never,0.01020,181,14243,0.00855,0.01185
2013,Urban regions,East,Daily,0.63970,1471,1925,0.61825,0.66115
2013,Urban regions,East,At least once per week,0.12257,319,1925,0.10792,0.13722
2013,Urban regions,East,At least once per month,0.02294,55,1925,0.01625,0.02963
2013,Urban regions,East,Seldom,0.03126,80,1925,0.02348,0.03903
2013,Rural regions,West,Daily,0.62921,4395,5515,0.61646,0.64196
2013,Rural regions,West,At least once per week,0.09382,760,5515,0.08612,0.10152
2013,Rural regions,West,At least once per month,0.01936,125,5515,0.01572,0.02300
2013,Rural regions,West,Seldom,0.02160,181,5515,0.01776,0.02544
2013,Rural regions,West,Never,0.00906,54,5515,0.00656,0.01157
2013,Rural regions,East,Daily,0.69067,3078,3752,0.67588,0.70546
2013,Rural regions,East,At least once per week,0.10106,467,3752,0.09142,0.11071
2013,Rural regions,East,At least once per month,0.01578,62,3752,0.01179,0.01977
2013,Rural regions,East,Seldom,0.02498,111,3752,0.01999,0.02998
2013,Rural regions,East,Never,0.01028,34,3752,0.00705,0.01351
2019,Urban regions,West,Daily,0.62966,10636,14479,0.62180,0.63753
2019,Urban regions,West,At least once per week,0.13563,2693,14479,0.13005,0.14121
2019,Urban regions,West,At least once per month,0.01758,320,14479,0.01544,0.01972
2019,Urban regions,West,Seldom,0.03006,596,14479,0.02728,0.03284
2019,Urban regions,West,Never,0.01336,234,14479,0.01149,0.01523
2019,Urban regions,East,Daily,0.62897,1403,1870,0.60706,0.65087
2019,Urban regions,East,At least once per week,0.17754,339,1870,0.16021,0.19486
2019,Urban regions,East,At least once per month,0.01305,37,1870,0.00791,0.01820
2019,Urban regions,East,Seldom,0.02826,91,1870,0.02075,0.03577
2019,Rural regions,West,Daily,0.65333,3997,5202,0.64040,0.66627
2019,Rural regions,West,At least once per week,0.12494,844,5202,0.11596,0.13393
2019,Rural regions,West,At least once per month,0.01570,100,5202,0.01232,0.01908
2019,Rural regions,West,Seldom,0.02886,193,5202,0.02431,0.03341
2019,Rural regions,West,Never,0.01076,68,5202,0.00795,0.01356
2019,Rural regions,East,Daily,0.68606,2926,3553,0.67080,0.70133
2019,Rural regions,East,At least once per week,0.09646,438,3553,0.08675,0.10617
2019,Rural regions,East,At least once per month,0.01516,58,3553,0.01114,0.01918
2019,Rural regions,East,Seldom,0.03006,131,3553,0.02444,0.03567
2021,Urban regions,West,Daily,0.59151,6963,10064,0.58190,0.60111
2021,Urban regions,West,At least once per week,0.16114,2214,10064,0.15396,0.16833
2021,Urban regions,West,At least once per month,0.01703,271,10064,0.01450,0.01956
2021,Urban regions,West,Seldom,0.03307,422,10064,0.02957,0.03656
2021,Urban regions,West,Never,0.01520,194,10064,0.01281,0.01759
2021,Urban regions,East,Daily,0.54642,906,1315,0.51950,0.57334
2021,Urban regions,East,At least once per week,0.20069,320,1315,0.17903,0.22234
2021,Urban regions,East,At least once per month,0.01767,38,1315,0.01055,0.02480
2021,Urban regions,East,Seldom,0.03652,51,1315,0.02638,0.04666
2021,Rural regions,West,Daily,0.61714,2548,3507,0.60105,0.63323
2021,Rural regions,West,At least once per week,0.14480,675,3507,0.13315,0.15645
2021,Rural regions,West,At least once per month,0.01874,85,3507,0.01425,0.02323
2021,Rural regions,West,Seldom,0.02899,143,3507,0.02344,0.03455
2021,Rural regions,West,Never,0.01851,56,3507,0.01405,0.02297
2021,Rural regions,East,Daily,0.62239,1723,2281,0.60249,0.64229
2021,Rural regions,East,At least once per week,0.14785,379,2281,0.13328,0.16242
2021,Rural regions,East,At least once per month,0.02668,68,2281,0.02007,0.03330
2021,Rural regions,East,Seldom,0.02675,79,2281,0.02013,0.03338
2021,Rural regions,East,Never,0.01304,32,2281,0.00838,0.01770
