,Unnamed: 0,year,sampreg,sex,pli0083,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,West,male,Daily,0.78565,3632,9415,0.76982,0.80231
1,1,1990,West,male,At least once per week,0.15134,732,9415,0.14321,0.15831
2,2,1990,West,male,At least once per month,0.01805,79,9415,0.0155,0.02099
3,3,1990,West,male,Seldom,0.03647,150,9415,0.0328,0.0398
4,4,1990,West,male,Never,0.00849,49,9415,0.00682,0.01015
5,5,1990,West,female,Daily,0.79459,3774,9415,0.77893,0.81202
6,6,1990,West,female,At least once per week,0.13926,690,9415,0.1333,0.14685
7,7,1990,West,female,At least once per month,0.01872,76,9415,0.01592,0.0218
8,8,1990,West,female,Seldom,0.03608,184,9415,0.03284,0.0401
9,9,1990,West,female,Never,0.01135,49,9415,0.0093,0.01343
10,10,1995,West,male,Daily,0.83111,3868,13163,0.81244,0.8513
11,11,1995,West,male,At least once per week,0.11846,541,13163,0.11204,0.12649
12,12,1995,West,male,At least once per month,0.01473,62,13163,0.01236,0.01711
13,13,1995,West,male,Seldom,0.02572,112,13163,0.02239,0.02987
14,14,1995,West,male,Never,0.00998,43,13163,0.0079,0.01231
15,15,1995,West,female,Daily,0.82422,4069,13163,0.8058,0.84327
16,16,1995,West,female,At least once per week,0.12128,602,13163,0.11365,0.12807
17,17,1995,West,female,At least once per month,0.01395,64,13163,0.01161,0.0165
18,18,1995,West,female,Seldom,0.02754,121,13163,0.02359,0.03209
19,19,1995,West,female,Never,0.013,51,13163,0.01042,0.01611
20,20,1995,East,male,Daily,0.88755,1514,13163,0.86191,0.91596
21,21,1995,East,male,At least once per week,0.093,171,13163,0.08404,0.102
22,22,1995,East,male,Seldom,0.01946,43,13163,0.01716,0.02213
23,23,1995,East,female,Daily,0.90939,1706,13163,0.8818,0.93639
24,24,1995,East,female,At least once per week,0.0681,148,13163,0.06028,0.07654
25,25,1995,East,female,Seldom,0.02251,48,13163,0.01837,0.02721
26,26,1998,West,male,Daily,0.8381,4230,14108,0.81912,0.8558
27,27,1998,West,male,At least once per week,0.11704,561,14108,0.11095,0.12324
28,28,1998,West,male,At least once per month,0.01234,55,14108,0.00985,0.01505
29,29,1998,West,male,Seldom,0.02346,106,14108,0.02061,0.02678
30,30,1998,West,male,Never,0.00906,43,14108,0.00724,0.0111
31,31,1998,West,female,Daily,0.83548,4468,14108,0.82112,0.85141
32,32,1998,West,female,At least once per week,0.10958,577,14108,0.1035,0.11526
33,33,1998,West,female,At least once per month,0.01114,55,14108,0.0089,0.01347
34,34,1998,West,female,Seldom,0.02843,146,14108,0.02501,0.0313
35,35,1998,West,female,Never,0.01537,70,14108,0.01296,0.01767
36,36,1998,East,male,Daily,0.90376,1635,14108,0.87756,0.92942
37,37,1998,East,male,At least once per week,0.0754,154,14108,0.0679,0.08255
