year,bula_h,pgisced97,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Lower Secondary Level,Daily,0.87498,54,54,0.78593,0.96402
1990,Schleswig-Holstein,Upper Secondary Level,Daily,0.85982,134,134,0.80082,0.91882
1990,Hamburg,Upper Secondary Level,Daily,0.76935,73,73,0.67204,0.86665
1990,Lower Saxony,Primary Level,Daily,0.90071,36,36,0.80164,0.99979
1990,Lower Saxony,Lower Secondary Level,Daily,0.82720,196,228,0.77802,0.87639
1990,Lower Saxony,Lower Secondary Level,At least once per week,0.09172,32,228,0.05417,0.12927
1990,Lower Saxony,Upper Secondary Level,Daily,0.81599,402,474,0.78106,0.85091
1990,Lower Saxony,Upper Secondary Level,At least once per week,0.13646,72,474,0.10553,0.16740
1990,Lower Saxony,First Stage of Tertiary Education,Daily,0.76084,50,50,0.64140,0.88028
1990,Lower Saxony,Second Stage of Tertiary Education,Daily,0.66065,51,51,0.52941,0.79190
1990,Bremen,Upper Secondary Level,Daily,0.87665,46,46,0.78056,0.97273
1990,North Rhine-Westphalia,No answer / don't know,Daily,0.70937,43,43,0.57205,0.84669
1990,North Rhine-Westphalia,Pre-primary Level,Daily,0.65141,42,42,0.50555,0.79727
1990,North Rhine-Westphalia,Primary Level,Daily,0.83324,152,152,0.77379,0.89270
1990,North Rhine-Westphalia,Lower Secondary Level,Daily,0.85171,507,572,0.82256,0.88086
1990,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.08533,65,572,0.06242,0.10825
1990,North Rhine-Westphalia,Upper Secondary Level,Daily,0.81689,990,1196,0.79497,0.83882
1990,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.13654,171,1196,0.11707,0.15601
1990,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.02981,35,1196,0.02016,0.03945
1990,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Daily,0.66705,65,65,0.55159,0.78251
1990,North Rhine-Westphalia,First Stage of Tertiary Education,Daily,0.81277,105,105,0.73780,0.88775
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Daily,0.72300,146,184,0.65817,0.78784
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per week,0.21435,38,184,0.15489,0.27381
1990,Hesse,Primary Level,Daily,0.59448,50,50,0.45700,0.73196
1990,Hesse,Lower Secondary Level,Daily,0.80056,197,247,0.75063,0.85050
1990,Hesse,Lower Secondary Level,At least once per week,0.13399,50,247,0.09142,0.17656
1990,Hesse,Upper Secondary Level,Daily,0.82628,363,425,0.79022,0.86234
1990,Hesse,Upper Secondary Level,At least once per week,0.11630,62,425,0.08578,0.14681
1990,Hesse,First Stage of Tertiary Education,Daily,0.79833,34,34,0.66143,0.93524
1990,Hesse,Second Stage of Tertiary Education,Daily,0.68996,52,52,0.56302,0.81690
1990,"Rhineland-Palatinate, Saarland",Primary Level,Daily,0.85079,31,31,0.72330,0.97829
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Daily,0.87616,181,181,0.82804,0.92429
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Daily,0.80238,258,308,0.75784,0.84693
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per week,0.15616,50,308,0.11555,0.19676
1990,Baden-Wuerttemberg,Primary Level,Daily,0.76530,152,152,0.69771,0.83290
1990,Baden-Wuerttemberg,Lower Secondary Level,Daily,0.82569,425,493,0.79217,0.85921
1990,Baden-Wuerttemberg,Lower Secondary Level,At least once per week,0.12252,68,493,0.09354,0.15149
1990,Baden-Wuerttemberg,Upper Secondary Level,Daily,0.79192,632,752,0.76288,0.82095
1990,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.15267,120,752,0.12695,0.17840
1990,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Daily,0.61034,36,36,0.44878,0.77191
1990,Baden-Wuerttemberg,First Stage of Tertiary Education,Daily,0.74484,74,74,0.64484,0.84485
1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,Daily,0.70287,67,67,0.59261,0.81312
