year,age_gr,pgisced97,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No answer / don't know,Daily,0.66954,68,68,0.55691,0.78217
1990,17-29 y.,Pre-primary Level,Daily,0.71243,123,123,0.63211,0.79275
1990,17-29 y.,Primary Level,Daily,0.87047,97,97,0.80330,0.93764
1990,17-29 y.,Lower Secondary Level,Daily,0.76260,593,770,0.73253,0.79268
1990,17-29 y.,Lower Secondary Level,At least once per week,0.16059,146,770,0.13464,0.18654
1990,17-29 y.,Lower Secondary Level,Seldom,0.04236,31,770,0.02813,0.05660
1990,17-29 y.,Upper Secondary Level,Daily,0.70966,910,1232,0.68431,0.73502
1990,17-29 y.,Upper Secondary Level,At least once per week,0.22887,278,1232,0.20540,0.25234
1990,17-29 y.,Upper Secondary Level,Seldom,0.03597,44,1232,0.02556,0.04637
1990,17-29 y.,Post-secondary Non-tertiary Level,Daily,0.48124,72,113,0.38870,0.57378
1990,17-29 y.,Post-secondary Non-tertiary Level,At least once per week,0.44719,41,113,0.35511,0.53928
1990,17-29 y.,First Stage of Tertiary Education,Daily,0.68758,58,58,0.56726,0.80790
1990,17-29 y.,Second Stage of Tertiary Education,Daily,0.57568,44,44,0.42795,0.72341
1990,30-45 y.,No answer / don't know,Daily,0.82295,32,32,0.68858,0.95732
1990,30-45 y.,Primary Level,Daily,0.83380,162,162,0.77629,0.89130
1990,30-45 y.,Lower Secondary Level,Daily,0.82555,396,463,0.79095,0.86016
1990,30-45 y.,Lower Secondary Level,At least once per week,0.12309,67,463,0.09313,0.15305
1990,30-45 y.,Upper Secondary Level,Daily,0.78327,1130,1385,0.76157,0.80498
1990,30-45 y.,Upper Secondary Level,At least once per week,0.15019,208,1385,0.13137,0.16902
1990,30-45 y.,Upper Secondary Level,Seldom,0.03734,47,1385,0.02735,0.04733
1990,30-45 y.,Post-secondary Non-tertiary Level,Daily,0.66509,69,69,0.55292,0.77727
1990,30-45 y.,First Stage of Tertiary Education,Daily,0.66031,134,180,0.59093,0.72969
1990,30-45 y.,First Stage of Tertiary Education,At least once per week,0.22308,46,180,0.16209,0.28407
1990,30-45 y.,Second Stage of Tertiary Education,Daily,0.56379,188,314,0.50885,0.61873
1990,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.28634,94,314,0.23626,0.33642
1990,30-45 y.,Second Stage of Tertiary Education,Seldom,0.10069,32,314,0.06735,0.13402
1990,46-65 y.,Primary Level,Daily,0.75398,233,276,0.70307,0.80488
1990,46-65 y.,Primary Level,At least once per week,0.17452,43,276,0.12966,0.21938
1990,46-65 y.,Lower Secondary Level,Daily,0.83545,655,748,0.80887,0.86204
1990,46-65 y.,Lower Secondary Level,At least once per week,0.09751,93,748,0.07624,0.11878
1990,46-65 y.,Upper Secondary Level,Daily,0.84715,1151,1335,0.82784,0.86646
1990,46-65 y.,Upper Secondary Level,At least once per week,0.10590,145,1335,0.08939,0.12241
1990,46-65 y.,Upper Secondary Level,Seldom,0.03301,39,1335,0.02342,0.04260
1990,46-65 y.,Post-secondary Non-tertiary Level,Daily,0.74380,39,39,0.60500,0.88259
1990,46-65 y.,First Stage of Tertiary Education,Daily,0.85325,136,136,0.79356,0.91295
1990,46-65 y.,Second Stage of Tertiary Education,Daily,0.76636,175,175,0.70349,0.82923
1990,66 and older,Lower Secondary Level,Daily,0.88792,336,336,0.85413,0.92170
1990,66 and older,Upper Secondary Level,Daily,0.90484,441,441,0.87742,0.93226
1990,66 and older,First Stage of Tertiary Education,Daily,0.88338,63,63,0.80348,0.96327
1990,66 and older,Second Stage of Tertiary Education,Daily,0.88272,54,54,0.79609,0.96934
1995,17-29 y.,No answer / don't know,Daily,0.78445,132,132,0.71404,0.85487
1995,17-29 y.,Pre-primary Level,Daily,0.80026,237,276,0.75301,0.84752
1995,17-29 y.,Pre-primary Level,At least once per week,0.16423,39,276,0.12045,0.20802
1995,17-29 y.,Primary Level,Daily,0.82767,64,64,0.73441,0.92093
1995,17-29 y.,Lower Secondary Level,Daily,0.82418,636,735,0.79664,0.85172
1995,17-29 y.,Lower Secondary Level,At least once per week,0.13854,99,735,0.11354,0.16353
1995,17-29 y.,Upper Secondary Level,Daily,0.79939,1294,1563,0.77953,0.81925
1995,17-29 y.,Upper Secondary Level,At least once per week,0.14021,222,1563,0.12299,0.15743
1995,17-29 y.,Upper Secondary Level,Seldom,0.02952,47,1563,0.02113,0.03792
1995,17-29 y.,Post-secondary Non-tertiary Level,Daily,0.67961,120,163,0.60775,0.75146
1995,17-29 y.,Post-secondary Non-tertiary Level,At least once per week,0.26526,43,163,0.19728,0.33324
1995,17-29 y.,First Stage of Tertiary Education,Daily,0.71911,76,76,0.61739,0.82082
1995,17-29 y.,Second Stage of Tertiary Education,Daily,0.67414,124,156,0.60035,0.74792
1995,17-29 y.,Second Stage of Tertiary Education,At least once per week,0.23101,32,156,0.16466,0.29737
1995,30-45 y.,No answer / don't know,Daily,0.77579,48,48,0.65656,0.89503
1995,30-45 y.,Primary Level,Daily,0.89796,127,127,0.84510,0.95081
1995,30-45 y.,Lower Secondary Level,Daily,0.83941,394,445,0.80526,0.87356
1995,30-45 y.,Lower Secondary Level,At least once per week,0.12849,51,445,0.09736,0.15962
1995,30-45 y.,Upper Secondary Level,Daily,0.82466,1990,2334,0.80923,0.84009
1995,30-45 y.,Upper Secondary Level,At least once per week,0.11767,266,2334,0.10460,0.13075
1995,30-45 y.,Upper Secondary Level,Seldom,0.03496,78,2334,0.02750,0.04241
1995,30-45 y.,Post-secondary Non-tertiary Level,Daily,0.68595,151,195,0.62064,0.75127
1995,30-45 y.,Post-secondary Non-tertiary Level,At least once per week,0.23852,44,195,0.17855,0.29850
1995,30-45 y.,First Stage of Tertiary Education,Daily,0.75030,250,299,0.70116,0.79945
1995,30-45 y.,First Stage of Tertiary Education,At least once per week,0.14829,49,299,0.10794,0.18865
1995,30-45 y.,Second Stage of Tertiary Education,Daily,0.67094,597,816,0.63868,0.70320
1995,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.23285,178,816,0.20383,0.26186
1995,30-45 y.,Second Stage of Tertiary Education,Seldom,0.05615,41,816,0.04035,0.07196
1995,46-65 y.,Primary Level,Daily,0.91668,247,247,0.88214,0.95121
1995,46-65 y.,Lower Secondary Level,Daily,0.86937,697,750,0.84524,0.89351
1995,46-65 y.,Lower Secondary Level,At least once per week,0.07961,53,750,0.06022,0.09899
1995,46-65 y.,Upper Secondary Level,Daily,0.88818,1783,1949,0.87419,0.90218
1995,46-65 y.,Upper Secondary Level,At least once per week,0.08136,134,1949,0.06922,0.09350
1995,46-65 y.,Upper Secondary Level,Seldom,0.01692,32,1949,0.01120,0.02265
1995,46-65 y.,Post-secondary Non-tertiary Level,Daily,0.90144,56,56,0.82266,0.98022
1995,46-65 y.,First Stage of Tertiary Education,Daily,0.83293,208,208,0.78211,0.88374
1995,46-65 y.,Second Stage of Tertiary Education,Daily,0.80992,479,554,0.77722,0.84262
1995,46-65 y.,Second Stage of Tertiary Education,At least once per week,0.13348,75,554,0.10514,0.16183
1995,66 and older,Primary Level,Daily,0.95114,34,34,0.87758,1.02469
1995,66 and older,Lower Secondary Level,Daily,0.89137,428,428,0.86186,0.92089
1995,66 and older,Upper Secondary Level,Daily,0.95968,704,704,0.94514,0.97422
1995,66 and older,First Stage of Tertiary Education,Daily,0.94615,77,77,0.89540,0.99690
1995,66 and older,Second Stage of Tertiary Education,Daily,0.94802,145,145,0.91177,0.98428
