"pli0083","year","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","Schleswig-Holstein","220","","",""
"Taeglich","1990","Hamburg","134","","",""
"Taeglich","1990","Niedersachsen","765","0.794822393979804","0.769448232615392","0.820196555344216"
"Taeglich","1990","Bremen","83","0.853492378591225","0.784529189493386","0.922455567689065"
"Taeglich","1990","Nordrhein-Westfalen","2050","","",""
"Taeglich","1990","Hessen","748","0.789938800345377","0.764408947744105","0.815468652946649"
"Taeglich","1990","Rheinland-Pfalz,Saarland","539","0.804407138890142","0.774327382293815","0.834486895486468"
"Taeglich","1990","Baden-Wuerttemberg","1415","","",""
"Taeglich","1990","Bayern","1186","","",""
"Taeglich","1990","Saarland","","","",""
"Taeglich","1990","Berlin","266","","",""
"Taeglich","1990","Brandenburg","","","",""
"Taeglich","1990","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","Sachsen","","","",""
"Taeglich","1990","Sachsen-Anhalt","","","",""
"Taeglich","1990","Thueringen","","","",""
"Min 1x pro Woche","1990","Schleswig-Holstein","46","0.156879135071186","0.114506801271385","0.199251468870986"
"Min 1x pro Woche","1990","Hamburg","24","","",""
"Min 1x pro Woche","1990","Niedersachsen","148","","",""
"Min 1x pro Woche","1990","Bremen","7","0.0478759695342186","0.00623767256676883","0.0895142665016684"
"Min 1x pro Woche","1990","Nordrhein-Westfalen","356","0.13913966152316","0.125693571372657","0.152585751673663"
"Min 1x pro Woche","1990","Hessen","160","","",""
"Min 1x pro Woche","1990","Rheinland-Pfalz,Saarland","101","","",""
"Min 1x pro Woche","1990","Baden-Wuerttemberg","256","","",""
"Min 1x pro Woche","1990","Bayern","283","","",""
"Min 1x pro Woche","1990","Saarland","","","",""
"Min 1x pro Woche","1990","Berlin","41","0.110543235488088","0.0764526140850902","0.144633856891087"
"Min 1x pro Woche","1990","Brandenburg","","","",""
"Min 1x pro Woche","1990","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1990","Sachsen","","","",""
"Min 1x pro Woche","1990","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1990","Thueringen","","","",""
"Min 1x pro Monat","1990","Schleswig-Holstein","6","0.0144947501318141","0.000569926253473982","0.0284195740101542"
"Min 1x pro Monat","1990","Hamburg","3","","",""
"Min 1x pro Monat","1990","Niedersachsen","17","","",""
"Min 1x pro Monat","1990","Bremen","","","",""
"Min 1x pro Monat","1990","Nordrhein-Westfalen","31","0.0129400689654193","0.00854926291113828","0.0173308750197003"
"Min 1x pro Monat","1990","Hessen","17","","",""
"Min 1x pro Monat","1990","Rheinland-Pfalz,Saarland","6","0.00613110883974204","0.000211487580192711","0.0120507300992914"
"Min 1x pro Monat","1990","Baden-Wuerttemberg","26","","",""
"Min 1x pro Monat","1990","Bayern","43","0.0308244215711479","0.0223367434382453","0.0393120997040505"
"Min 1x pro Monat","1990","Saarland","","","",""
"Min 1x pro Monat","1990","Berlin","6","0.00729057859108021","-0.00195850022503299","0.0165396574071934"
"Min 1x pro Monat","1990","Brandenburg","","","",""
"Min 1x pro Monat","1990","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Monat","1990","Sachsen","","","",""
"Min 1x pro Monat","1990","Sachsen-Anhalt","","","",""
"Min 1x pro Monat","1990","Thueringen","","","",""
"Seltener","1990","Schleswig-Holstein","9","0.0349884267196749","0.0135800695659382","0.0563967838734116"
"Seltener","1990","Hamburg","4","0.0330374881573281","0.00584791587008045","0.0602270604445758"
"Seltener","1990","Niedersachsen","37","0.0373087101720124","0.0254006694921703","0.0492167508518544"
"Seltener","1990","Bremen","7","0.073826667114085","0.0228301904700109","0.124823143758159"
"Seltener","1990","Nordrhein-Westfalen","89","0.0347040982457297","0.0275931943210467","0.0418150021704128"
"Seltener","1990","Hessen","42","0.0417728577700921","0.0292339418154718","0.0543117737247123"
"Seltener","1990","Rheinland-Pfalz,Saarland","19","","",""
"Seltener","1990","Baden-Wuerttemberg","56","0.0350935064931446","0.0265521191680669","0.0436348938182223"
"Seltener","1990","Bayern","61","0.036354304992586","0.0271630075833554","0.0455456024018166"
"Seltener","1990","Saarland","","","",""
"Seltener","1990","Berlin","10","","",""
"Seltener","1990","Brandenburg","","","",""
"Seltener","1990","Mecklenburg-Vorpommern","","","",""
"Seltener","1990","Sachsen","","","",""
"Seltener","1990","Sachsen-Anhalt","","","",""
"Seltener","1990","Thueringen","","","",""
"Nie","1990","Schleswig-Holstein","2","","",""
"Nie","1990","Hamburg","1","","",""
"Nie","1990","Niedersachsen","6","0.00723686871793897","0.00191100758856203","0.0125627298473159"
"Nie","1990","Bremen","4","0.0248049847604711","-0.00552712527158297","0.0551370947925252"
"Nie","1990","Nordrhein-Westfalen","19","","",""
"Nie","1990","Hessen","11","","",""
"Nie","1990","Rheinland-Pfalz,Saarland","3","","",""
"Nie","1990","Baden-Wuerttemberg","30","0.0156764177014169","0.00991054861097152","0.0214422867918623"
"Nie","1990","Bayern","20","","",""
"Nie","1990","Saarland","","","",""
"Nie","1990","Berlin","2","","",""
"Nie","1990","Brandenburg","","","",""
"Nie","1990","Mecklenburg-Vorpommern","","","",""
"Nie","1990","Sachsen","","","",""
"Nie","1990","Sachsen-Anhalt","","","",""
"Nie","1990","Thueringen","","","",""
"Taeglich","1991","Schleswig-Holstein","","","",""
"Taeglich","1991","Hamburg","","","",""
"Taeglich","1991","Niedersachsen","","","",""
"Taeglich","1991","Bremen","","","",""
"Taeglich","1991","Nordrhein-Westfalen","","","",""
