year,regtyp,pli0083,proportion,n,lower_confidence,upper_confidence
1990,Staedtischer Raum,Taeglich,0.6216479238754326,18165,0.6145951708689013,0.6287006768819638
1990,Laendlicher Raum,Taeglich,0.16457612456747406,18165,0.15918380990166953,0.1699684392332786
1990,Staedtischer Raum,Min 1x pro Woche,0.12045847750865052,18165,0.1157249464763138,0.12519200854098722
1990,Laendlicher Raum,Min 1x pro Woche,0.030493079584775085,18165,0.027992650910683623,0.032993508258866544
1990,Staedtischer Raum,Seltener,0.029411764705882353,18165,0.026954700964394604,0.0318688284473701
1990,Staedtischer Raum,Min 1x pro Monat,0.011678200692041523,18165,0.010115860789866222,0.013240540594216824
1990,Staedtischer Raum,Nie,0.008542387543252596,18165,0.007204051786847708,0.009880723299657484
1990,Laendlicher Raum,Seltener,0.006379757785467128,18165,0.005221912102379819,0.007537603468554437
1990,Laendlicher Raum,Min 1x pro Monat,0.004865916955017301,18165,0.0038539612174881485,0.0058778726925464535
1990,Laendlicher Raum,Nie,0.0019463667820069203,18165,0.0013054116159898139,0.0025873219480240265
1995,Staedtischer Raum,Taeglich,0.5526558891454966,17246,0.5452349282381709,0.5600768500528223
1995,Laendlicher Raum,Taeglich,0.29176289453425713,17246,0.28497841950960623,0.29854736955890804
1995,Staedtischer Raum,Min 1x pro Woche,0.07490377213240955,17246,0.07097499692852215,0.07883254733629695
1995,Laendlicher Raum,Min 1x pro Woche,0.03579676674364896,17246,0.03302396975880449,0.03856956372849343
1995,Staedtischer Raum,Seltener,0.01447267128560431,17246,0.012690208113878058,0.016255134457330563
1995,Laendlicher Raum,Seltener,0.0100846805234796,17246,0.008593459645653062,0.011575901401306139
1995,Staedtischer Raum,Min 1x pro Monat,0.007929176289453426,17246,0.006605452859325588,0.009252899719581265
1995,Staedtischer Raum,Nie,0.006928406466512702,17246,0.005690411613014841,0.008166401320010563
1995,Laendlicher Raum,Min 1x pro Monat,0.003233256351039261,17246,0.002385972907758145,0.004080539794320377
1995,Laendlicher Raum,Nie,0.0022324865280985372,17246,0.001528083874006759,0.0029368891821903156
1998,Staedtischer Raum,Taeglich,0.5516522988505748,18147,0.5444163774363795,0.55888822026477
1998,Laendlicher Raum,Taeglich,0.3019396551724138,18147,0.29525990510780453,0.308619405237023
1998,Staedtischer Raum,Min 1x pro Woche,0.0716235632183908,18147,0.06787172876030201,0.0753753976764796
1998,Laendlicher Raum,Min 1x pro Woche,0.03132183908045977,18147,0.02878748650583225,0.03385619165508729
1998,Staedtischer Raum,Seltener,0.014942528735632184,18147,0.01317731830008346,0.016707739171180905
1998,Laendlicher Raum,Seltener,0.009123563218390805,18147,0.0077401699914572564,0.010506956445324353
1998,Staedtischer Raum,Nie,0.007255747126436782,18147,0.006020899384904352,0.008490594867969211
1998,Staedtischer Raum,Min 1x pro Monat,0.00603448275862069,18147,0.004907650331803741,0.007161315185437638
1998,Laendlicher Raum,Min 1x pro Monat,0.003735632183908046,18147,0.00284802051138935,0.004623243856426742
1998,Laendlicher Raum,Nie,0.0023706896551724138,18147,0.0016631095651797132,0.0030782697451651143
2003,Staedtischer Raum,Taeglich,0.5702323441453876,27727,0.5644053119511262,0.576059376339649
2003,Laendlicher Raum,Taeglich,0.29174143087186566,27727,0.2863908663772172,0.2970919953665141
2003,Staedtischer Raum,Min 1x pro Woche,0.06933517368299977,27727,0.06634512620598663,0.0723252211600129
2003,Laendlicher Raum,Min 1x pro Woche,0.029399585921325053,27727,0.027411223836908135,0.031387948005741975
2003,Staedtischer Raum,Seltener,0.011410167931907063,27727,0.010160027739958387,0.012660308123855738
2003,Staedtischer Raum,Nie,0.008097538532321142,27727,0.00704262800631238,0.009152449058329903
2003,Laendlicher Raum,Seltener,0.006395215090867265,27727,0.005456920861972863,0.007333509319761667
2003,Staedtischer Raum,Min 1x pro Monat,0.006211180124223602,27727,0.005286399449953448,0.007135960798493756
2003,Laendlicher Raum,Nie,0.004002760524499655,27727,0.0032595471754092165,0.004745973873590093
2003,Laendlicher Raum,Min 1x pro Monat,0.0031746031746031746,27727,0.0025124493370198837,0.0038367570121864655
2008,Staedtischer Raum,Taeglich,0.54178135549208,23673,0.5354342191395953,0.5481284918445646
2008,Laendlicher Raum,Taeglich,0.29363801609971435,23673,0.28783639687233464,0.29943963532709406
2008,Staedtischer Raum,Min 1x pro Woche,0.08158919761101013,23673,0.0781020988707147,0.08507629635130556
2008,Laendlicher Raum,Min 1x pro Woche,0.03500389509218385,23673,0.03266263108168671,0.03734515910268099
2008,Staedtischer Raum,Seltener,0.014489742923915866,23673,0.01296747766224213,0.0160120081855896
2008,Staedtischer Raum,Min 1x pro Monat,0.009971435990651778,23673,0.008705732034275483,0.011237139947028074
2008,Laendlicher Raum,Seltener,0.008153726304855882,23673,0.0070081351017860245,0.00929931750792574
2008,Staedtischer Raum,Nie,0.007945988055050637,23673,0.006814966100724487,0.009077010009376787
2008,Laendlicher Raum,Min 1x pro Monat,0.0041028304336535966,23673,0.0032885416447117144,0.004917119222595479
2008,Laendlicher Raum,Nie,0.0033238119968839264,23673,0.0025906082273929342,0.004057015766374918
2013,Staedtischer Raum,Taeglich,0.4834642576590731,44486,0.47882042279191567,0.4881080925262305
2013,Laendlicher Raum,Taeglich,0.2944619010212097,44486,0.2902262596298004,0.29869754241261903
2013,Staedtischer Raum,Min 1x pro Woche,0.10789473684210527,44486,0.1050116841924705,0.11077778949174003
2013,Laendlicher Raum,Min 1x pro Woche,0.048586017282011,44486,0.046588066397977905,0.050583968166044095
