"pli0083","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","(noch) kein Abschluss","Schleswig-Holstein","9","","",""
"Taeglich","1990","(noch) kein Abschluss","Hamburg","8","","",""
"Taeglich","1990","(noch) kein Abschluss","Niedersachsen","47","0.844982910456536","0.750191752266642","0.93977406864643"
"Taeglich","1990","(noch) kein Abschluss","Bremen","2","","",""
"Taeglich","1990","(noch) kein Abschluss","Nordrhein-Westfalen","207","0.767250428394349","0.716275204434204","0.818225652354494"
"Taeglich","1990","(noch) kein Abschluss","Hessen","81","0.688727775791636","0.600584509106677","0.776871042476596"
"Taeglich","1990","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","38","0.879245554147678","0.781854174439452","0.976636933855904"
"Taeglich","1990","(noch) kein Abschluss","Baden-Wuerttemberg","173","0.782339181926646","0.726527371166924","0.838150992686368"
"Taeglich","1990","(noch) kein Abschluss","Bayern","74","0.737701102906963","0.649245624235993","0.826156581577934"
"Taeglich","1990","(noch) kein Abschluss","Saarland","","","",""
"Taeglich","1990","(noch) kein Abschluss","Berlin","29","","",""
"Taeglich","1990","(noch) kein Abschluss","Brandenburg","","","",""
"Taeglich","1990","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","(noch) kein Abschluss","Sachsen","","","",""
"Taeglich","1990","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Taeglich","1990","(noch) kein Abschluss","Thueringen","","","",""
"Taeglich","1990","Hauptschule","Schleswig-Holstein","142","0.877971430681729","0.828028149562106","0.927914711801353"
"Taeglich","1990","Hauptschule","Hamburg","78","0.860878331605715","0.788572215880213","0.933184447331217"
"Taeglich","1990","Hauptschule","Niedersachsen","463","0.858243894837579","0.829040451653801","0.887447338021356"
"Taeglich","1990","Hauptschule","Bremen","52","0.891838057050196","0.813250695853696","0.970425418246696"
"Taeglich","1990","Hauptschule","Nordrhein-Westfalen","1153","0.868200694113923","0.850129277964461","0.886272110263384"
"Taeglich","1990","Hauptschule","Hessen","411","0.825484387821692","0.792893153863898","0.858075621779485"
"Taeglich","1990","Hauptschule","Rheinland-Pfalz,Saarland","380","0.869732070912259","0.838458348109318","0.9010057937152"
"Taeglich","1990","Hauptschule","Baden-Wuerttemberg","876","0.817509359147431","0.794202243772752","0.84081647452211"
"Taeglich","1990","Hauptschule","Bayern","751","0.800982121509039","0.775499171511109","0.82646507150697"
"Taeglich","1990","Hauptschule","Saarland","","","",""
"Taeglich","1990","Hauptschule","Berlin","128","0.858410612167232","0.803169137103085","0.913652087231379"
"Taeglich","1990","Hauptschule","Brandenburg","","","",""
"Taeglich","1990","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","Hauptschule","Sachsen","","","",""
"Taeglich","1990","Hauptschule","Sachsen-Anhalt","","","",""
"Taeglich","1990","Hauptschule","Thueringen","","","",""
"Taeglich","1990","Realschule","Schleswig-Holstein","48","0.770924570478137","0.668763223304436","0.873085917651838"
"Taeglich","1990","Realschule","Hamburg","22","","",""
"Taeglich","1990","Realschule","Niedersachsen","152","0.735183894902314","0.675220444805355","0.795147344999273"
"Taeglich","1990","Realschule","Bremen","18","","",""
"Taeglich","1990","Realschule","Nordrhein-Westfalen","337","0.789720068081532","0.751381249376372","0.828058886786693"
