year,quintil_oecd,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Daily,0.79343,1498,1837,0.77491,0.81195
1990,1st Quintile,At least once per week,0.13981,279,1837,0.12395,0.15567
1990,1st Quintile,Seldom,0.03545,60,1837,0.02699,0.04391
1990,2nd Quintile,Daily,0.82572,1528,1834,0.80835,0.84309
1990,2nd Quintile,At least once per week,0.09987,232,1834,0.08614,0.11360
1990,2nd Quintile,Seldom,0.04756,74,1834,0.03782,0.05731
1990,3rd Quintile,Daily,0.80057,1502,1842,0.78231,0.81882
1990,3rd Quintile,At least once per week,0.14660,283,1842,0.13044,0.16275
1990,3rd Quintile,Seldom,0.02661,57,1842,0.01926,0.03397
1990,4th Quintile,Daily,0.78665,1507,1920,0.76832,0.80498
1990,4th Quintile,At least once per week,0.15949,320,1920,0.14311,0.17587
1990,4th Quintile,At least once per month,0.01876,31,1920,0.01269,0.02484
1990,4th Quintile,Seldom,0.02851,62,1920,0.02106,0.03595
1990,5th Quintile,Daily,0.75174,1369,1800,0.73177,0.77170
1990,5th Quintile,At least once per week,0.17287,308,1800,0.15539,0.19034
1990,5th Quintile,At least once per month,0.02464,43,1800,0.01747,0.03180
1990,5th Quintile,Seldom,0.04317,80,1800,0.03378,0.05257
1995,1st Quintile,Daily,0.84342,2149,2515,0.82921,0.85763
1995,1st Quintile,At least once per week,0.09278,230,2515,0.08144,0.10412
1995,1st Quintile,At least once per month,0.01956,36,2515,0.01415,0.02498
1995,1st Quintile,Seldom,0.03165,68,2515,0.02481,0.03850
1995,1st Quintile,Never,0.01258,32,2515,0.00823,0.01694
1995,2nd Quintile,Daily,0.87658,2511,2826,0.86445,0.88871
1995,2nd Quintile,At least once per week,0.08433,249,2826,0.07408,0.09457
1995,2nd Quintile,Seldom,0.02088,66,2826,0.01561,0.02616
1995,3rd Quintile,Daily,0.84557,2316,2658,0.83183,0.85931
1995,3rd Quintile,At least once per week,0.10625,276,2658,0.09454,0.11797
1995,3rd Quintile,Seldom,0.02410,66,2658,0.01827,0.02993
1995,4th Quintile,Daily,0.83974,2234,2608,0.82566,0.85382
1995,4th Quintile,At least once per week,0.12306,335,2608,0.11045,0.13567
1995,4th Quintile,Seldom,0.01680,39,2608,0.01187,0.02173
1995,5th Quintile,Daily,0.79436,1943,2440,0.77832,0.81040
1995,5th Quintile,At least once per week,0.14695,372,2440,0.13290,0.16100
1995,5th Quintile,At least once per month,0.01625,40,2440,0.01123,0.02127
1995,5th Quintile,Seldom,0.03428,85,2440,0.02706,0.04150
1998,1st Quintile,Daily,0.86133,2035,2302,0.84721,0.87545
1998,1st Quintile,At least once per week,0.07937,169,2302,0.06833,0.09042
1998,1st Quintile,Seldom,0.02640,60,2302,0.01985,0.03296
1998,1st Quintile,Never,0.02325,38,2302,0.01709,0.02941
1998,2nd Quintile,Daily,0.87944,2199,2443,0.86652,0.89235
1998,2nd Quintile,At least once per week,0.07927,191,2443,0.06855,0.08998
1998,2nd Quintile,Seldom,0.02377,53,2443,0.01773,0.02981
1998,3rd Quintile,Daily,0.87735,2255,2529,0.86456,0.89013
1998,3rd Quintile,At least once per week,0.08174,221,2529,0.07106,0.09242
1998,3rd Quintile,Seldom,0.01915,53,2529,0.01381,0.02450
1998,4th Quintile,Daily,0.85077,2201,2539,0.83691,0.86463
1998,4th Quintile,At least once per week,0.10532,281,2539,0.09338,0.11726
1998,4th Quintile,Seldom,0.02085,57,2539,0.01529,0.02641
1998,5th Quintile,Daily,0.79655,1823,2245,0.77990,0.81321
1998,5th Quintile,At least once per week,0.15491,363,2245,0.13994,0.16988
1998,5th Quintile,Seldom,0.02903,59,2245,0.02208,0.03598
2003,1st Quintile,Daily,0.88187,3002,3397,0.87101,0.89273
2003,1st Quintile,At least once per week,0.07033,244,3397,0.06173,0.07893
