year,pgisced97,sampreg,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,West,Daily,0.70399,114,114,0.61982,0.78816
1990,Pre-primary Level,West,Daily,0.71243,123,123,0.63211,0.79275
1990,Primary Level,West,Daily,0.80605,504,584,0.77396,0.83815
1990,Primary Level,West,At least once per week,0.11521,80,584,0.08929,0.14112
1990,Lower Secondary Level,West,Daily,0.83078,1980,2422,0.81585,0.84572
1990,Lower Secondary Level,West,At least once per week,0.10235,322,2422,0.09027,0.11442
1990,Lower Secondary Level,West,At least once per month,0.01757,36,2422,0.01234,0.02280
1990,Lower Secondary Level,West,Seldom,0.03485,84,2422,0.02754,0.04215
1990,Upper Secondary Level,West,Daily,0.80676,3632,4498,0.79522,0.81830
1990,Upper Secondary Level,West,At least once per week,0.13928,660,4498,0.12916,0.14940
1990,Upper Secondary Level,West,At least once per month,0.01686,70,4498,0.01310,0.02063
1990,Upper Secondary Level,West,Seldom,0.03144,136,4498,0.02634,0.03654
1990,Post-secondary Non-tertiary Level,West,Daily,0.62286,201,267,0.56462,0.68111
1990,Post-secondary Non-tertiary Level,West,At least once per week,0.29196,66,267,0.23732,0.34660
1990,First Stage of Tertiary Education,West,Daily,0.76918,391,477,0.73133,0.80704
1990,First Stage of Tertiary Education,West,At least once per week,0.15750,86,477,0.12478,0.19023
1990,Second Stage of Tertiary Education,West,Daily,0.66947,461,661,0.63358,0.70536
1990,Second Stage of Tertiary Education,West,At least once per week,0.21648,148,661,0.18506,0.24790
1990,Second Stage of Tertiary Education,West,Seldom,0.06949,52,661,0.05009,0.08888
1995,No answer / don't know,West,Daily,0.75373,197,229,0.69780,0.80965
1995,No answer / don't know,West,At least once per week,0.15573,32,229,0.10866,0.20280
1995,Pre-primary Level,West,Daily,0.77842,153,184,0.71825,0.83859
1995,Pre-primary Level,West,At least once per week,0.18554,31,184,0.12922,0.24187
1995,Pre-primary Level,East,Daily,0.90105,85,85,0.83719,0.96490
1995,Primary Level,West,Daily,0.89315,462,500,0.86604,0.92025
1995,Primary Level,West,At least once per week,0.06830,38,500,0.04617,0.09043
1995,Lower Secondary Level,West,Daily,0.85924,1826,2051,0.84418,0.87429
1995,Lower Secondary Level,West,At least once per week,0.09323,193,2051,0.08064,0.10581
1995,Lower Secondary Level,West,Seldom,0.02160,32,2051,0.01531,0.02789
1995,Lower Secondary Level,East,Daily,0.89155,329,365,0.85961,0.92349
1995,Lower Secondary Level,East,At least once per week,0.07494,36,365,0.04789,0.10199
1995,Upper Secondary Level,West,Daily,0.85292,3937,4649,0.84274,0.86311
1995,Upper Secondary Level,West,At least once per week,0.10263,504,4649,0.09390,0.11135
1995,Upper Secondary Level,West,At least once per month,0.01410,63,4649,0.01071,0.01749
1995,Upper Secondary Level,West,Seldom,0.02335,113,4649,0.01901,0.02769
1995,Upper Secondary Level,West,Never,0.00700,32,4649,0.00460,0.00940
1995,Upper Secondary Level,East,Daily,0.90941,1834,2017,0.89688,0.92194
1995,Upper Secondary Level,East,At least once per week,0.05714,135,2017,0.04701,0.06727
1995,Upper Secondary Level,East,Seldom,0.02001,48,2017,0.01389,0.02612
1995,Post-secondary Non-tertiary Level,West,Daily,0.73008,297,372,0.68491,0.77525
1995,Post-secondary Non-tertiary Level,West,At least once per week,0.19919,75,372,0.15855,0.23983
1995,Post-secondary Non-tertiary Level,East,Daily,0.68187,52,52,0.55404,0.80970
1995,First Stage of Tertiary Education,West,Daily,0.78000,406,494,0.74344,0.81657
1995,First Stage of Tertiary Education,West,At least once per week,0.15488,88,494,0.12294,0.18681
1995,First Stage of Tertiary Education,East,Daily,0.92199,205,205,0.88519,0.95880
1995,Second Stage of Tertiary Education,West,Daily,0.72059,659,885,0.69101,0.75017
1995,Second Stage of Tertiary Education,West,At least once per week,0.19469,182,885,0.16859,0.22079
1995,Second Stage of Tertiary Education,West,Seldom,0.04499,44,885,0.03133,0.05866
1995,Second Stage of Tertiary Education,East,Daily,0.82325,686,792,0.79667,0.84983
1995,Second Stage of Tertiary Education,East,At least once per week,0.12892,106,792,0.10557,0.15228
1998,No answer / don't know,West,Daily,0.78869,413,478,0.75205,0.82532
1998,No answer / don't know,West,At least once per week,0.15548,65,478,0.12296,0.18800
1998,No answer / don't know,East,Daily,0.86294,85,85,0.78939,0.93648
1998,Pre-primary Level,West,Daily,0.80929,186,217,0.75690,0.86169
1998,Pre-primary Level,West,At least once per week,0.16150,31,217,0.11243,0.21058
1998,Pre-primary Level,East,Daily,0.88122,99,99,0.81716,0.94527
1998,Primary Level,West,Daily,0.92875,400,400,0.90351,0.95399
1998,Lower Secondary Level,West,Daily,0.90298,1921,2096,0.89031,0.91566
1998,Lower Secondary Level,West,At least once per week,0.05602,135,2096,0.04618,0.06587
1998,Lower Secondary Level,West,Seldom,0.01377,40,2096,0.00878,0.01876
1998,Lower Secondary Level,East,Daily,0.95015,350,350,0.92731,0.97298
1998,Upper Secondary Level,West,Daily,0.85709,4215,4901,0.84729,0.86689
1998,Upper Secondary Level,West,At least once per week,0.09654,481,4901,0.08827,0.10480
1998,Upper Secondary Level,West,At least once per month,0.00879,42,4901,0.00617,0.01140
1998,Upper Secondary Level,West,Seldom,0.02948,124,4901,0.02474,0.03422
1998,Upper Secondary Level,West,Never,0.00811,39,4901,0.00560,0.01062
1998,Upper Secondary Level,East,Daily,0.90479,1865,2057,0.89211,0.91748
1998,Upper Secondary Level,East,At least once per week,0.06448,149,2057,0.05386,0.07510
1998,Upper Secondary Level,East,Seldom,0.01702,43,2057,0.01143,0.02261
1998,Post-secondary Non-tertiary Level,West,Daily,0.72766,326,410,0.68452,0.77081
1998,Post-secondary Non-tertiary Level,West,At least once per week,0.21729,84,410,0.17732,0.25725
1998,Post-secondary Non-tertiary Level,East,Daily,0.92196,61,61,0.85409,0.98983
1998,First Stage of Tertiary Education,West,Daily,0.78885,461,541,0.75442,0.82327
1998,First Stage of Tertiary Education,West,At least once per week,0.13466,80,541,0.10587,0.16345
1998,First Stage of Tertiary Education,East,Daily,0.87555,205,205,0.83026,0.92085
1998,Second Stage of Tertiary Education,West,Daily,0.70921,776,1057,0.68182,0.73660
1998,Second Stage of Tertiary Education,West,At least once per week,0.21860,247,1057,0.19367,0.24353
1998,Second Stage of Tertiary Education,West,Seldom,0.02850,34,1057,0.01847,0.03854
1998,Second Stage of Tertiary Education,East,Daily,0.83668,718,822,0.81140,0.86197
1998,Second Stage of Tertiary Education,East,At least once per week,0.11604,104,822,0.09414,0.13795
2003,No answer / don't know,West,Daily,0.85084,151,151,0.79383,0.90785
2003,No answer / don't know,East,Daily,0.87814,52,52,0.78836,0.96792
2003,Pre-primary Level,West,Daily,0.82247,377,437,0.78660,0.85833
2003,Pre-primary Level,West,At least once per week,0.12517,60,437,0.09411,0.15624
2003,Pre-primary Level,East,Daily,0.85750,136,136,0.79853,0.91646
2003,Primary Level,West,Daily,0.88987,231,231,0.84941,0.93033
2003,Lower Secondary Level,West,Daily,0.91930,2105,2277,0.90811,0.93049
2003,Lower Secondary Level,West,At least once per week,0.04861,134,2277,0.03978,0.05745
2003,Lower Secondary Level,West,Never,0.01495,38,2277,0.00997,0.01994
2003,Lower Secondary Level,East,Daily,0.93889,379,379,0.91474,0.96303
2003,Upper Secondary Level,West,Daily,0.88555,7304,8272,0.87869,0.89241
2003,Upper Secondary Level,West,At least once per week,0.07780,685,8272,0.07202,0.08357
2003,Upper Secondary Level,West,At least once per month,0.00934,74,8272,0.00727,0.01142
2003,Upper Secondary Level,West,Seldom,0.01402,123,8272,0.01149,0.01656
