year,pli0083,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Daily,0.79031,7406,9415,0.79020,0.79042
1990,At least once per week,0.14504,1422,9415,0.14495,0.14514
1990,At least once per month,0.01840,155,9415,0.01836,0.01844
1990,Seldom,0.03627,334,9415,0.03622,0.03632
1990,Never,0.00998,98,9415,0.00995,0.01001
1995,Daily,0.83881,11157,13211,0.83873,0.83890
1995,At least once per week,0.11197,1462,13211,0.11190,0.11205
1995,At least once per month,0.01270,148,13211,0.01267,0.01272
1995,Seldom,0.02551,324,13211,0.02548,0.02555
1995,Never,0.01100,120,13211,0.01098,0.01103
1998,Daily,0.84727,12095,14156,0.84718,0.84735
1998,At least once per week,0.10555,1450,14156,0.10548,0.10563
1998,At least once per month,0.01089,137,14156,0.01087,0.01092
1998,Seldom,0.02505,340,14156,0.02501,0.02508
1998,Never,0.01124,134,14156,0.01122,0.01127
2003,Daily,0.86893,19042,22088,0.86885,0.86902
2003,At least once per week,0.09014,2182,22088,0.09007,0.09021
2003,At least once per month,0.01013,207,22088,0.01011,0.01015
2003,Seldom,0.01689,392,22088,0.01686,0.01692
2003,Never,0.01391,265,22088,0.01388,0.01394
2008,Daily,0.83639,16086,19255,0.83630,0.83647
2008,At least once per week,0.11366,2245,19255,0.11358,0.11374
2008,At least once per month,0.01412,271,19255,0.01409,0.01415
2008,Seldom,0.02255,436,19255,0.02251,0.02258
2008,Never,0.01328,217,19255,0.01326,0.01331
2013,Daily,0.79404,19806,25461,0.79394,0.79414
2013,At least once per week,0.14317,3984,25461,0.14308,0.14326
2013,At least once per month,0.02110,561,25461,0.02106,0.02113
2013,Seldom,0.02856,815,25461,0.02852,0.02860
2013,Never,0.01314,295,25461,0.01311,0.01316
2019,Daily,0.77022,19335,25702,0.77012,0.77032
2019,At least once per week,0.15949,4423,25702,0.15940,0.15958
2019,At least once per month,0.02019,534,25702,0.02016,0.02023
2019,Seldom,0.03594,1047,25702,0.03590,0.03599
2019,Never,0.01416,363,25702,0.01413,0.01419
2021,Daily,0.72674,12141,17191,0.72664,0.72685
2021,At least once per week,0.19332,3588,17191,0.19323,0.19341
2021,At least once per month,0.02261,462,17191,0.02257,0.02264
2021,Seldom,0.03843,695,17191,0.03838,0.03847
2021,Never,0.01890,305,17191,0.01887,0.01893
