"pli0083","year","age_gr","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1990","17-34","(noch) kein Abschluss","255","0.769976725843269","0.723575522962678","0.81637792872386"
"Taeglich","1990","17-34","Hauptschule","1261","0.783085019547085","0.762902932910831","0.803267106183339"
"Taeglich","1990","17-34","Realschule","628","0.732938596216495","0.703690809082749","0.762186383350242"
"Taeglich","1990","17-34","(Fach-)Abitur","303","0.565232237797234","0.521605837336354","0.608858638258114"
"Taeglich","1990","17-34","AkademikerIn","109","0.556916852642848","0.487195054141464","0.626638651144231"
"Taeglich","1990","35-65","(noch) kein Abschluss","399","0.775800475071338","0.739281246690946","0.812319703451731"
"Taeglich","1990","35-65","Hauptschule","2495","0.845073397853976","0.832069072626699","0.858077723081253"
"Taeglich","1990","35-65","Realschule","436","0.737363079537432","0.701702471752191","0.773023687322673"
"Taeglich","1990","35-65","(Fach-)Abitur","150","0.732310368459329","0.671403897183927","0.793216839734731"
"Taeglich","1990","35-65","AkademikerIn","298","0.676914271732947","0.633017703524809","0.720810839941085"
"Taeglich","1990","66 +","(noch) kein Abschluss","14","","",""
"Taeglich","1990","66 +","Hauptschule","678","0.900394435563102","0.878933161839742","0.921855709286463"
"Taeglich","1990","66 +","Realschule","138","0.881917842368163","0.83159956646273","0.932236118273596"
"Taeglich","1990","66 +","(Fach-)Abitur","42","0.93193620397624","0.858350574507879","1.0055218334446"
"Taeglich","1990","66 +","AkademikerIn","54","0.882709600153343","0.802616997851006","0.962802202455681"
"Min 1x pro Woche","1990","17-34","(noch) kein Abschluss","44","0.182204475912057","0.139644003976955","0.224764947847158"
"Min 1x pro Woche","1990","17-34","Hauptschule","250","0.152826930580163","0.135207054434915","0.170446806725411"
"Min 1x pro Woche","1990","17-34","Realschule","198","0.208101053499533","0.181264565813635","0.234937541185431"
"Min 1x pro Woche","1990","17-34","(Fach-)Abitur","143","0.318629712417056","0.277624224460052","0.359635200374059"
"Min 1x pro Woche","1990","17-34","AkademikerIn","54","0.302449417228965","0.237981295942693","0.366917538515237"
"Min 1x pro Woche","1990","35-65","(noch) kein Abschluss","72","0.156027890956828","0.124252244523019","0.187803537390638"
"Min 1x pro Woche","1990","35-65","Hauptschule","337","0.103293692049947","0.0923556491660458","0.114231734933849"
"Min 1x pro Woche","1990","35-65","Realschule","104","0.182325376041836","0.151036931246314","0.213613820837357"
"Min 1x pro Woche","1990","35-65","(Fach-)Abitur","37","0.195519134152067","0.140961872467578","0.250076395836557"
"Min 1x pro Woche","1990","35-65","AkademikerIn","89","0.208149183847405","0.17004138300085","0.24625698469396"
"Min 1x pro Woche","1990","66 +","(noch) kein Abschluss","5","","",""
"Min 1x pro Woche","1990","66 +","Hauptschule","34","0.0484053772105881","0.0330248902397781","0.063785864181398"
"Min 1x pro Woche","1990","66 +","Realschule","15","","",""
"Min 1x pro Woche","1990","66 +","(Fach-)Abitur","1","","",""
"Min 1x pro Woche","1990","66 +","AkademikerIn","5","","",""
"Min 1x pro Monat","1990","17-34","(noch) kein Abschluss","7","","",""
