year,pgisced97,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,Daily,0.70399,114,114,0.61982,0.78816
1990,Pre-primary Level,Daily,0.71243,123,123,0.63211,0.79275
1990,Primary Level,Daily,0.80605,504,584,0.77396,0.83815
1990,Primary Level,At least once per week,0.11521,80,584,0.08929,0.14112
1990,Lower Secondary Level,Daily,0.83078,1980,2422,0.81585,0.84572
1990,Lower Secondary Level,At least once per week,0.10235,322,2422,0.09027,0.11442
1990,Lower Secondary Level,At least once per month,0.01757,36,2422,0.01234,0.02280
1990,Lower Secondary Level,Seldom,0.03485,84,2422,0.02754,0.04215
1990,Upper Secondary Level,Daily,0.80676,3632,4498,0.79522,0.81830
1990,Upper Secondary Level,At least once per week,0.13928,660,4498,0.12916,0.14940
1990,Upper Secondary Level,At least once per month,0.01686,70,4498,0.01310,0.02063
1990,Upper Secondary Level,Seldom,0.03144,136,4498,0.02634,0.03654
1990,Post-secondary Non-tertiary Level,Daily,0.62286,201,267,0.56462,0.68111
1990,Post-secondary Non-tertiary Level,At least once per week,0.29196,66,267,0.23732,0.34660
1990,First Stage of Tertiary Education,Daily,0.76918,391,477,0.73133,0.80704
1990,First Stage of Tertiary Education,At least once per week,0.15750,86,477,0.12478,0.19023
1990,Second Stage of Tertiary Education,Daily,0.66947,461,661,0.63358,0.70536
1990,Second Stage of Tertiary Education,At least once per week,0.21648,148,661,0.18506,0.24790
1990,Second Stage of Tertiary Education,Seldom,0.06949,52,661,0.05009,0.08888
1995,No answer / don't know,Daily,0.77056,216,249,0.71823,0.82290
1995,No answer / don't know,At least once per week,0.14579,33,249,0.10187,0.18972
1995,Pre-primary Level,Daily,0.80141,238,277,0.75435,0.84848
1995,Pre-primary Level,At least once per week,0.16329,39,277,0.11968,0.20690
1995,Primary Level,Daily,0.89609,472,510,0.86958,0.92260
1995,Primary Level,At least once per week,0.06642,38,510,0.04479,0.08805
1995,Lower Secondary Level,Daily,0.86282,2155,2425,0.84913,0.87652
1995,Lower Secondary Level,At least once per week,0.09120,229,2425,0.07974,0.10266
1995,Lower Secondary Level,Seldom,0.02182,41,2425,0.01601,0.02764
1995,Upper Secondary Level,Daily,0.86468,5771,6692,0.85649,0.87288
1995,Upper Secondary Level,At least once per week,0.09316,639,6692,0.08619,0.10012
1995,Upper Secondary Level,At least once per month,0.01239,76,6692,0.00974,0.01504
1995,Upper Secondary Level,Seldom,0.02265,161,6692,0.01909,0.02622
1995,Upper Secondary Level,Never,0.00711,45,6692,0.00510,0.00912
1995,Post-secondary Non-tertiary Level,Daily,0.72505,349,439,0.68323,0.76686
1995,Post-secondary Non-tertiary Level,At least once per week,0.20917,90,439,0.17108,0.24726
1995,First Stage of Tertiary Education,Daily,0.80776,611,717,0.77890,0.83663
1995,First Stage of Tertiary Education,At least once per week,0.13536,106,717,0.11030,0.16041
1995,Second Stage of Tertiary Education,Daily,0.75292,1345,1699,0.73240,0.77343
1995,Second Stage of Tertiary Education,At least once per week,0.17398,288,1699,0.15595,0.19201
1995,Second Stage of Tertiary Education,Seldom,0.03762,66,1699,0.02857,0.04667
1998,No answer / don't know,Daily,0.79748,498,572,0.76452,0.83044
1998,No answer / don't know,At least once per week,0.14780,74,572,0.11869,0.17691
1998,Pre-primary Level,Daily,0.82450,285,324,0.78301,0.86598
1998,Pre-primary Level,At least once per week,0.15162,39,324,0.11251,0.19073
1998,Primary Level,Daily,0.92913,414,414,0.90438,0.95388
1998,Lower Secondary Level,Daily,0.90789,2271,2468,0.89648,0.91930
1998,Lower Secondary Level,At least once per week,0.05281,149,2468,0.04399,0.06164
1998,Lower Secondary Level,Seldom,0.01461,48,2468,0.00988,0.01935
1998,Upper Secondary Level,Daily,0.86720,6080,6983,0.85924,0.87516
1998,Upper Secondary Level,At least once per week,0.08974,630,6983,0.08304,0.09645
1998,Upper Secondary Level,At least once per month,0.00822,54,6983,0.00610,0.01033
1998,Upper Secondary Level,Seldom,0.02684,167,6983,0.02305,0.03063
1998,Upper Secondary Level,Never,0.00800,52,6983,0.00591,0.01009
1998,Post-secondary Non-tertiary Level,Daily,0.74425,387,477,0.70506,0.78345
1998,Post-secondary Non-tertiary Level,At least once per week,0.20501,90,477,0.16874,0.24128
1998,First Stage of Tertiary Education,Daily,0.80611,666,768,0.77813,0.83409
1998,First Stage of Tertiary Education,At least once per week,0.12087,102,768,0.09780,0.14394
1998,Second Stage of Tertiary Education,Daily,0.74851,1494,1934,0.72917,0.76785
1998,Second Stage of Tertiary Education,At least once per week,0.18698,351,1934,0.16960,0.20436
1998,Second Stage of Tertiary Education,At least once per month,0.01773,31,1934,0.01185,0.02361
1998,Second Stage of Tertiary Education,Seldom,0.02721,58,1934,0.01996,0.03447
2003,No answer / don't know,Daily,0.85540,203,203,0.80690,0.90390
2003,Pre-primary Level,Daily,0.82999,513,592,0.79970,0.86027
2003,Pre-primary Level,At least once per week,0.11985,79,592,0.09367,0.14604
2003,Primary Level,Daily,0.89334,244,244,0.85453,0.93215
2003,Lower Secondary Level,Daily,0.92155,2484,2679,0.91137,0.93174
2003,Lower Secondary Level,At least once per week,0.04759,155,2679,0.03953,0.05566
2003,Lower Secondary Level,Never,0.01360,40,2679,0.00922,0.01799
2003,Upper Secondary Level,Daily,0.88870,9818,11071,0.88284,0.89456
2003,Upper Secondary Level,At least once per week,0.07477,873,11071,0.06987,0.07967
2003,Upper Secondary Level,At least once per month,0.00918,99,11071,0.00741,0.01096
2003,Upper Secondary Level,Seldom,0.01432,168,11071,0.01210,0.01653
2003,Upper Secondary Level,Never,0.01304,113,11071,0.01093,0.01515
2003,Post-secondary Non-tertiary Level,Daily,0.81785,933,1095,0.79498,0.84072
2003,Post-secondary Non-tertiary Level,At least once per week,0.13560,162,1095,0.11531,0.15589
2003,First Stage of Tertiary Education,Daily,0.84731,1419,1639,0.82989,0.86473
2003,First Stage of Tertiary Education,At least once per week,0.10230,184,1639,0.08762,0.11697
2003,First Stage of Tertiary Education,Seldom,0.02286,36,1639,0.01562,0.03010
2003,Second Stage of Tertiary Education,Daily,0.78718,3428,4339,0.77500,0.79936
2003,Second Stage of Tertiary Education,At least once per week,0.15808,689,4339,0.14722,0.16894
2003,Second Stage of Tertiary Education,At least once per month,0.01047,43,4339,0.00744,0.01349
2003,Second Stage of Tertiary Education,Seldom,0.02554,113,4339,0.02085,0.03024
2003,Second Stage of Tertiary Education,Never,0.01873,66,4339,0.01470,0.02276
2008,No answer / don't know,Daily,0.76030,260,316,0.71316,0.80744
2008,No answer / don't know,At least once per week,0.19967,56,316,0.15553,0.24382
2008,Pre-primary Level,Daily,0.80322,280,340,0.76090,0.84554
2008,Pre-primary Level,At least once per week,0.15750,60,340,0.11872,0.19628
2008,Primary Level,Daily,0.85585,166,166,0.80226,0.90945
2008,Lower Secondary Level,Daily,0.90493,1808,1963,0.89196,0.91791
2008,Lower Secondary Level,At least once per week,0.05606,123,1963,0.04588,0.06624
2008,Lower Secondary Level,Seldom,0.01488,32,1963,0.00952,0.02024
2008,Upper Secondary Level,Daily,0.86038,8397,9694,0.85348,0.86728
2008,Upper Secondary Level,At least once per week,0.09452,883,9694,0.08870,0.10034
2008,Upper Secondary Level,At least once per month,0.01342,129,9694,0.01113,0.01571
2008,Upper Secondary Level,Seldom,0.02003,187,9694,0.01724,0.02282
2008,Upper Secondary Level,Never,0.01165,98,9694,0.00951,0.01379
2008,Post-secondary Non-tertiary Level,Daily,0.80170,844,1032,0.77736,0.82604
2008,Post-secondary Non-tertiary Level,At least once per week,0.15688,188,1032,0.13468,0.17908
2008,First Stage of Tertiary Education,Daily,0.84089,1183,1391,0.82167,0.86012
2008,First Stage of Tertiary Education,At least once per week,0.11887,170,1391,0.10185,0.13588
2008,First Stage of Tertiary Education,Seldom,0.02701,38,1391,0.01848,0.03553
2008,Second Stage of Tertiary Education,Daily,0.73718,3148,4183,0.72384,0.75052
2008,Second Stage of Tertiary Education,At least once per week,0.18610,760,4183,0.17431,0.19790
2008,Second Stage of Tertiary Education,At least once per month,0.02213,77,4183,0.01767,0.02658
2008,Second Stage of Tertiary Education,Seldom,0.03243,134,4183,0.02706,0.03780
