year,ple0053,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,No,0.8855817875210793,16099,0.8806645799831561,0.8904989950590025
1984,Yes,0.11441821247892074,16099,0.10950100494099747,0.11933542001684401
1985,No,0.8854535295213262,14443,0.880259539530808,0.8906475195118443
1985,Yes,0.11454647047867386,14443,0.10935248048815571,0.11974046046919201
1986,No,0.8769679300291545,13742,0.8714759098959057,0.8824599501624033
1986,Yes,0.12303206997084548,13742,0.11754004983759674,0.12852409010409424
1987,No,0.8809664113140837,13496,0.8755029487036269,0.8864298739245405
1987,Yes,0.11903358868591632,13496,0.11357012607545952,0.12449705129637312
1988,No,0.878560411311054,12817,0.8729054604188404,0.8842153622032676
1988,Yes,0.12143958868894601,12817,0.1157846377967325,0.12709453958115954
1989,No,0.880093131548312,12393,0.8743736825349744,0.8858125805616497
1989,Yes,0.119906868451688,12393,0.11418741943835035,0.12562631746502564
1991,No,0.8744579358196011,17756,0.8695843614529,0.8793315101863022
1991,Yes,0.12554206418039895,17756,0.12066848981369781,0.1304156385471001
1992,No,0.8877723227984045,17350,0.8830754681590575,0.8924691774377514
1992,Yes,0.11222767720159559,17350,0.10753082256224857,0.1169245318409426
1994,No,0.8826691967109425,16642,0.8777797657305071,0.8875586276913778
1994,Yes,0.11733080328905755,16642,0.11244137230862214,0.12222023426949297
1995,No,0.8808003078106964,17246,0.8759642868304713,0.8856363287909215
1995,Yes,0.11919969218930358,17246,0.11436367120907848,0.12403571316952869
1996,No,0.8767991239048811,16862,0.8718382466618255,0.8817600011479367
1996,Yes,0.1232008760951189,16862,0.11823999885206325,0.12816175333817453
1997,No,0.8777414466863386,16487,0.8727410071341937,0.8827418862384835
1997,Yes,0.12225855331366138,16487,0.11725811376151643,0.12725899286580633
1998,No,0.8771816881258941,18147,0.8724060655998616,0.8819573106519267
1998,Yes,0.12281831187410587,18147,0.11804268934807331,0.12759393440013841
1999,No,0.8772517492928391,17396,0.872375328783657,0.8821281698020212
1999,Yes,0.12274825070716093,17396,0.11787183019797882,0.12762467121634305
2000,No,0.8803599340965739,30607,0.8767240155450043,0.8839958526481434
2000,Yes,0.11964006590342613,30607,0.1160041473518566,0.12327598445499566
2001,No,0.879021401049162,27798,0.8751878319496725,0.8828549701486516
2001,Yes,0.12097859895083794,27798,0.11714502985134839,0.1248121680503275
2002,No,0.881611533698921,28961,0.8778906797505598,0.8853323876472822
2002,Yes,0.11838846630107908,28961,0.11466761235271793,0.12210932024944023
2003,No,0.8806773733376283,27727,0.8768616713185053,0.8844930753567513
2003,Yes,0.11932262666237173,27727,0.11550692464324876,0.1231383286814947
2004,No,0.8794185662371985,26790,0.8755190767720193,0.8833180557023776
2004,Yes,0.12058143376280145,26790,0.11668194429762231,0.12448092322798059
2005,No,0.8884395344249358,25520,0.8845768890910468,0.8923021797588249
2005,Yes,0.11156046557506412,25520,0.10769782024117505,0.11542311090895319
2006,No,0.8835913595469699,27321,0.8797883613944659,0.8873943576994738
2006,Yes,0.1164086404530301,27321,0.11260564230052618,0.12021163860553401
2007,No,0.8809407392920008,25385,0.8769567108932393,0.8849247676907622
2007,Yes,0.11905926070799921,25385,0.11507523230923777,0.12304328910676066
2008,No,0.8833766233766234,23673,0.879287829860429,0.8874654168928178
2008,Yes,0.11662337662337663,23673,0.11253458310718219,0.12071217013957107
2009,No,0.8724410324877615,21983,0.8680310574561549,0.8768510075193681
2009,Yes,0.12755896751223855,21983,0.123148992480632,0.13196894254384509
2010,No,0.8632696568156167,35837,0.8597125579344354,0.8668267556967981
2010,Yes,0.13673034318438324,35837,0.13317324430320188,0.1402874420655646
2011,No,0.8624338624338624,41903,0.8591358507877945,0.8657318740799304
2011,Yes,0.13756613756613756,41903,0.1342681259200697,0.14086414921220541
2012,No,0.8649697233402226,40229,0.8616300615745942,0.868309385105851
2012,Yes,0.13503027665977738,40229,0.131690614894149,0.13836993842540576
2013,No,0.8656972437721726,44486,0.8625286258611473,0.8688658616831979
2013,Yes,0.13430275622782736,44486,0.13113413831680212,0.1374713741388526
2014,No,0.8686177297617286,38694,0.865251707502738,0.8719837520207191
2014,Yes,0.13138227023827143,38694,0.12801624797928088,0.13474829249726197
2015,No,0.8672322035932936,38036,0.8638220595500301,0.870642347636557
2015,Yes,0.1327677964067064,38036,0.12935765236344296,0.13617794044996986
2016,No,0.8679933665008291,41132,0.8647220524526149,0.8712646805490434
2016,Yes,0.1320066334991708,41132,0.1287353194509566,0.135277947547385
2017,No,0.8651732241679934,45410,0.8620318481052172,0.8683146002307696
2017,Yes,0.13482677583200667,45410,0.13168539976923044,0.1379681518947829
2018,No,0.8660213958227203,43121,0.8628063016759655,0.8692364899694751
2018,Yes,0.13397860417727966,43121,0.1307635100305249,0.13719369832403444
2019,No,0.865944851222932,42417,0.8627024036448585,0.8691872988010054
2019,Yes,0.1340551487770681,42417,0.13081270119899469,0.1372975963551415
2020,No,0.8705479935115311,42741,0.8673653757332367,0.8737306112898255
2020,Yes,0.12945200648846886,42741,0.12626938871017446,0.13263462426676326
2021,No,0.8791727352170113,27598,0.875327376637034,0.8830180937969887
2021,Yes,0.12082726478298864,27598,0.11698190620301124,0.12467262336296603
