year,ple0053,sampreg,proportion,n,lower_confidence,upper_confidence
1984,Yes,West,1.0,16099,1.0,1.0
1984,No,West,1.0,16099,1.0,1.0
1985,Yes,West,1.0,14443,1.0,1.0
1985,No,West,1.0,14443,1.0,1.0
1986,Yes,West,1.0,13742,1.0,1.0
1986,No,West,1.0,13742,1.0,1.0
1987,Yes,West,1.0,13496,1.0,1.0
1987,No,West,1.0,13496,1.0,1.0
1988,Yes,West,1.0,12817,1.0,1.0
1988,No,West,1.0,12817,1.0,1.0
1989,Yes,West,1.0,12393,1.0,1.0
1989,No,West,1.0,12393,1.0,1.0
1991,Yes,West,1.0,17756,1.0,1.0
1991,No,West,1.0,17756,1.0,1.0
1992,Yes,West,0.7552973342447027,17350,0.7489002118802757,0.7616944566091297
1992,Yes,East,0.24470266575529734,17350,0.23830554339087034,0.25109978811972433
1992,No,West,0.6954981422275988,17350,0.6886503702216327,0.7023459142335648
1992,No,East,0.3045018577724013,17350,0.29765408576643526,0.31134962977836733
1994,Yes,West,0.7398921832884097,16642,0.7332269671995848,0.7465573993772345
1994,Yes,East,0.2601078167115903,16642,0.25344260062276536,0.2667730328004152
1994,No,West,0.7029738445001792,16642,0.6960312748916209,0.7099164141087375
1994,No,East,0.29702615549982087,16642,0.29008358589126254,0.3039687251083792
1995,Yes,West,0.7269205939315687,17246,0.7202709277847307,0.7335702600784068
1995,Yes,East,0.27307940606843123,17246,0.26642973992159324,0.2797290722152692
1995,No,West,0.7224357854272235,17246,0.7157524502465448,0.7291191206079023
1995,No,East,0.2775642145727765,17246,0.2708808793920977,0.28424754975345534
1996,Yes,West,0.7168253968253968,16862,0.7100249825389182,0.7236258111118754
1996,Yes,East,0.2831746031746032,16862,0.27637418888812465,0.28997501746108173
1996,No,West,0.7186189669015969,16862,0.7118316476620632,0.7254062861411306
1996,No,East,0.28138103309840307,16862,0.2745937138588693,0.2881683523379368
1997,Yes,West,0.7286366601435095,16487,0.7218490584491827,0.7354242618378363
1997,Yes,East,0.2713633398564905,16487,0.2645757381621638,0.27815094155081727
1997,No,West,0.7157913865164456,16487,0.7089064949561201,0.722676278076771
1997,No,East,0.2842086134835544,16487,0.27732372192322896,0.2910935050438799
1998,Yes,West,0.720442632498544,18147,0.7139129987050512,0.7269722662920368
1998,Yes,East,0.27955736750145604,18147,0.27302773370796324,0.28608700129494885
1998,No,West,0.7300823615754709,18147,0.723623511367456,0.7365412117834859
1998,No,East,0.2699176384245291,18147,0.2634587882165142,0.276376488632544
1999,Yes,West,0.7125530624620983,17396,0.705827651609514,0.7192784733146825
1999,Yes,East,0.28744693753790174,17396,0.2807215266853174,0.29417234839048606
1999,No,West,0.7258379295714892,17396,0.719208824739376,0.7324670344036024
1999,No,East,0.2741620704285108,17396,0.26753296559639755,0.2807911752606241
2000,Yes,West,0.751412429378531,30607,0.7465704316434716,0.7562544271135905
2000,Yes,East,0.24858757062146894,30607,0.24374557288640952,0.25342956835652836
2000,No,West,0.7594414319305149,30607,0.7546528905150033,0.7642299733460266
2000,No,East,0.2405585680694851,30607,0.2357700266539735,0.24534710948499672
2001,Yes,West,0.7551803530314658,27798,0.7501256252600307,0.7602350808029009
2001,Yes,East,0.24481964696853414,27798,0.23976491919709897,0.24987437473996932
2001,No,West,0.7522049115394771,27798,0.7471295880842332,0.757280234994721
2001,No,East,0.24779508846052284,27798,0.24271976500527892,0.25287041191576676
2002,Yes,West,0.7598057527082555,28961,0.754885562593431,0.7647259428230799
2002,Yes,East,0.2401942472917445,28961,0.23527405717692,0.245114437406569
2002,No,West,0.7652871833458741,28961,0.7604059460921124,0.7701684205996358
2002,No,East,0.2347128166541259,28961,0.22983157940036428,0.23959405390788754
2003,Yes,West,0.7500964134207482,27727,0.7450001787380225,0.7551926481034739
2003,Yes,East,0.24990358657925182,27727,0.2448073518965261,0.2549998212619775
2003,No,West,0.7604242867593269,27727,0.7554002360458967,0.7654483374727572
2003,No,East,0.239575713240673,27727,0.23455166252724272,0.2445997639541033
2004,Yes,West,0.7596868884540118,26790,0.7545703556447042,0.7648034212633193
2004,Yes,East,0.24031311154598825,26790,0.2351965787366807,0.2454296443552958
2004,No,West,0.7583449608242997,26790,0.7532186959188711,0.7634712257297283
2004,No,East,0.24165503917570033,26790,0.23652877427027175,0.24678130408112892
2005,Yes,West,0.7316534040671971,25520,0.7262169405199013,0.737089867614493
2005,Yes,East,0.26834659593280286,25520,0.262910132385507,0.27378305948009873
2005,No,West,0.7599089596980126,25520,0.7546683176680352,0.7651496017279901
2005,No,East,0.24009104030198733,25520,0.23485039827200987,0.24533168233196478
2006,Yes,West,0.7434287956061201,27321,0.7382499683913769,0.7486076228208632
2006,Yes,East,0.2565712043938799,27321,0.25139237717913676,0.2617500316086231
2006,No,West,0.7621976431672525,27321,0.75714929087711,0.7672459954573949
2006,No,East,0.23780235683274756,27321,0.2327540045426051,0.24285070912289003
2007,Yes,West,0.7412731006160165,25385,0.7358857232197716,0.7466604780122613
2007,Yes,East,0.2587268993839836,25385,0.2533395219877387,0.2641142767802285
2007,No,West,0.7578398179497141,25385,0.7525698549665081,0.7631097809329201
2007,No,East,0.24216018205028583,25385,0.23689021906707977,0.2474301450334919
2008,Yes,West,0.7305122494432071,23673,0.7248601123350122,0.736164386551402
2008,Yes,East,0.26948775055679286,23673,0.26383561344859796,0.27513988766498776
2008,No,West,0.7563657747721259,23673,0.7508973215014527,0.761834228042799
2008,No,East,0.24363422522787415,23673,0.238165771957201,0.24910267849854728
2009,Yes,West,0.7357174007849978,21983,0.729888288917074,0.7415465126529216
2009,Yes,East,0.2642825992150022,21983,0.25845348734707846,0.2701117110829259
2009,No,West,0.7499202958617611,21983,0.7441955083882883,0.755645083335234
2009,No,East,0.2500797041382389,21983,0.24435491666476608,0.2558044916117117
2010,Yes,West,0.7642922653622746,35837,0.7598977913830898,0.7686867393414594
2010,Yes,East,0.23570773463772546,35837,0.23131326065854063,0.24010220861691028
2010,No,West,0.7727096649234941,35837,0.7683706723716663,0.7770486574753219
2010,No,East,0.2272903350765059,35837,0.22295134252467813,0.23162932762833366
2011,Yes,West,0.7617948717948718,41903,0.7577161123846814,0.7658736312050622
2011,Yes,East,0.2382051282051282,41903,0.23412636879493773,0.2422838876153187
2011,No,West,0.7800408997955011,41903,0.7760748042955514,0.7840069952954507
2011,No,East,0.21995910020449896,41903,0.21599300470454935,0.22392519570444858
2012,Yes,West,0.7618152524167562,40229,0.7576526181186087,0.7659778867149036
2012,Yes,East,0.23818474758324382,40229,0.23402211328509642,0.2423473818813912
2012,No,West,0.7789981136030182,40229,0.7749434703760124,0.783052756830024
2012,No,East,0.22100188639698176,40229,0.21694724316997605,0.22505652962398748
2013,Yes,West,0.7686502177068215,44486,0.7647315059718787,0.7725689294417644
2013,Yes,East,0.2313497822931785,44486,0.22743107055823572,0.2352684940281213
2013,No,West,0.7780329640637665,44486,0.7741711831407515,0.7818947449867816
2013,No,East,0.22196703593623346,44486,0.21810525501321848,0.22582881685924844
2014,Yes,West,0.7786539003097719,38694,0.7745173108002921,0.7827904898192517
2014,Yes,East,0.22134609969022812,38694,0.21720951018074827,0.22548268919970796
2014,No,West,0.7962686885036419,38694,0.7922554685086982,0.8002819084985855
2014,No,East,0.20373131149635815,38694,0.19971809150141448,0.20774453149130181
2015,Yes,West,0.7745629897528632,38036,0.7703634699753015,0.7787625095304249
2015,Yes,East,0.22543701024713683,38036,0.2212374904695751,0.22963653002469855
