"ple0053","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1984","(noch) kein Abschluss","Schleswig-Holstein","1","","",""
"Ja","1984","(noch) kein Abschluss","Hamburg","1","","",""
"Ja","1984","(noch) kein Abschluss","Niedersachsen","13","","",""
"Ja","1984","(noch) kein Abschluss","Bremen","2","","",""
"Ja","1984","(noch) kein Abschluss","Nordrhein-Westfalen","47","0.0812828123392427","0.0546028108548087","0.107962813823677"
"Ja","1984","(noch) kein Abschluss","Hessen","24","","",""
"Ja","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","6","","",""
"Ja","1984","(noch) kein Abschluss","Baden-Württemberg","41","0.0902410169928485","0.0594665073931391","0.121015526592558"
"Ja","1984","(noch) kein Abschluss","Bayern","13","","",""
"Ja","1984","(noch) kein Abschluss","Saarland","","","",""
"Ja","1984","(noch) kein Abschluss","Berlin","3","","",""
"Ja","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Ja","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Ja","1984","(noch) kein Abschluss","Sachsen","","","",""
"Ja","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Ja","1984","(noch) kein Abschluss","Thüringen","","","",""
"Ja","1984","Hauptschule","Schleswig-Holstein","28","","",""
"Ja","1984","Hauptschule","Hamburg","23","","",""
"Ja","1984","Hauptschule","Niedersachsen","84","0.115400822531604","0.0925040109755995","0.138297634087608"
"Ja","1984","Hauptschule","Bremen","13","","",""
"Ja","1984","Hauptschule","Nordrhein-Westfalen","213","0.117422485910107","0.102827774736964","0.132017197083251"
"Ja","1984","Hauptschule","Hessen","92","0.137522032019052","0.112117810804514","0.162926253233589"
"Ja","1984","Hauptschule","Rheinland-Pfalz,Saarland","69","0.125847956132722","0.0991525018135515","0.152543410451893"
"Ja","1984","Hauptschule","Baden-Württemberg","161","0.11868670459353","0.101440774822182","0.135932634364877"
"Ja","1984","Hauptschule","Bayern","156","0.128063829455436","0.109771893695314","0.146355765215559"
"Ja","1984","Hauptschule","Saarland","","","",""
"Ja","1984","Hauptschule","Berlin","26","","",""
"Ja","1984","Hauptschule","Brandenburg","","","",""
"Ja","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Ja","1984","Hauptschule","Sachsen","","","",""
"Ja","1984","Hauptschule","Sachsen-Anhalt","","","",""
"Ja","1984","Hauptschule","Thüringen","","","",""
"Ja","1984","Realschule","Schleswig-Holstein","9","","",""
"Ja","1984","Realschule","Hamburg","3","","",""
"Ja","1984","Realschule","Niedersachsen","26","","",""
"Ja","1984","Realschule","Bremen","3","","",""
"Ja","1984","Realschule","Nordrhein-Westfalen","57","0.13318935597217","0.102105232490952","0.164273479453387"
"Ja","1984","Realschule","Hessen","15","","",""
"Ja","1984","Realschule","Rheinland-Pfalz,Saarland","13","","",""
