year,ple0053,regtyp,sex,proportion,n,lower_confidence,upper_confidence
1985,Yes,Urban regions,female,0.46504065040650405,14443,0.4569061063524302,0.47317519446057793
1985,Yes,Urban regions,male,0.3032520325203252,14443,0.2957553851791017,0.31074867986154864
1985,Yes,Rural regions,female,0.14065040650406505,14443,0.13498040989046098,0.1463204031176691
1985,Yes,Rural regions,male,0.0910569105691057,14443,0.08636497361967785,0.09574884751853355
1985,No,Urban regions,male,0.3958771560790913,14443,0.38790143026332835,0.40385288189485424
1985,No,Urban regions,female,0.3921960454354228,14443,0.38423333850691566,0.40015875236392995
1985,No,Rural regions,female,0.1062263357172907,14443,0.10120109068476014,0.11125158074982126
1985,No,Rural regions,male,0.10570046276819521,14443,0.10068619741328785,0.11071472812310257
1986,Yes,Urban regions,female,0.44549763033175355,13742,0.4371875446500637,0.4538077160134434
1986,Yes,Urban regions,male,0.3459715639810427,13742,0.33801822272535725,0.3539249052367281
1986,Yes,Rural regions,female,0.11848341232227488,13742,0.11307991276275411,0.12388691188179565
1986,Yes,Rural regions,male,0.09004739336492891,13742,0.08526135628733739,0.09483343044252043
1986,No,Urban regions,male,0.39561170212765956,13742,0.387436025839183,0.4037873784161361
1986,No,Urban regions,female,0.389738475177305,13742,0.38158438077657647,0.3978925695780335
1986,No,Rural regions,female,0.10848847517730496,13742,0.10328867825371137,0.11368827210089856
1986,No,Rural regions,male,0.1061613475177305,13742,0.10101091292839892,0.11131178210706208
1987,Yes,Urban regions,female,0.47029702970297027,13496,0.4618761811137674,0.47871787829217316
1987,Yes,Urban regions,male,0.30775577557755773,13496,0.29996848620770467,0.3155430649474108
1987,Yes,Rural regions,female,0.14273927392739275,13496,0.136837511243457,0.1486410366113285
1987,Yes,Rural regions,male,0.07920792079207921,13496,0.07465155449727048,0.08376428708688793
1987,No,Urban regions,male,0.4032329988851728,13496,0.39495674185884344,0.4115092559115021
1987,No,Urban regions,female,0.3853957636566332,13496,0.3771845986501037,0.3936069286631627
1987,No,Rural regions,male,0.10691192865105908,13496,0.10169861609720188,0.11212524120491629
1987,No,Rural regions,female,0.10445930880713489,13496,0.09929907033340367,0.1096195472808661
1988,Yes,Urban regions,female,0.46824724809483487,12817,0.4596084093162421,0.47688608687342765
1988,Yes,Urban regions,male,0.331922099915326,12817,0.32376953028616384,0.3400746695444882
1988,Yes,Rural regions,female,0.11600338696020322,12817,0.11045938322127269,0.12154739069913376
1988,Yes,Rural regions,male,0.0838272650296359,12817,0.07902944217085144,0.08862508788842037
1988,No,Urban regions,male,0.39957865168539325,12817,0.3910987253328943,0.4080585780378922
1988,No,Urban regions,female,0.38974719101123595,12817,0.3813039483795171,0.3981904336429548
1988,No,Rural regions,female,0.10557116104868913,12817,0.1002512003375907,0.11089112175978756
1988,No,Rural regions,male,0.10510299625468165,12817,0.09979345554883402,0.11041253696052929
1989,Yes,Urban regions,female,0.4819064430714916,12393,0.4731090639418274,0.4907038222011558
1989,Yes,Urban regions,male,0.29567519858781993,12393,0.2876406443684055,0.3037097528072344
1989,Yes,Rural regions,female,0.12533097969991175,12393,0.11950164574654909,0.1311603136532744
1989,Yes,Rural regions,male,0.0970873786407767,12393,0.09187456623632806,0.10230019104522534
1989,No,Urban regions,male,0.40596440596440597,12393,0.3973183496621823,0.4146104622666296
1989,No,Urban regions,female,0.3915343915343915,12393,0.3829408768705888,0.4001279061981942
1989,No,Rural regions,male,0.10125060125060124,12393,0.09593948315432863,0.10656171934687386
1989,No,Rural regions,female,0.10125060125060124,12393,0.09593948315432863,0.10656171934687386
1991,Yes,Urban regions,female,0.46632124352331605,17756,0.45898344029876353,0.4736590467478686
1991,Yes,Urban regions,male,0.31001727115716754,17756,0.3032143481198943,0.3168201941944408
