year,regtyp,sampreg,ple0053,proportion,n,lower_confidence,upper_confidence
1985,Staedtischer Raum,Westdeutschland,Nein,0.6978021978021978,14443,0.6903129330600543,0.7052914625443413
1985,Laendlicher Raum,Westdeutschland,Nein,0.18765133171912832,14443,0.18128375146120715,0.19401891197704949
1985,Staedtischer Raum,Westdeutschland,Ja,0.0880052151238592,14443,0.08338483456707903,0.09262559568063937
1985,Laendlicher Raum,Westdeutschland,Ja,0.026541255354814677,14443,0.02391977340755054,0.029162737302078814
1986,Staedtischer Raum,Westdeutschland,Nein,0.6887269193391642,13742,0.6809854141327257,0.6964684245456026
1986,Laendlicher Raum,Westdeutschland,Nein,0.18824101068999027,13742,0.18170516521799646,0.1947768561619841
1986,Staedtischer Raum,Westdeutschland,Ja,0.09737609329446065,13742,0.09241918723331176,0.10233299935560954
1986,Laendlicher Raum,Westdeutschland,Ja,0.02565597667638484,13742,0.0230124631432362,0.02829949020953348
1987,Staedtischer Raum,Westdeutschland,Nein,0.6947554507955215,13496,0.6869859435385626,0.7025249580524804
1987,Laendlicher Raum,Westdeutschland,Nein,0.18621096051856217,13496,0.17964327914930464,0.1927786418878197
1987,Staedtischer Raum,Westdeutschland,Ja,0.09261441759968572,13496,0.08772351770645456,0.09750531749291688
1987,Laendlicher Raum,Westdeutschland,Ja,0.026419171086230604,13496,0.02371334962568909,0.02912499254677212
1988,Staedtischer Raum,Westdeutschland,Nein,0.6934704370179948,12817,0.6854884128570322,0.7014524611789574
1988,Laendlicher Raum,Westdeutschland,Nein,0.18508997429305912,12817,0.17836626145120574,0.1918136871349125
1988,Staedtischer Raum,Westdeutschland,Ja,0.09717223650385604,12817,0.09204437329493863,0.10230009971277344
1988,Laendlicher Raum,Westdeutschland,Ja,0.024267352185089974,12817,0.021603319836755307,0.02693138453342464
1989,Staedtischer Raum,Westdeutschland,Nein,0.7018732140967298,12393,0.6938194727119461,0.7099269554815134
1989,Laendlicher Raum,Westdeutschland,Nein,0.17821991745158217,12393,0.1714820297083032,0.18495780519486113
1989,Staedtischer Raum,Westdeutschland,Ja,0.09323737961689067,12393,0.08811809022669637,0.09835666900708498
1989,Laendlicher Raum,Westdeutschland,Ja,0.026669488834797334,12393,0.023832841398681553,0.029506136270913114
1991,Staedtischer Raum,Westdeutschland,Nein,0.6911318300086731,17756,0.6843358744832418,0.6979277855341043
1991,Laendlicher Raum,Westdeutschland,Nein,0.183326105810928,17756,0.17763469418854985,0.18901751743330616
1991,Staedtischer Raum,Westdeutschland,Ja,0.09746313963573287,17756,0.09310063224377446,0.10182564702769129
1991,Laendlicher Raum,Westdeutschland,Ja,0.028078924544666088,17756,0.02564901986242461,0.030508829226907567
1992,Staedtischer Raum,Westdeutschland,Nein,0.4901323426979336,17350,0.48269373346940425,0.49757095192646295
1992,Laendlicher Raum,Ostdeutschland,Nein,0.175296029719062,17350,0.16963831018887873,0.18095374924924526
1992,Laendlicher Raum,Westdeutschland,Nein,0.13195573098057425,17350,0.12691966516401187,0.13699179679713663
1992,Staedtischer Raum,Ostdeutschland,Nein,0.09070505378840647,17350,0.08643164476152167,0.09497846281529128
1992,Staedtischer Raum,Westdeutschland,Ja,0.06586177540438047,17350,0.062170906494932406,0.06955264431382853
1992,Laendlicher Raum,Westdeutschland,Ja,0.01950313443231948,17350,0.01744543639293558,0.02156083247170338
1992,Laendlicher Raum,Ostdeutschland,Ja,0.017645693057812863,17350,0.015686578784004524,0.0196048073316212
1992,Staedtischer Raum,Ostdeutschland,Ja,0.008900239919510874,17350,0.007502694683117012,0.010297785155904737
1994,Staedtischer Raum,Westdeutschland,Nein,0.4876660341555977,16642,0.48007167484389657,0.4952603934672989
1994,Laendlicher Raum,Ostdeutschland,Nein,0.17117330803289058,16642,0.16545057878949798,0.17689603727628317
1994,Laendlicher Raum,Westdeutschland,Nein,0.13282732447817835,16642,0.12767088627510467,0.13798376268125204
1994,Staedtischer Raum,Ostdeutschland,Nein,0.09100253004427578,16642,0.08663273182770838,0.09537232826084317
1994,Staedtischer Raum,Westdeutschland,Ja,0.06783681214421253,16642,0.06401620835506434,0.07165741593336071
1994,Laendlicher Raum,Ostdeutschland,Ja,0.020161290322580645,16642,0.018025838535396424,0.022296742109764865
1994,Laendlicher Raum,Westdeutschland,Ja,0.018975332068311195,16642,0.016902386164093848,0.02104827797252854
1994,Staedtischer Raum,Ostdeutschland,Ja,0.010357368753953194,16642,0.00881915309003084,0.011895584417875547
1995,Staedtischer Raum,Westdeutschland,Nein,0.4989611388995768,17246,0.49149869726564804,0.5064235805335054
1995,Laendlicher Raum,Ostdeutschland,Nein,0.16252404771065795,17246,0.15701778576234904,0.16803030965896687
1995,Laendlicher Raum,Westdeutschland,Nein,0.1373605232781839,17246,0.13222295610641982,0.142498090449948
1995,Staedtischer Raum,Ostdeutschland,Nein,0.0819545979222778,17246,0.07786076021025068,0.08604843563430492
1995,Staedtischer Raum,Westdeutschland,Ja,0.06671796844940361,17246,0.06299371061935856,0.07044222627944867
1995,Laendlicher Raum,Ostdeutschland,Ja,0.02308580223162755,17246,0.02084443727977895,0.02532716718347615
1995,Laendlicher Raum,Westdeutschland,Ja,0.019930742593305118,17246,0.01784480167277354,0.022016683513836698
1995,Staedtischer Raum,Ostdeutschland,Ja,0.009465178914967296,17246,0.00802003476924381,0.010910323060690782
1996,Staedtischer Raum,Westdeutschland,Nein,0.4908479349186483,16862,0.4833022482430316,0.49839362159426503
1996,Laendlicher Raum,Ostdeutschland,Nein,0.16262515644555695,16862,0.1570551544933891,0.16819515839772478
1996,Laendlicher Raum,Westdeutschland,Nein,0.13923654568210264,16862,0.1340111394497754,0.14446195191442987
1996,Staedtischer Raum,Ostdeutschland,Nein,0.08408948685857322,16862,0.07990059737877996,0.08827837633836648
