year,regtyp,ple0053,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1994,Urban regions,No,0.880958112662494,16642,0.8760379343308801,0.885878290994108
1994,Urban regions,Yes,0.11904188733750602,16642,0.11412170900589204,0.12396206566912
1994,Rural regions,No,0.8859447004608295,16642,0.8811150649672246,0.8907743359544344
1994,Rural regions,Yes,0.11405529953917051,16642,0.10922566404556563,0.11888493503277539
1995,Urban regions,No,0.884061365499473,17246,0.8792831341106614,0.8888395968882846
1995,Urban regions,Yes,0.115938634500527,17246,0.11116040311171534,0.12071686588933865
1995,Rural regions,No,0.8745511669658886,17246,0.869607629781962,0.8794947041498152
1995,Rural regions,Yes,0.1254488330341113,17246,0.12050529585018471,0.1303923702180379
1996,Urban regions,No,0.8791866028708134,16862,0.8742673447881554,0.8841058609534714
1996,Urban regions,Yes,0.12081339712918661,16862,0.11589413904652862,0.1257326552118446
1996,Rural regions,No,0.8722875226039783,16862,0.8672496402238206,0.8773254049841361
1996,Rural regions,Yes,0.1277124773960217,16862,0.12267459501586389,0.13275035977617952
1997,Urban regions,No,0.8791544477028348,16487,0.8741789884186201,0.8841299069870495
1997,Urban regions,Yes,0.1208455522971652,16487,0.11587009301295044,0.12582101158137998
1997,Rural regions,No,0.8750574184657786,16487,0.8700101225753186,0.8801047143562385
1997,Rural regions,Yes,0.1249425815342214,16487,0.1198952856437615,0.1299898774246813
1998,Urban regions,No,0.8821334503950834,18147,0.8774419032781074,0.8868249975120593
1998,Urban regions,Yes,0.11786654960491659,18147,0.1131750024879406,0.12255809672189258
1998,Rural regions,No,0.8679129005751849,18147,0.8629865884438591,0.8728392127065107
1998,Rural regions,Yes,0.1320870994248151,18147,0.12716078729348929,0.13701341155614094
1999,Urban regions,No,0.8794545662885298,17396,0.8746160360684216,0.884293096508638
1999,Urban regions,Yes,0.12054543371147015,17396,0.11570690349136205,0.12538396393157825
1999,Rural regions,No,0.8731676226896112,17396,0.8682222929987773,0.8781129523804452
1999,Rural regions,Yes,0.1268323773103888,17396,0.1218870476195549,0.13177770700122268
2000,Urban regions,No,0.8847598083646252,30607,0.8811824671306033,0.8883371495986471
2000,Urban regions,Yes,0.11524019163537486,30607,0.11166285040135301,0.1188175328693967
2000,Rural regions,No,0.87209726443769,30607,0.868355572154108,0.875838956721272
2000,Rural regions,Yes,0.12790273556231002,30607,0.12416104327872797,0.1316444278458921
2001,Urban regions,No,0.8829885547735835,27798,0.879209867030155,0.886767242517012
2001,Urban regions,Yes,0.11701144522641643,27798,0.11323275748298794,0.12079013296984492
2001,Rural regions,No,0.8715547230398716,27798,0.8676214355012759,0.8754880105784673
2001,Rural regions,Yes,0.12844527696012845,27798,0.1245119894215328,0.1323785644987241
2002,Urban regions,No,0.8850306584910691,28961,0.8813568249550893,0.8887044920270489
2002,Urban regions,Yes,0.11496934150893096,28961,0.11129550797295111,0.1186431750449108
2002,Rural regions,No,0.8748685594111462,28961,0.8710578667688255,0.8786792520534669
2002,Rural regions,Yes,0.12513144058885384,28961,0.12132074794653319,0.12894213323117448
2003,Urban regions,No,0.883073727933541,27727,0.8792914001401353,0.8868560557269467
2003,Urban regions,Yes,0.11692627206645899,27727,0.11314394427305324,0.12070859985986473
2003,Rural regions,No,0.8759264342574801,27727,0.8720460201179455,0.8798068483970146
2003,Rural regions,Yes,0.1240735657425199,27727,0.12019315160298541,0.1279539798820544
2004,Urban regions,No,0.8812042888589079,26790,0.8773298537053755,0.8850787240124403
2004,Urban regions,Yes,0.1187957111410921,26790,0.11492127598755977,0.12267014629462442
2004,Rural regions,No,0.8758795384182381,26790,0.8719312070339432,0.8798278698025329
2004,Rural regions,Yes,0.12412046158176189,26790,0.12017213019746702,0.12806879296605675
2005,Urban regions,No,0.8926691868653176,25520,0.8888714644480713,0.8964669092825639
2005,Urban regions,Yes,0.10733081313468239,25520,0.10353309071743608,0.1111285355519287
2005,Rural regions,No,0.8800294767870303,25520,0.8760428863341505,0.88401606723991
2005,Rural regions,Yes,0.11997052321296979,25520,0.11598393276009009,0.1239571136658495
2006,Urban regions,No,0.8862578987570308,27321,0.8824930419863699,0.8900227555276916
2006,Urban regions,Yes,0.11374210124296924,27321,0.10997724447230842,0.11750695801363006
2006,Rural regions,No,0.8784685165421559,27321,0.8745940200149263,0.8823430130693855
2006,Rural regions,Yes,0.12153148345784419,27321,0.11765698693061455,0.12540597998507383
2007,Urban regions,No,0.8841963885987166,25385,0.8802599552036877,0.8881328219937455
2007,Urban regions,Yes,0.1158036114012834,25385,0.11186717800625451,0.11974004479631228
2007,Rural regions,No,0.8747517730496454,25385,0.870679886244472,0.8788236598548187
2007,Rural regions,Yes,0.12524822695035462,25385,0.1211763401451813,0.12932011375552793
2008,Urban regions,No,0.8889769395356208,23673,0.8849749009880984,0.8929789780831433
2008,Urban regions,Yes,0.11102306046437911,23673,0.1070210219168567,0.11502509901190153
2008,Rural regions,No,0.87271904690092,23673,0.8684733561383007,0.8769647376635392
2008,Rural regions,Yes,0.12728095309908008,23673,0.12303526233646081,0.13152664386169935
2009,Urban regions,No,0.8774774774774775,21983,0.8731429820889459,0.8818119728660091
2009,Urban regions,Yes,0.12252252252252252,21983,0.11818802713399089,0.12685701791105414
2009,Rural regions,No,0.8631545641512419,21983,0.8586112576563921,0.8676978706460917
2009,Rural regions,Yes,0.1368454358487581,21983,0.13230212935390834,0.14138874234360788
2010,Urban regions,No,0.8643187066974596,35837,0.8607731274918491,0.8678642859030701
2010,Urban regions,Yes,0.13568129330254042,35837,0.13213571409692995,0.13922687250815088
2010,Rural regions,No,0.8613077384523096,35837,0.8577292836390555,0.8648861932655636
2010,Rural regions,Yes,0.13869226154769046,35837,0.1351138067344364,0.14227071636094452
2011,Urban regions,No,0.8657078304953987,41903,0.8624431210871792,0.8689725399036181
2011,Urban regions,Yes,0.13429216950460132,41903,0.1310274600963819,0.13755687891282076
2011,Rural regions,No,0.8566108007448789,41903,0.8532550978263848,0.8599665036633731
2011,Rural regions,Yes,0.14338919925512103,41903,0.14003349633662682,0.14674490217361524
2012,Urban regions,No,0.8696872493985566,40229,0.8663975102720399,0.8729769885250732
2012,Urban regions,Yes,0.13031275060144346,40229,0.12702301147492678,0.13360248972796013
2012,Rural regions,No,0.8568323288212627,40229,0.8534097232318342,0.8602549344106912
2012,Rural regions,Yes,0.14316767117873727,40229,0.1397450655893087,0.14659027676816586
2013,Urban regions,No,0.8696774193548387,44486,0.8665489397703153,0.872805898939362
2013,Urban regions,Yes,0.13032258064516128,44486,0.127194101060638,0.13345106022968456
2013,Rural regions,No,0.8587883959044369,44486,0.8555522904192042,0.8620245013896696
2013,Rural regions,Yes,0.14121160409556313,44486,0.13797549861033048,0.14444770958079578
2014,Urban regions,No,0.8719027051602637,38694,0.8685727510433388,0.8752326592771886
2014,Urban regions,Yes,0.1280972948397363,38694,0.12476734072281133,0.13142724895666127
2014,Rural regions,No,0.8624893977947413,38694,0.8590579354912556,0.865920860098227
2014,Rural regions,Yes,0.13751060220525868,38694,0.13407913990177298,0.14094206450874439
2015,Urban regions,No,0.8733965421081985,38036,0.8700546904357915,0.8767383937806055
2015,Urban regions,Yes,0.12660345789180144,38036,0.12326160621939447,0.1299453095642084
2015,Rural regions,No,0.8559972893607409,38036,0.8524688701312522,0.8595257085902297
2015,Rural regions,Yes,0.1440027106392591,38036,0.14047429140977033,0.14753112986874786
2016,Urban regions,No,0.8734735630714149,41132,0.8702607779538805,0.8766863481889493
2016,Urban regions,Yes,0.12652643692858512,41132,0.1233136518110507,0.12973922204611954
2016,Rural regions,No,0.8578841844557141,41132,0.8545097445810728,0.8612586243303555
2016,Rural regions,Yes,0.14211581554428587,41132,0.13874137566964453,0.1454902554189272
2017,Urban regions,No,0.8676686432219809,45410,0.8645519887676599,0.8707852976763019
2017,Urban regions,Yes,0.13233135677801913,45410,0.1292147023236981,0.13544801123234015
2017,Rural regions,No,0.860626805005883,45410,0.8574413066695732,0.8638123033421927
2017,Rural regions,Yes,0.13937319499411702,45410,0.13618769665780725,0.14255869333042678
2018,Urban regions,No,0.8696911196911197,43121,0.8665136517038173,0.872868587678422
2018,Urban regions,Yes,0.1303088803088803,43121,0.12713141232157793,0.13348634829618267
2018,Rural regions,No,0.859219501285922,43121,0.8559367727390055,0.8625022298328384
2018,Rural regions,Yes,0.14078049871407805,43121,0.1374977701671616,0.1440632272609945
2019,Urban regions,No,0.8684258862425763,42417,0.865208985183162,0.8716427873019906
2019,Urban regions,Yes,0.13157411375742362,42417,0.12835721269800932,0.13479101481683792
2019,Rural regions,No,0.8631243599954489,42417,0.8598533199186319,0.8663954000722659
2019,Rural regions,Yes,0.13687564000455113,42417,0.13360459992773407,0.14014668008136819
2020,Urban regions,No,0.8739668333772045,42741,0.870820363113121,0.8771133036412879
2020,Urban regions,Yes,0.12603316662279548,42741,0.12288669635871202,0.12917963688687895
2020,Rural regions,No,0.8636120901420485,42741,0.8603583637832775,0.8668658165008196
2020,Rural regions,Yes,0.13638790985795152,42741,0.1331341834991804,0.13964163621672263
2021,Urban regions,No,0.8829946335884579,27598,0.8792023641269326,0.8867869030499831
2021,Urban regions,Yes,0.11700536641154219,27598,0.11321309695001695,0.12079763587306742
2021,Rural regions,No,0.8716577540106952,27598,0.8677115904428779,0.8756039175785125
2021,Rural regions,Yes,0.12834224598930483,27598,0.12439608242148754,0.1322884095571221
