year,regtyp,ple0053,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,No,0.8880066366437545,14443,0.8828634579310378,0.8931498153564711
1985,Urban regions,Yes,0.11199336335624556,14443,0.10685018464352888,0.11713654206896223
1985,Rural regions,No,0.8760869565217392,14443,0.8707134289084211,0.8814604841350573
1985,Rural regions,Yes,0.12391304347826088,14443,0.11853951586494278,0.12928657109157896
1986,Urban regions,No,0.8761280751638026,13742,0.8706199811922676,0.8816361691353377
1986,Urban regions,Yes,0.1238719248361973,13742,0.11836383086466228,0.1293800188077323
1986,Rural regions,No,0.8800545206724216,13742,0.874622294664347,0.8854867466804962
1986,Rural regions,Yes,0.11994547932757837,13742,0.11451325331950384,0.1253777053356529
1987,Urban regions,No,0.8823749532243982,13496,0.8769395717843714,0.8878103346644249
1987,Urban regions,Yes,0.11762504677560184,13496,0.11218966533557512,0.12306042821562857
1987,Rural regions,No,0.8757505773672055,13496,0.8701852470960475,0.8813159076383635
1987,Rural regions,Yes,0.12424942263279445,13496,0.11868409236163643,0.12981475290395247
1988,Urban regions,No,0.8770971517752634,12817,0.8714129733307834,0.8827813302197434
1988,Urban regions,Yes,0.12290284822473664,12817,0.11721866978025663,0.12858702666921665
1988,Rural regions,No,0.8840864440078585,12817,0.8785443057016246,0.8896285823140925
1988,Rural regions,Yes,0.11591355599214145,12817,0.11037141768590754,0.12145569429837537
1989,Urban regions,No,0.8827365899108213,12393,0.8770720496141771,0.8884011302074655
1989,Urban regions,Yes,0.11726341008917876,12393,0.1115988697925346,0.12292795038582292
1989,Rural regions,No,0.8698347107438017,12393,0.8639104548741589,0.8757589666134445
1989,Rural regions,Yes,0.13016528925619836,12393,0.12424103338655548,0.13608954512584123
1991,Urban regions,No,0.8764091284025296,17756,0.8715681834202196,0.8812500733848396
1991,Urban regions,Yes,0.12359087159747044,17756,0.1187499266151604,0.12843181657978048
1991,Rural regions,No,0.8671794871794872,17756,0.8621875331460023,0.8721714412129722
1991,Rural regions,Yes,0.13282051282051283,17756,0.12782855878702787,0.13781246685399778
1992,Urban regions,No,0.885963876755991,17350,0.8812341553365487,0.8906935981754333
1992,Urban regions,Yes,0.11403612324400897,17350,0.10930640182456666,0.11876584466345128
1992,Rural regions,No,0.8921348314606742,17350,0.8875188698011838,0.8967507931201646
1992,Rural regions,Yes,0.10786516853932585,17350,0.10324920687983542,0.11248113019881627
