"ple0053","year","age_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Ja","1984","17-34","(noch) kein Abschluss","42","0.0659735246018896","0.0445550924522372","0.0873919567515419"
"Ja","1984","17-34","Hauptschule","254","0.113040770360632","0.0998809463170273","0.126200594404237"
"Ja","1984","17-34","Realschule","107","0.104796451246093","0.0858316447440386","0.123761257748148"
"Ja","1984","17-34","(Fach-)Abitur","42","0.0617635539018327","0.0419666984728725","0.0815604093307929"
"Ja","1984","17-34","AkademikerIn","17","","",""
"Ja","1984","35-65","(noch) kein Abschluss","109","0.139782060657419","0.114898722348527","0.164665398966311"
"Ja","1984","35-65","Hauptschule","457","0.115404433853665","0.105573931846974","0.125234935860357"
"Ja","1984","35-65","Realschule","61","0.0885885117267727","0.067538854744967","0.109638168708578"
"Ja","1984","35-65","(Fach-)Abitur","37","0.111866945838688","0.072716354603162","0.151017537074213"
"Ja","1984","35-65","AkademikerIn","38","0.0838962600813571","0.0590951510817335","0.108697369080981"
"Ja","1984","66 +","(noch) kein Abschluss","","","",""
"Ja","1984","66 +","Hauptschule","154","0.159323498232799","0.136136395132255","0.182510601333343"
"Ja","1984","66 +","Realschule","26","","",""
"Ja","1984","66 +","(Fach-)Abitur","6","","",""
"Ja","1984","66 +","AkademikerIn","6","","",""
"Nein","1984","17-34","(noch) kein Abschluss","474","0.93402647539811","0.912608043248458","0.955444907547763"
"Nein","1984","17-34","Hauptschule","1970","0.886959229639368","0.873799405595763","0.900119053682973"
"Nein","1984","17-34","Realschule","895","0.895203548753907","0.876238742251852","0.914168355255962"
"Nein","1984","17-34","(Fach-)Abitur","526","0.938236446098167","0.918439590669207","0.958033301527128"
"Nein","1984","17-34","AkademikerIn","227","0.924315976134649","0.891129165699398","0.9575027865699"
"Nein","1984","35-65","(noch) kein Abschluss","637","0.860217939342581","0.835334601033689","0.885101277651473"
"Nein","1984","35-65","Hauptschule","3601","0.884595566146335","0.874765064139644","0.894426068153026"
"Nein","1984","35-65","Realschule","639","0.911411488273227","0.890361831291422","0.932461145255033"
"Nein","1984","35-65","(Fach-)Abitur","212","0.888133054161312","0.848982462925787","0.927283645396838"
"Nein","1984","35-65","AkademikerIn","442","0.916103739918643","0.891302630919019","0.940904848918267"
"Nein","1984","66 +","(noch) kein Abschluss","18","","",""
"Nein","1984","66 +","Hauptschule","803","0.840676501767201","0.817489398666657","0.863863604867745"
"Nein","1984","66 +","Realschule","151","0.857021202557545","0.805451685886228","0.908590719228862"
"Nein","1984","66 +","(Fach-)Abitur","42","0.885565809444527","0.795509158207711","0.975622460681343"
"Nein","1984","66 +","AkademikerIn","57","0.900900910541813","0.827118785186401","0.974683035897224"
"Ja","1985","17-34","(noch) kein Abschluss","56","0.106865955432241","0.0778336535498451","0.135898257314637"
"Ja","1985","17-34","Hauptschule","218","0.107750684731106","0.093885120736498","0.121616248725714"
"Ja","1985","17-34","Realschule","113","0.109266649987917","0.0896440682545465","0.128889231721287"
"Ja","1985","17-34","(Fach-)Abitur","48","0.0837611522197912","0.0599275281816777","0.107594776257905"
"Ja","1985","17-34","AkademikerIn","25","","",""
"Ja","1985","35-65","(noch) kein Abschluss","75","0.125239851519431","0.099475499226278","0.151004203812583"
"Ja","1985","35-65","Hauptschule","408","0.106928573596782","0.0969497748410869","0.116907372352477"
"Ja","1985","35-65","Realschule","57","0.0893563136982501","0.0678844319565309","0.110828195439969"
"Ja","1985","35-65","(Fach-)Abitur","31","0.125057199488219","0.0817392129230266","0.168375186053411"
"Ja","1985","35-65","AkademikerIn","38","0.0845222099857122","0.0591020368948128","0.109942383076612"
"Ja","1985","66 +","(noch) kein Abschluss","2","","",""
"Ja","1985","66 +","Hauptschule","129","0.159387579959217","0.134318910751928","0.184456249166506"
"Ja","1985","66 +","Realschule","27","","",""
"Ja","1985","66 +","(Fach-)Abitur","5","","",""
"Ja","1985","66 +","AkademikerIn","9","","",""
"Nein","1985","17-34","(noch) kein Abschluss","379","0.893134044567759","0.864101742685363","0.922166346450155"
"Nein","1985","17-34","Hauptschule","1703","0.892249315268894","0.878383751274285","0.906114879263502"
"Nein","1985","17-34","Realschule","858","0.890733350012083","0.871110768278713","0.910355931745453"
"Nein","1985","17-34","(Fach-)Abitur","471","0.916238847780209","0.892405223742095","0.940072471818322"
"Nein","1985","17-34","AkademikerIn","213","0.895328068808285","0.856435571443831","0.934220566172739"
"Nein","1985","35-65","(noch) kein Abschluss","559","0.874760148480569","0.848995796187417","0.900524500773722"
"Nein","1985","35-65","Hauptschule","3276","0.893071426403218","0.883092627647523","0.903050225158913"
"Nein","1985","35-65","Realschule","621","0.91064368630175","0.889171804560031","0.932115568043469"
"Nein","1985","35-65","(Fach-)Abitur","193","0.874942800511781","0.831624813946589","0.918260787076973"
"Nein","1985","35-65","AkademikerIn","422","0.915477790014288","0.890057616923388","0.940897963105187"
"Nein","1985","66 +","(noch) kein Abschluss","15","","",""
