syear,quintil_oecd,ple0053,proportion,n,lower_confidence,upper_confidence
1984,1. Quintil,2.0,0.5962599884669247,12164,0.5875405885957047,0.6049793883381448
1984,2. Quintil,2.0,0.29121014910618664,12164,0.2831363142108829,0.29928398400149037
1984,1. Quintil,1.0,0.07718922481258753,12164,0.07244623126526016,0.08193221835991489
1984,2. Quintil,1.0,0.035340637614301014,12164,0.032059367010184026,0.038621908218418
1985,1. Quintil,2.0,0.5864606996819628,11026,0.5772683840374466,0.595653015326479
1985,2. Quintil,2.0,0.2995910949568378,11026,0.29104067674863815,0.3081415131650374
1985,1. Quintil,1.0,0.07796456156292594,11026,0.07295996003112162,0.08296916309473026
1985,2. Quintil,1.0,0.03598364379827351,11026,0.03250714688544194,0.03946014071110508
1986,1. Quintil,2.0,0.5785484176615501,10583,0.5691404596007359,0.5879563757223643
1986,2. Quintil,2.0,0.299128292590487,10583,0.29040461344941876,0.30785197173155526
1986,1. Quintil,1.0,0.08489672162213378,10583,0.07958626104906799,0.09020718219519958
1986,2. Quintil,1.0,0.03742656812582907,10583,0.03381031675382279,0.04104281949783535
1987,1. Quintil,2.0,0.5841650671785029,10452,0.5747160933246682,0.5936140410323376
1987,2. Quintil,2.0,0.2974088291746641,10452,0.28864518686493335,0.30617247148439486
1987,1. Quintil,1.0,0.08589251439539347,10452,0.08052055573776583,0.09126447305302111
1987,2. Quintil,1.0,0.03253358925143954,10452,0.029132325518188666,0.03593485298469041
1988,1. Quintil,2.0,0.5882471322197625,9970,0.578586473996514,0.5979077904430111
1988,2. Quintil,2.0,0.2909036023344737,9970,0.2819883080905696,0.29981889657837785
1988,1. Quintil,1.0,0.08553028778426243,9970,0.08004053077569703,0.09102004479282783
1988,2. Quintil,1.0,0.035318977661501307,9970,0.03169567659601504,0.03894227872698757
1989,1. Quintil,2.0,0.591588785046729,9662,0.5817875376708337,0.6013900324226242
1989,2. Quintil,2.0,0.28951194184839046,9662,0.2804684909004839,0.298555392796297
1989,1. Quintil,1.0,0.08328141225337488,9662,0.07777188146867613,0.08879094303807362
1989,2. Quintil,1.0,0.035617860851505714,9662,0.03192229410609541,0.03931342759691602
1991,1. Quintil,2.0,0.6026871401151631,13586,0.5944586047561605,0.6109156754741657
1991,2. Quintil,2.0,0.2726594156536575,13586,0.2651710088944719,0.28014782241284303
1991,1. Quintil,1.0,0.09223715077841757,13586,0.08737140507016858,0.09710289648666656
1991,2. Quintil,1.0,0.032416293452761785,13586,0.02943821443270901,0.03539437247281456
1992,1. Quintil,2.0,0.6310987105044868,13316,0.62290325850152,0.6392941625074537
1992,2. Quintil,2.0,0.25706960259407285,13316,0.2496467881314706,0.2644924170566751
1992,1. Quintil,1.0,0.08702209486464067,13316,0.0822345365306055,0.09180965319867584
1992,2. Quintil,1.0,0.024809592036799638,13316,0.02216764747619769,0.027451536597401585
1994,1. Quintil,2.0,0.6418608275539625,12873,0.6335783067490143,0.6501433483589106
1994,2. Quintil,2.0,0.24148679186472377,12873,0.2340933876364752,0.24888019609297235
1994,1. Quintil,1.0,0.09163874386347698,12873,0.08665466332460425,0.0966228244023497
1994,2. Quintil,1.0,0.025013636717836827,12873,0.02231587320518833,0.027711400230485322
1995,3. Quintil,2.0,0.33083617101778284,13284,0.3228348009069182,0.3388375411286475
1995,2. Quintil,2.0,0.3095724555429436,13284,0.3017104771036233,0.3174344339822639
1995,4. Quintil,2.0,0.16942867953083618,13284,0.16304937159656951,0.17580798746510284
1995,5. Quintil,2.0,0.07158531971244797,13284,0.06720127856309412,0.07596936086180182
1995,2. Quintil,1.0,0.04774877033673856,13284,0.044122597462179815,0.0513749432112973
1995,3. Quintil,1.0,0.041543700340522134,13284,0.03815033683768629,0.04493706384335798
1995,4. Quintil,1.0,0.02194475974271661,13284,0.01945338679008872,0.024436132695344503
1995,5. Quintil,1.0,0.007340143776012107,13284,0.005888553163827904,0.008791734388196311
1996,3. Quintil,2.0,0.3340510612119348,13048,0.32595803418352026,0.3421440882403493
1996,2. Quintil,2.0,0.2826053521993233,13048,0.274879376198481,0.2903313282001656
1996,4. Quintil,2.0,0.18371270378345125,13048,0.17706800634190795,0.19035740122499456
1996,5. Quintil,2.0,0.07751461088895724,13048,0.07292627047593947,0.08210295130197501
1996,2. Quintil,1.0,0.04544755459858505,13048,0.04187368045344193,0.04902142874372817
1996,3. Quintil,1.0,0.04337127037834512,13048,0.039876192327622274,0.04686634842906797
1996,4. Quintil,1.0,0.02330052291602584,13048,0.020712027449009886,0.025889018383041792
1996,5. Quintil,1.0,0.009996924023377422,13048,0.008289915989581325,0.01170393205717352
1997,3. Quintil,2.0,0.32957658292243874,12828,0.32144211114562116,0.33771105469925633
1997,2. Quintil,2.0,0.27416451436174377,12828,0.2664447985045128,0.28188423021897474
1997,4. Quintil,2.0,0.194333568130234,12828,0.1874861295935834,0.2011810066668846
1997,5. Quintil,2.0,0.08069186820067309,12828,0.07597860131791392,0.08540513508343225
1997,3. Quintil,1.0,0.046802848869061595,12828,0.043147708093865374,0.050457989644257815
1997,2. Quintil,1.0,0.04163731705408155,12828,0.03818044813532819,0.04509418597283491
1997,4. Quintil,1.0,0.023557955701651406,12828,0.020933322418927272,0.02618258898437554
1997,5. Quintil,1.0,0.009235344760115833,12828,0.007580000205471383,0.010890689314760282
1998,3. Quintil,2.0,0.322970881980588,14238,0.3152898966526826,0.3306518673084934
1998,2. Quintil,2.0,0.2683921789281193,14238,0.26111344783694335,0.2756709100192952
1998,4. Quintil,2.0,0.19784779856519905,14238,0.19130406545544218,0.2043915316749559
1998,5. Quintil,2.0,0.0889013926009284,14238,0.08422653323502693,0.09357625196682987
1998,3. Quintil,1.0,0.04733436488957659,14238,0.04384625543812204,0.05082247434103114
1998,2. Quintil,1.0,0.04086369390912927,14238,0.037611768663384185,0.04411561915487436
1998,4. Quintil,1.0,0.02384301589534393,14238,0.021337068188007808,0.02634896360268005
1998,5. Quintil,1.0,0.009846673231115488,14238,0.008224760191343224,0.011468586270887753
1999,3. Quintil,2.0,0.33169767101215764,13674,0.3238060543342358,0.33958928769007946
1999,2. Quintil,2.0,0.2304819100629852,13674,0.22342302480276074,0.23754079532320968
1999,4. Quintil,2.0,0.21085396220887653,13674,0.20401676893188136,0.2176911554858717
1999,5. Quintil,2.0,0.10473121429617695,13674,0.09959878382861594,0.10986364476373796
1999,3. Quintil,1.0,0.04826424490991651,13674,0.04467189001945807,0.05185659980037494
1999,2. Quintil,1.0,0.03661930569796397,13674,0.03347110576025857,0.039767505635669366
1999,4. Quintil,1.0,0.026878570382305553,13674,0.024167786562879913,0.029589354201731193
1999,5. Quintil,1.0,0.010473121429617694,13674,0.008766802727924058,0.01217944013131133
2000,3. Quintil,2.0,0.32356364845763697,24107,0.31765786092680937,0.32946943598846457
2000,4. Quintil,2.0,0.22000498877525568,24107,0.2147756513671173,0.22523432618339406
2000,2. Quintil,2.0,0.2120229483661761,24107,0.20686315028146812,0.2171827464508841
2000,5. Quintil,2.0,0.12571713644300325,24107,0.12153201841369787,0.12990225447230863
2000,3. Quintil,1.0,0.046561902386297496,24107,0.04390212005812878,0.04922168471446621
2000,2. Quintil,1.0,0.03163714974640392,24107,0.02942760794349724,0.0338466915493106
2000,4. Quintil,1.0,0.026232643219422966,24107,0.024215052276763013,0.02825023416208292
2000,5. Quintil,1.0,0.014259582605803608,24107,0.012762936306811114,0.015756228904796103
2001,3. Quintil,2.0,0.3140215998535603,21921,0.30787746312412995,0.3201657365829907
2001,4. Quintil,2.0,0.23187808896210874,21921,0.22629118992137445,0.23746498800284302
2001,2. Quintil,2.0,0.19618341570565623,21921,0.19092644547969048,0.20144038593162197
2001,5. Quintil,2.0,0.13797364085667216,21921,0.1334081841836241,0.14253909752972022
2001,3. Quintil,1.0,0.043931905546403076,21921,0.04121883976671895,0.0466449713260872
2001,4. Quintil,1.0,0.030706571480871317,21921,0.028422713003705215,0.032990429958037415
