,Unnamed: 0,year,bula_h,sampreg,ple0016,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Schleswig-Holstein,West,No,1.0,499,17823,0.92013,1.08879
1,1,2009,Hamburg,West,No,1.0,263,17823,0.88734,1.12035
2,2,2009,Lower Saxony,West,No,1.0,1607,17823,0.95983,1.04634
3,3,2009,Bremen,West,No,1.0,117,17823,0.85133,1.1665
4,4,2009,North Rhine-Westphalia,West,Yes,0.01799,53,17823,0.01518,0.02156
5,5,2009,North Rhine-Westphalia,West,No,0.98201,3575,17823,0.95209,1.01021
6,6,2009,Hesse,West,No,1.0,1195,17823,0.9476,1.05229
7,7,2009,"Rhineland-Palatinate, Saarland",West,No,1.0,1011,17823,0.93826,1.05793
8,8,2009,Baden-Wuerttemberg,West,No,1.0,2077,17823,0.95132,1.04087
9,9,2009,Bavaria,West,Yes,0.01512,39,17823,0.01205,0.01906
10,10,2009,Bavaria,West,No,0.98488,2570,17823,0.95218,1.02666
11,11,2009,Berlin,West,No,1.0,354,17823,0.9016,1.09993
12,12,2009,Berlin,East,No,1.0,318,17823,0.92187,1.1049
13,13,2009,Brandenburg,East,No,1.0,774,17823,0.94503,1.05896
14,14,2009,Mecklenburg-Western Pomerania,East,No,1.0,464,17823,0.9274,1.06864
15,15,2009,Saxony,East,No,1.0,1341,17823,0.94151,1.05487
16,16,2009,Saxony-Anhalt,East,No,1.0,756,17823,0.92623,1.07132
17,17,2009,Thuringa,East,No,1.0,810,17823,0.93629,1.09117
18,18,2011,Schleswig-Holstein,West,No,1.0,639,20523,0.92001,1.07228
19,19,2011,Hamburg,West,No,1.0,309,20523,0.90708,1.10687
20,20,2011,Lower Saxony,West,No,1.0,1878,20523,0.95991,1.0445
21,21,2011,Bremen,West,No,1.0,123,20523,0.85988,1.14212
22,22,2011,North Rhine-Westphalia,West,Yes,0.02633,90,20523,0.02284,0.03026
23,23,2011,North Rhine-Westphalia,West,No,0.97367,4041,20523,0.94756,1.00668
24,24,2011,Hesse,West,No,1.0,1381,20523,0.95604,1.04901
25,25,2011,"Rhineland-Palatinate, Saarland",West,No,1.0,1187,20523,0.94474,1.04984
26,26,2011,Baden-Wuerttemberg,West,Yes,0.02004,46,20523,0.01619,0.02484
27,27,2011,Baden-Wuerttemberg,West,No,0.97996,2440,20523,0.9385,1.01281
28,28,2011,Bavaria,West,Yes,0.02171,66,20523,0.01828,0.02696
29,29,2011,Bavaria,West,No,0.97829,3118,20523,0.94965,1.01061
30,30,2011,Berlin,West,No,1.0,420,20523,0.91466,1.09973
