year,age_gr,sex,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,male,No,0.99853,1397,1397,0.99652,1.00054
2009,17-29 y.,female,No,0.99951,1455,1455,0.99838,1.00065
2009,30-45 y.,male,No,0.99771,2200,2200,0.99572,0.99971
2009,30-45 y.,female,No,0.99773,2466,2466,0.99585,0.99961
2009,46-65 y.,male,Yes,0.02043,49,3015,0.01538,0.02548
2009,46-65 y.,male,No,0.97957,2966,3015,0.97452,0.98462
2009,46-65 y.,female,Yes,0.01502,41,3310,0.01087,0.01916
2009,46-65 y.,female,No,0.98498,3269,3310,0.98084,0.98913
2009,66 and older,male,Yes,0.05797,101,1980,0.04768,0.06827
2009,66 and older,male,No,0.94203,1879,1980,0.93173,0.95232
2009,66 and older,female,Yes,0.03940,84,2183,0.03123,0.04756
2009,66 and older,female,No,0.96060,2099,2183,0.95244,0.96877
2011,17-29 y.,female,No,0.99953,1530,1530,0.99845,1.00062
2011,30-45 y.,male,No,0.99812,2186,2186,0.99631,0.99994
2011,30-45 y.,female,No,0.99936,2661,2661,0.99840,1.00032
2011,46-65 y.,male,Yes,0.02352,88,3675,0.01862,0.02842
2011,46-65 y.,male,No,0.97648,3587,3675,0.97158,0.98138
2011,46-65 y.,female,Yes,0.01748,58,4099,0.01347,0.02150
2011,46-65 y.,female,No,0.98252,4041,4099,0.97850,0.98653
2011,66 and older,male,Yes,0.06952,145,2458,0.05946,0.07957
2011,66 and older,male,No,0.93048,2313,2458,0.92043,0.94054
2011,66 and older,female,Yes,0.05041,123,2663,0.04210,0.05872
2011,66 and older,female,No,0.94959,2540,2663,0.94128,0.95790
2013,17-29 y.,female,No,0.99941,1302,1302,0.99810,1.00073
2013,30-45 y.,male,No,0.99836,1812,1812,0.99650,1.00022
2013,30-45 y.,female,No,0.99700,2250,2250,0.99474,0.99926
2013,46-65 y.,male,Yes,0.02494,89,3397,0.01970,0.03019
2013,46-65 y.,male,No,0.97506,3308,3397,0.96981,0.98030
2013,46-65 y.,female,Yes,0.01347,58,3922,0.00986,0.01708
2013,46-65 y.,female,No,0.98653,3864,3922,0.98292,0.99014
2013,66 and older,male,Yes,0.06181,133,2388,0.05215,0.07147
2013,66 and older,male,No,0.93819,2255,2388,0.92853,0.94785
2013,66 and older,female,Yes,0.04881,117,2550,0.04045,0.05718
2013,66 and older,female,No,0.95119,2433,2550,0.94282,0.95955
2015,17-29 y.,male,No,0.99985,1886,1886,0.99931,1.00040
2015,17-29 y.,female,No,0.99975,2035,2035,0.99907,1.00044
2015,30-45 y.,male,No,0.99884,3041,3041,0.99763,1.00005
2015,30-45 y.,female,No,0.99527,4281,4281,0.99321,0.99732
2015,46-65 y.,male,Yes,0.02683,100,4138,0.02191,0.03175
2015,46-65 y.,male,No,0.97317,4038,4138,0.96825,0.97809
2015,46-65 y.,female,Yes,0.01826,82,4739,0.01444,0.02207
2015,46-65 y.,female,No,0.98174,4657,4739,0.97793,0.98556
2015,66 and older,male,Yes,0.06549,157,2384,0.05556,0.07542
2015,66 and older,male,No,0.93451,2227,2384,0.92458,0.94444
2015,66 and older,female,Yes,0.04783,115,2500,0.03946,0.05620
2015,66 and older,female,No,0.95217,2385,2500,0.94380,0.96054
2017,17-29 y.,male,No,0.99961,2136,2136,0.99878,1.00045
2017,17-29 y.,female,No,0.99988,2221,2221,0.99942,1.00034
2017,30-45 y.,male,No,0.99785,3040,3040,0.99620,0.99949
2017,30-45 y.,female,No,0.99681,4187,4187,0.99510,0.99852
2017,46-65 y.,male,Yes,0.02432,102,4621,0.01988,0.02876
2017,46-65 y.,male,No,0.97568,4519,4621,0.97124,0.98012
2017,46-65 y.,female,Yes,0.01998,91,5352,0.01623,0.02373
2017,46-65 y.,female,No,0.98002,5261,5352,0.97627,0.98377
2017,66 and older,male,Yes,0.06641,173,2452,0.05655,0.07627
2017,66 and older,male,No,0.93359,2279,2452,0.92373,0.94345
2017,66 and older,female,Yes,0.04826,110,2508,0.03987,0.05665
2017,66 and older,female,No,0.95174,2398,2508,0.94335,0.96013
2019,17-29 y.,male,No,0.99960,1866,1866,0.99869,1.00051
2019,17-29 y.,female,No,0.99966,1970,1970,0.99884,1.00048
2019,30-45 y.,male,No,0.99787,2690,2690,0.99612,0.99961
2019,30-45 y.,female,No,0.99766,3571,3571,0.99608,0.99925
2019,46-65 y.,male,Yes,0.02754,115,5088,0.02304,0.03204
2019,46-65 y.,male,No,0.97246,4973,5088,0.96796,0.97696
2019,46-65 y.,female,Yes,0.01559,74,5331,0.01226,0.01892
2019,46-65 y.,female,No,0.98441,5257,5331,0.98108,0.98774
2019,66 and older,male,Yes,0.07419,200,2621,0.06416,0.08423
2019,66 and older,male,No,0.92581,2421,2621,0.91577,0.93584
2019,66 and older,female,Yes,0.04927,117,2554,0.04087,0.05766
2019,66 and older,female,No,0.95073,2437,2554,0.94234,0.95913
2021,17-29 y.,male,No,0.99943,1625,1625,0.99826,1.00059
2021,17-29 y.,female,No,0.99896,1547,1547,0.99735,1.00057
2021,30-45 y.,male,No,0.99933,2434,2434,0.99830,1.00036
2021,30-45 y.,female,No,0.99436,2755,2755,0.99156,0.99715
2021,46-65 y.,male,Yes,0.02640,82,3433,0.02103,0.03176
2021,46-65 y.,male,No,0.97360,3351,3433,0.96824,0.97897
2021,46-65 y.,female,Yes,0.01549,59,3780,0.01155,0.01943
2021,46-65 y.,female,No,0.98451,3721,3780,0.98057,0.98845
2021,66 and older,male,Yes,0.07377,127,1791,0.06166,0.08588
2021,66 and older,male,No,0.92623,1664,1791,0.91412,0.93834
2021,66 and older,female,Yes,0.05926,82,1773,0.04826,0.07025
2021,66 and older,female,No,0.94074,1691,1773,0.92975,0.95174
