"ple0016","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Ja","2009","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2009","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2009","Hauptschule","Staedtischer Raum","113","0.0293572166023515","0.0240775707256904","0.0346368624790125"
"Ja","2009","Hauptschule","Laendlicher Raum","58","0.0228734231171659","0.0167436276509878","0.029003218583344"
"Ja","2009","Realschule","Staedtischer Raum","","","",""
"Ja","2009","Realschule","Laendlicher Raum","","","",""
"Ja","2009","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2009","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2009","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2009","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2009","(noch) kein Abschluss","Staedtischer Raum","342","0.976442959012064","0.96046233073802","0.992423587286109"
"Nein","2009","(noch) kein Abschluss","Laendlicher Raum","137","0.985179745451979","0.965019578858818","1.00533991204514"
"Nein","2009","Hauptschule","Staedtischer Raum","3814","0.970642783397649","0.965363137520987","0.97592242927431"
"Nein","2009","Hauptschule","Laendlicher Raum","2227","0.977126576882834","0.970996781416656","0.983256372349012"
"Nein","2009","Realschule","Staedtischer Raum","2750","0.990364401468505","0.986729172908854","0.993999630028157"
"Nein","2009","Realschule","Laendlicher Raum","2010","0.982956469403035","0.977337030856732","0.988575907949337"
"Nein","2009","(Fach-)Abitur","Staedtischer Raum","1471","0.989359223319895","0.984138931174259","0.994579515465532"
"Nein","2009","(Fach-)Abitur","Laendlicher Raum","517","0.992262322710913","0.98473110892115","0.999793536500676"
"Nein","2009","AkademikerIn","Staedtischer Raum","2790","0.988704669612433","0.98480083281545","0.992608506409416"
"Nein","2009","AkademikerIn","Laendlicher Raum","1204","0.984869925339822","0.978020121271925","0.99171972940772"
"Ja","2010","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2010","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2010","Hauptschule","Staedtischer Raum","","","",""
"Ja","2010","Hauptschule","Laendlicher Raum","","","",""
"Ja","2010","Realschule","Staedtischer Raum","","","",""
"Ja","2010","Realschule","Laendlicher Raum","","","",""
"Ja","2010","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2010","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2010","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2010","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2010","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2010","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2010","Hauptschule","Staedtischer Raum","","","",""
"Nein","2010","Hauptschule","Laendlicher Raum","","","",""
"Nein","2010","Realschule","Staedtischer Raum","","","",""
"Nein","2010","Realschule","Laendlicher Raum","","","",""
"Nein","2010","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2010","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2010","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2010","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2011","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2011","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2011","Hauptschule","Staedtischer Raum","162","0.0405217787601137","0.0347284270268907","0.0463151304933367"
"Ja","2011","Hauptschule","Laendlicher Raum","90","0.0341520197214743","0.0273014168347648","0.0410026226081837"
"Ja","2011","Realschule","Staedtischer Raum","40","0.0139839386496845","0.00987679382933589","0.0180910834700331"
"Ja","2011","Realschule","Laendlicher Raum","40","0.0196047966339478","0.0140291140277716","0.025180479240124"
"Ja","2011","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2011","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2011","AkademikerIn","Staedtischer Raum","41","0.0168726395240236","0.0124227269712531","0.0213225520767942"
"Ja","2011","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2011","(noch) kein Abschluss","Staedtischer Raum","393","0.976612606540431","0.961764925512148","0.991460287568715"
"Nein","2011","(noch) kein Abschluss","Laendlicher Raum","158","0.979132039954217","0.957188084238806","1.00107599566963"
"Nein","2011","Hauptschule","Staedtischer Raum","4288","0.959478221239886","0.953684869506663","0.965271572973109"
"Nein","2011","Hauptschule","Laendlicher Raum","2610","0.965847980278526","0.958997377391816","0.972698583165235"
"Nein","2011","Realschule","Staedtischer Raum","3100","0.986016061350315","0.981908916529967","0.990123206170664"
"Nein","2011","Realschule","Laendlicher Raum","2335","0.980395203366052","0.974819520759876","0.985970885972228"
"Nein","2011","(Fach-)Abitur","Staedtischer Raum","1783","0.994793908173704","0.991465647025104","0.998122169322303"
"Nein","2011","(Fach-)Abitur","Laendlicher Raum","641","0.995156603957058","0.989798773833059","1.00051443408106"
"Nein","2011","AkademikerIn","Staedtischer Raum","3177","0.983127360475976","0.978677447923206","0.987577273028747"
"Nein","2011","AkademikerIn","Laendlicher Raum","1346","0.979194776078489","0.971636747172467","0.986752804984512"
"Ja","2012","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2012","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2012","Hauptschule","Staedtischer Raum","","","",""
"Ja","2012","Hauptschule","Laendlicher Raum","","","",""
"Ja","2012","Realschule","Staedtischer Raum","","","",""
"Ja","2012","Realschule","Laendlicher Raum","","","",""
"Ja","2012","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2012","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2012","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2012","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2012","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2012","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2012","Hauptschule","Staedtischer Raum","","","",""
"Nein","2012","Hauptschule","Laendlicher Raum","","","",""
"Nein","2012","Realschule","Staedtischer Raum","","","",""
"Nein","2012","Realschule","Laendlicher Raum","","","",""
"Nein","2012","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2012","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2012","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2012","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2013","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2013","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2013","Hauptschule","Staedtischer Raum","127","0.0363656604698249","0.0303940497803741","0.0423372711592757"
"Ja","2013","Hauptschule","Laendlicher Raum","96","0.0394743764575038","0.0317513525736453","0.0471974003413622"
"Ja","2013","Realschule","Staedtischer Raum","44","0.0155492040179558","0.0110203811718783","0.0200780268640332"
"Ja","2013","Realschule","Laendlicher Raum","40","0.0170667573046114","0.011621031811126","0.0225124827980968"
"Ja","2013","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2013","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2013","AkademikerIn","Staedtischer Raum","42","0.0166096304996669","0.0121500770833619","0.0210691839159719"
"Ja","2013","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2013","(noch) kein Abschluss","Staedtischer Raum","318","0.965908568500143","0.946210215351098","0.985606921649188"
"Nein","2013","(noch) kein Abschluss","Laendlicher Raum","154","0.972884268853417","0.947558607362367","0.998209930344466"
"Nein","2013","Hauptschule","Staedtischer Raum","3648","0.963634339530175","0.957662728840724","0.969605950219626"
"Nein","2013","Hauptschule","Laendlicher Raum","2346","0.960525623542496","0.952802599658638","0.968248647426355"
