year,plh0038,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Very concerned,0.43760,6266,12032,0.42873,0.44646
1984,Somewhat concerned,0.30333,4409,12032,0.29512,0.31155
1984,Not concerned at all,0.07849,1357,12032,0.07368,0.08329
1985,Very concerned,0.40598,5294,10891,0.39676,0.41521
1985,Somewhat concerned,0.33501,4318,10891,0.32615,0.34388
1985,Not concerned at all,0.08760,1279,10891,0.08229,0.09291
1986,Very concerned,0.37653,4775,10486,0.36725,0.38580
1986,Somewhat concerned,0.35247,4360,10486,0.34333,0.36162
1986,Not concerned at all,0.10089,1351,10486,0.09513,0.10666
1987,Very concerned,0.38131,4585,10338,0.37195,0.39068
1987,Somewhat concerned,0.35085,4475,10338,0.34165,0.36005
1987,Not concerned at all,0.09313,1278,10338,0.08752,0.09873
1988,Very concerned,0.33660,3979,9876,0.32728,0.34592
1988,Somewhat concerned,0.38535,4628,9876,0.37575,0.39495
1988,Not concerned at all,0.10452,1269,9876,0.09848,0.11055
1989,Very concerned,0.28054,3271,9552,0.27153,0.28955
1989,Somewhat concerned,0.39465,4526,9552,0.38484,0.40445
1989,Not concerned at all,0.15189,1755,9552,0.14469,0.15909
1990,Very concerned,0.23525,4301,13773,0.22816,0.24233
1990,Somewhat concerned,0.37849,6277,13773,0.37039,0.38659
1990,Not concerned at all,0.20166,3195,13773,0.19495,0.20836
1991,Very concerned,0.35565,5838,13483,0.34757,0.36373
1991,Somewhat concerned,0.37153,6125,13483,0.36337,0.37968
1991,Not concerned at all,0.08978,1520,13483,0.08496,0.09461
1992,Very concerned,0.34078,5768,13224,0.33270,0.34886
1992,Somewhat concerned,0.37751,5908,13224,0.36925,0.38577
1992,Not concerned at all,0.09967,1548,13224,0.09456,0.10478
1993,Very concerned,0.38279,6315,13015,0.37444,0.39114
1993,Somewhat concerned,0.35887,5573,13015,0.35062,0.36711
1993,Not concerned at all,0.07562,1127,13015,0.07108,0.08016
1994,Very concerned,0.37249,5986,12803,0.36412,0.38087
1994,Somewhat concerned,0.36774,5655,12803,0.35938,0.37609
1994,Not concerned at all,0.07744,1162,12803,0.07281,0.08207
1995,Very concerned,0.37257,6253,13158,0.36431,0.38083
1995,Somewhat concerned,0.35859,5665,13158,0.35039,0.36678
1995,Not concerned at all,0.08154,1240,13158,0.07687,0.08622
1996,Very concerned,0.31643,5225,12994,0.30843,0.32443
1996,Somewhat concerned,0.39493,6154,12994,0.38652,0.40334
1996,Not concerned at all,0.10594,1615,12994,0.10065,0.11123
1997,Very concerned,0.26804,4226,12757,0.26035,0.27572
1997,Somewhat concerned,0.38959,6112,12757,0.38113,0.39805
1997,Not concerned at all,0.16054,2419,12757,0.15417,0.16691
1998,Very concerned,0.31453,5359,14166,0.30688,0.32218
1998,Somewhat concerned,0.38278,6749,14166,0.37478,0.39079
1998,Not concerned at all,0.12370,2058,14166,0.11828,0.12913
1999,Very concerned,0.32954,5203,13634,0.32165,0.33743
1999,Somewhat concerned,0.38315,6497,13634,0.37499,0.39131
1999,Not concerned at all,0.11162,1934,13634,0.10633,0.11691
2000,Very concerned,0.26856,7777,23896,0.26294,0.27418
2000,Somewhat concerned,0.39630,11679,23896,0.39010,0.40250
2000,Not concerned at all,0.15464,4440,23896,0.15006,0.15923
2001,Very concerned,0.24394,6338,21743,0.23823,0.24965
2001,Somewhat concerned,0.40678,10920,21743,0.40025,0.41331
2001,Not concerned at all,0.16994,4485,21743,0.16495,0.17494
2002,Very concerned,0.36800,9973,22895,0.36175,0.37424
2002,Somewhat concerned,0.35857,10173,22895,0.35236,0.36479
2002,Not concerned at all,0.09888,2749,22895,0.09502,0.10275
2003,Very concerned,0.52593,13547,22058,0.51934,0.53252
2003,Somewhat concerned,0.25180,7136,22058,0.24607,0.25753
2003,Not concerned at all,0.05076,1375,22058,0.04787,0.05366
2004,Very concerned,0.34172,8555,21444,0.33537,0.34807
2004,Somewhat concerned,0.37500,9946,21444,0.36852,0.38148
2004,Not concerned at all,0.11219,2943,21444,0.10797,0.11642
2005,Very concerned,0.33482,8009,20587,0.32837,0.34127
2005,Somewhat concerned,0.38445,9684,20587,0.37780,0.39109
2005,Not concerned at all,0.11653,2894,20587,0.11214,0.12091
2006,Very concerned,0.35315,9322,21826,0.34681,0.35949
2006,Somewhat concerned,0.37781,10022,21826,0.37138,0.38424
2006,Not concerned at all,0.09489,2482,21826,0.09100,0.09878
2007,Very concerned,0.30569,7365,20371,0.29936,0.31201
2007,Somewhat concerned,0.40296,10102,20371,0.39622,0.40970
2007,Not concerned at all,0.11862,2904,20371,0.11418,0.12306
2008,Very concerned,0.27453,6125,19243,0.26823,0.28084
2008,Somewhat concerned,0.42470,9984,19243,0.41772,0.43168
2008,Not concerned at all,0.13612,3134,19243,0.13128,0.14097
2009,Very concerned,0.26475,5457,17952,0.25829,0.27120
2009,Somewhat concerned,0.43824,9581,17952,0.43098,0.44550
2009,Not concerned at all,0.13645,2914,17952,0.13143,0.14148
2010,Very concerned,0.26928,7439,23867,0.26366,0.27491
2010,Somewhat concerned,0.43111,12536,23867,0.42483,0.43739
2010,Not concerned at all,0.14053,3892,23867,0.13612,0.14493
2011,Very concerned,0.25726,6850,20476,0.25127,0.26325
2011,Somewhat concerned,0.37983,10414,20476,0.37318,0.38648
2011,Not concerned at all,0.11802,3212,20476,0.11360,0.12244
2012,Very concerned,0.24346,6598,20380,0.23756,0.24935
2012,Somewhat concerned,0.38855,10299,20380,0.38186,0.39524
2012,Not concerned at all,0.13311,3483,20380,0.12844,0.13777
2013,Very concerned,0.21128,5670,18763,0.20544,0.21712
2013,Somewhat concerned,0.36712,9790,18763,0.36023,0.37402
2013,Not concerned at all,0.12805,3303,18763,0.12327,0.13283
2014,Very concerned,0.31414,10531,26943,0.30859,0.31968
2014,Somewhat concerned,0.40428,12756,26943,0.39842,0.41014
2014,Not concerned at all,0.11954,3656,26943,0.11567,0.12341
2015,Very concerned,0.39063,11833,24878,0.38456,0.39669
2015,Somewhat concerned,0.35917,10846,24878,0.35321,0.36514
2015,Not concerned at all,0.06927,2199,24878,0.06611,0.07242
2016,Very concerned,0.46092,13393,24068,0.45463,0.46722
2016,Somewhat concerned,0.31516,9121,24068,0.30929,0.32103
2016,Not concerned at all,0.05399,1554,24068,0.05114,0.05685
2017,Very concerned,0.47478,15086,26414,0.46876,0.48081
2017,Somewhat concerned,0.30055,9591,26414,0.29502,0.30608
2017,Not concerned at all,0.05430,1737,26414,0.05156,0.05703
2018,Very concerned,0.38483,11717,25555,0.37887,0.39080
2018,Somewhat concerned,0.37492,11455,25555,0.36898,0.38085
2018,Not concerned at all,0.07443,2383,25555,0.07121,0.07764
2019,Very concerned,0.40869,12778,25608,0.40267,0.41471
2019,Somewhat concerned,0.35449,10892,25608,0.34863,0.36035
2019,Not concerned at all,0.06485,1938,25608,0.06183,0.06786
2020,Very concerned,0.32434,9715,25520,0.31859,0.33008
2020,Somewhat concerned,0.40696,12581,25520,0.40094,0.41299
2020,Not concerned at all,0.09320,3224,25520,0.08963,0.09677
2021,Very concerned,0.36178,7462,17148,0.35459,0.36897
2021,Somewhat concerned,0.37861,8032,17148,0.37135,0.38587
2021,Not concerned at all,0.07962,1654,17148,0.07557,0.08367
