year,age_gr,migback,plh0038,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Very concerned,0.54364,1278,2326,0.52339,0.56388
1984,17-29 y.,No migration background,Somewhat concerned,0.35818,839,2326,0.33869,0.37766
1984,17-29 y.,No migration background,Not concerned at all,0.08855,209,2326,0.07700,0.10010
1984,17-29 y.,Direct migration background,Very concerned,0.47499,456,984,0.44377,0.50620
1984,17-29 y.,Direct migration background,Somewhat concerned,0.37223,357,984,0.34201,0.40245
1984,17-29 y.,Direct migration background,Not concerned at all,0.14009,171,984,0.11839,0.16178
1984,17-29 y.,Indirect migration background,Very concerned,0.66872,49,49,0.53556,0.80187
1984,30-45 y.,No migration background,Very concerned,0.51622,1288,2479,0.49654,0.53589
1984,30-45 y.,No migration background,Somewhat concerned,0.38965,981,2479,0.37045,0.40885
1984,30-45 y.,No migration background,Not concerned at all,0.08635,210,2479,0.07529,0.09741
1984,30-45 y.,Direct migration background,Very concerned,0.49692,652,1358,0.47031,0.52352
1984,30-45 y.,Direct migration background,Somewhat concerned,0.32964,459,1358,0.30463,0.35465
1984,30-45 y.,Direct migration background,Not concerned at all,0.15343,247,1358,0.13425,0.17260
1984,46-65 y.,No migration background,Very concerned,0.54295,1411,2577,0.52371,0.56219
1984,46-65 y.,No migration background,Somewhat concerned,0.37185,968,2577,0.35318,0.39051
1984,46-65 y.,No migration background,Not concerned at all,0.07802,198,2577,0.06766,0.08838
1984,46-65 y.,Direct migration background,Very concerned,0.51666,448,932,0.48456,0.54877
1984,46-65 y.,Direct migration background,Somewhat concerned,0.31936,321,932,0.28941,0.34931
1984,46-65 y.,Direct migration background,Not concerned at all,0.15017,163,932,0.12722,0.17312
1984,66 and older,No migration background,Very concerned,0.52073,644,1219,0.49267,0.54878
1984,66 and older,No migration background,Somewhat concerned,0.35883,436,1219,0.33189,0.38576
1984,66 and older,No migration background,Not concerned at all,0.11330,139,1219,0.09550,0.13110
1985,17-29 y.,No migration background,Very concerned,0.47459,1054,2180,0.45363,0.49556
1985,17-29 y.,No migration background,Somewhat concerned,0.41073,895,2180,0.39007,0.43138
1985,17-29 y.,No migration background,Not concerned at all,0.10363,231,2180,0.09084,0.11643
1985,17-29 y.,Direct migration background,Very concerned,0.49901,377,813,0.46462,0.53340
1985,17-29 y.,Direct migration background,Somewhat concerned,0.36995,309,813,0.33674,0.40315
1985,17-29 y.,Direct migration background,Not concerned at all,0.11612,127,813,0.09409,0.13816
1985,17-29 y.,Indirect migration background,Very concerned,0.51334,51,87,0.40770,0.61898
1985,17-29 y.,Indirect migration background,Somewhat concerned,0.36132,36,87,0.25979,0.46285
1985,30-45 y.,No migration background,Very concerned,0.48083,1106,2266,0.46025,0.50141
1985,30-45 y.,No migration background,Somewhat concerned,0.42578,963,2266,0.40542,0.44614
1985,30-45 y.,No migration background,Not concerned at all,0.08803,197,2266,0.07636,0.09970
1985,30-45 y.,Direct migration background,Very concerned,0.48540,591,1169,0.45674,0.51406
1985,30-45 y.,Direct migration background,Somewhat concerned,0.35232,379,1169,0.32492,0.37972
1985,30-45 y.,Direct migration background,Not concerned at all,0.15096,199,1169,0.13043,0.17149
1985,46-65 y.,No migration background,Very concerned,0.49626,1196,2407,0.47628,0.51624
1985,46-65 y.,No migration background,Somewhat concerned,0.39748,985,2407,0.37793,0.41704
1985,46-65 y.,No migration background,Not concerned at all,0.09647,226,2407,0.08467,0.10826
1985,46-65 y.,Direct migration background,Very concerned,0.45717,376,838,0.42342,0.49092
1985,46-65 y.,Direct migration background,Somewhat concerned,0.39011,331,838,0.35707,0.42316
1985,46-65 y.,Direct migration background,Not concerned at all,0.11681,131,838,0.09505,0.13857
1985,66 and older,No migration background,Very concerned,0.48030,506,1044,0.44998,0.51062
1985,66 and older,No migration background,Somewhat concerned,0.37505,400,1044,0.34567,0.40443
1985,66 and older,No migration background,Not concerned at all,0.12446,138,1044,0.10443,0.14450
1986,17-29 y.,No migration background,Very concerned,0.46011,986,2116,0.43887,0.48135
1986,17-29 y.,No migration background,Somewhat concerned,0.41681,887,2116,0.39579,0.43782
1986,17-29 y.,No migration background,Not concerned at all,0.11347,243,2116,0.09995,0.12699
1986,17-29 y.,Direct migration background,Very concerned,0.44634,355,787,0.41159,0.48110
1986,17-29 y.,Direct migration background,Somewhat concerned,0.38984,315,787,0.35574,0.42393
1986,17-29 y.,Direct migration background,Not concerned at all,0.14257,117,787,0.11812,0.16701
