"m11104","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Fast nie oder nie","1985","(noch) kein Abschluss","Staedtischer Raum","708","0.550183885734918","0.518228454075424","0.582139317394412"
"Fast nie oder nie","1985","(noch) kein Abschluss","Laendlicher Raum","94","0.47924858443862","0.397653782240724","0.560843386636516"
"Fast nie oder nie","1985","Hauptschule","Staedtischer Raum","3286","0.698785496780073","0.685813367272231","0.711757626287916"
"Fast nie oder nie","1985","Hauptschule","Laendlicher Raum","1059","0.709998734060891","0.68739441926079","0.732603048860991"
"Fast nie oder nie","1985","Realschule","Staedtischer Raum","537","0.407950714880433","0.38213338920977","0.433768040551097"
"Fast nie oder nie","1985","Realschule","Laendlicher Raum","137","0.367969504890809","0.321002214022971","0.414936795758647"
"Fast nie oder nie","1985","(Fach-)Abitur","Staedtischer Raum","250","0.330042821502674","0.294357152567883","0.365728490437465"
"Fast nie oder nie","1985","(Fach-)Abitur","Laendlicher Raum","37","0.350684346765377","0.261102302487618","0.440266391043136"
"Fast nie oder nie","1985","AkademikerIn","Staedtischer Raum","209","0.345011772243326","0.307802769982523","0.382220774504128"
"Fast nie oder nie","1985","AkademikerIn","Laendlicher Raum","46","0.418463457102198","0.330201258296032","0.506725655908365"
"Mehrmals im Jahr","1985","(noch) kein Abschluss","Staedtischer Raum","71","0.0968434468921393","0.0778462340487403","0.115840659735538"
"Mehrmals im Jahr","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1985","Hauptschule","Staedtischer Raum","552","0.106757002248767","0.098025592077649","0.115488412419884"
"Mehrmals im Jahr","1985","Hauptschule","Laendlicher Raum","161","0.0880247736479365","0.0739105630967172","0.102138984199156"
"Mehrmals im Jahr","1985","Realschule","Staedtischer Raum","256","0.173347825365242","0.15346175011041","0.193233900620074"
"Mehrmals im Jahr","1985","Realschule","Laendlicher Raum","78","0.186609886649388","0.148666390158655","0.224553383140122"
"Mehrmals im Jahr","1985","(Fach-)Abitur","Staedtischer Raum","125","0.197613075320995","0.167393738172805","0.227832412469185"
"Mehrmals im Jahr","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1985","AkademikerIn","Staedtischer Raum","119","0.176392671035072","0.146558450879037","0.206226891191107"
"Mehrmals im Jahr","1985","AkademikerIn","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1985","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1985","Hauptschule","Staedtischer Raum","197","0.0370801240570732","0.0317373469077284","0.0424229012064181"
"Mindestens einmal im Monat","1985","Hauptschule","Laendlicher Raum","70","0.040496869715872","0.0306772077399422","0.0503165316918018"
"Mindestens einmal im Monat","1985","Realschule","Staedtischer Raum","88","0.0614722391606515","0.0488542092835499","0.0740902690377531"
"Mindestens einmal im Monat","1985","Realschule","Laendlicher Raum","35","0.0789644522929133","0.0526996225899879","0.105229281995839"
"Mindestens einmal im Monat","1985","(Fach-)Abitur","Staedtischer Raum","48","0.0650031154523582","0.0462938239377913","0.0837124069669252"
"Mindestens einmal im Monat","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1985","AkademikerIn","Staedtischer Raum","47","0.0728741388286056","0.052528544252004","0.0932197334052073"
"Mindestens einmal im Monat","1985","AkademikerIn","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1985","(noch) kein Abschluss","Staedtischer Raum","124","0.299900490193676","0.270467002590996","0.329333977796356"
"Mindestens einmal die Woche","1985","(noch) kein Abschluss","Laendlicher Raum","38","0.412641990902441","0.332232927671042","0.49305105413384"
"Mindestens einmal die Woche","1985","Hauptschule","Staedtischer Raum","770","0.157377376914087","0.147080889243997","0.167673864584177"
"Mindestens einmal die Woche","1985","Hauptschule","Laendlicher Raum","258","0.161479622575301","0.143148954803747","0.179810290346855"
"Mindestens einmal die Woche","1985","Realschule","Staedtischer Raum","511","0.357229220593673","0.33205650760912","0.382401933578226"
"Mindestens einmal die Woche","1985","Realschule","Laendlicher Raum","155","0.366456156166889","0.319529465532193","0.413382846801586"
"Mindestens einmal die Woche","1985","(Fach-)Abitur","Staedtischer Raum","244","0.407340987723973","0.370053194930443","0.444628780517503"
"Mindestens einmal die Woche","1985","(Fach-)Abitur","Laendlicher Raum","38","0.375425453402383","0.284520229736265","0.466330677068501"
"Mindestens einmal die Woche","1985","AkademikerIn","Staedtischer Raum","252","0.405721417892997","0.367286732797971","0.444156102988023"
"Mindestens einmal die Woche","1985","AkademikerIn","Laendlicher Raum","44","0.344952171336714","0.259902348127601","0.430001994545827"
"Fast nie oder nie","1986","(noch) kein Abschluss","Staedtischer Raum","635","0.538123211587801","0.505332900302662","0.570913522872941"
"Fast nie oder nie","1986","(noch) kein Abschluss","Laendlicher Raum","83","0.553447884244103","0.466644379601999","0.640251388886208"
"Fast nie oder nie","1986","Hauptschule","Staedtischer Raum","3064","0.690992836552341","0.677579576606807","0.704406096497875"
"Fast nie oder nie","1986","Hauptschule","Laendlicher Raum","955","0.684451944136592","0.660539794492309","0.708364093780875"
"Fast nie oder nie","1986","Realschule","Staedtischer Raum","564","0.447690549219517","0.421407427729898","0.473973670709136"
"Fast nie oder nie","1986","Realschule","Laendlicher Raum","149","0.413569546439575","0.364567438606336","0.462571654272815"
"Fast nie oder nie","1986","(Fach-)Abitur","Staedtischer Raum","249","0.30352851514131","0.268970797376872","0.338086232905749"
"Fast nie oder nie","1986","(Fach-)Abitur","Laendlicher Raum","42","0.336666227605127","0.252464454521393","0.420868000688861"
"Fast nie oder nie","1986","AkademikerIn","Staedtischer Raum","224","0.373024062782864","0.33492654967871","0.411121575887018"
"Fast nie oder nie","1986","AkademikerIn","Laendlicher Raum","45","0.411485037596445","0.325217209759864","0.497752865433025"
