"m11104","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","17-34","2153","","",""
"Fast nie oder nie","1984","35-65","4416","0.684422898880898","0.672846254409843","0.695999543351952"
"Fast nie oder nie","1984","66 +","1085","","",""
"Mehrmals im Jahr","1984","17-34","1221","","",""
"Mehrmals im Jahr","1984","35-65","922","0.156169662041547","0.147127056384119","0.165212267698975"
"Mehrmals im Jahr","1984","66 +","65","0.051360548716245","0.0389896776410864","0.0637314197914036"
"Mindestens einmal im Monat","1984","17-34","1184","","",""
"Mindestens einmal im Monat","1984","35-65","853","0.159407439077556","0.150289120690147","0.168525757464964"
"Mindestens einmal im Monat","1984","66 +","73","0.0584362874753401","0.0452900634974085","0.0715825114532717"
"Mindestens einmal die Woche","1984","17-34","","","",""
"Mindestens einmal die Woche","1984","35-65","","","",""
"Mindestens einmal die Woche","1984","66 +","","","",""
"Fast nie oder nie","1985","17-34","1659","","",""
"Fast nie oder nie","1985","35-65","3848","0.641646266090734","0.629169350759323","0.654123181422144"
"Fast nie oder nie","1985","66 +","950","0.883392920650368","0.864242567602973","0.902543273697763"
"Mehrmals im Jahr","1985","17-34","809","0.204159204990717","0.19187327840914","0.216445131572294"
"Mehrmals im Jahr","1985","35-65","594","0.110704745552865","0.102540622692265","0.118868868413464"
"Mehrmals im Jahr","1985","66 +","28","","",""
"Mindestens einmal im Monat","1985","17-34","301","0.0726352075149066","0.064724611123926","0.0805458039058872"
"Mindestens einmal im Monat","1985","35-65","221","","",""
"Mindestens einmal im Monat","1985","66 +","18","","",""
"Mindestens einmal die Woche","1985","17-34","1366","","",""
"Mindestens einmal die Woche","1985","35-65","1011","","",""
"Mindestens einmal die Woche","1985","66 +","83","0.0752711481034612","0.0595291867146052","0.0910131094923172"
"Fast nie oder nie","1986","17-34","1575","","",""
"Fast nie oder nie","1986","35-65","3622","0.635480887103899","0.622634395181144","0.648327379026655"
"Fast nie oder nie","1986","66 +","900","0.896451245391889","0.877670696085817","0.915231794697962"
"Mehrmals im Jahr","1986","17-34","722","0.195040325273608","0.18285827156484","0.207222378982377"
"Mehrmals im Jahr","1986","35-65","535","0.103953073240533","0.095806833384863","0.112099313096202"
"Mehrmals im Jahr","1986","66 +","17","","",""
"Mindestens einmal im Monat","1986","17-34","302","0.079574371125323","0.0712538179512689","0.087894924299377"
"Mindestens einmal im Monat","1986","35-65","244","","",""
"Mindestens einmal im Monat","1986","66 +","18","","",""
"Mindestens einmal die Woche","1986","17-34","1465","","",""
"Mindestens einmal die Woche","1986","35-65","991","0.213154807469754","0.202223669819843","0.224085945119665"
"Mindestens einmal die Woche","1986","66 +","76","0.0720025539204524","0.0560687358461905","0.0879363719947144"
"Fast nie oder nie","1987","17-34","","","",""
"Fast nie oder nie","1987","35-65","","","",""
"Fast nie oder nie","1987","66 +","","","",""
"Mehrmals im Jahr","1987","17-34","","","",""
"Mehrmals im Jahr","1987","35-65","","","",""
"Mehrmals im Jahr","1987","66 +","","","",""
"Mindestens einmal im Monat","1987","17-34","","","",""
"Mindestens einmal im Monat","1987","35-65","","","",""
"Mindestens einmal im Monat","1987","66 +","","","",""
"Mindestens einmal die Woche","1987","17-34","","","",""
"Mindestens einmal die Woche","1987","35-65","","","",""
"Mindestens einmal die Woche","1987","66 +","","","",""
"Fast nie oder nie","1988","17-34","1468","","",""
"Fast nie oder nie","1988","35-65","3259","0.599571608403775","0.586018592703983","0.613124624103566"
"Fast nie oder nie","1988","66 +","872","0.856569797190257","0.835038217834323","0.878101376546192"
"Mehrmals im Jahr","1988","17-34","731","0.204626622252322","0.191843345210788","0.217409899293856"
"Mehrmals im Jahr","1988","35-65","568","0.127450136284207","0.11822615825261","0.136674114315803"
"Mehrmals im Jahr","1988","66 +","32","0.0317388147319238","0.0209700518217233","0.0425075776421243"
"Mindestens einmal im Monat","1988","17-34","279","","",""
"Mindestens einmal im Monat","1988","35-65","223","","",""
"Mindestens einmal im Monat","1988","66 +","18","","",""
"Mindestens einmal die Woche","1988","17-34","1348","","",""
"Mindestens einmal die Woche","1988","35-65","971","0.221952850532432","0.210458450651692","0.233447250413172"
"Mindestens einmal die Woche","1988","66 +","96","0.0939095359736854","0.075990492248306","0.111828579699065"
"Fast nie oder nie","1989","17-34","","","",""
"Fast nie oder nie","1989","35-65","","","",""
"Fast nie oder nie","1989","66 +","","","",""
"Mehrmals im Jahr","1989","17-34","","","",""
"Mehrmals im Jahr","1989","35-65","","","",""
"Mehrmals im Jahr","1989","66 +","","","",""
"Mindestens einmal im Monat","1989","17-34","","","",""
"Mindestens einmal im Monat","1989","35-65","","","",""
"Mindestens einmal im Monat","1989","66 +","","","",""
"Mindestens einmal die Woche","1989","17-34","","","",""
"Mindestens einmal die Woche","1989","35-65","","","",""
"Mindestens einmal die Woche","1989","66 +","","","",""
"Fast nie oder nie","1990","17-34","1951","","",""
"Fast nie oder nie","1990","35-65","4031","0.497321210205997","0.485580646293127","0.509061774118866"
"Fast nie oder nie","1990","66 +","1173","","",""
"Mehrmals im Jahr","1990","17-34","1173","","",""
"Mehrmals im Jahr","1990","35-65","1160","","",""
"Mehrmals im Jahr","1990","66 +","84","0.062054977309017","0.0495551136425737","0.0745548409754604"
"Mindestens einmal im Monat","1990","17-34","453","0.0965554429222777","0.0885956743564796","0.104515211488076"
"Mindestens einmal im Monat","1990","35-65","461","0.0787586174047675","0.0724336113329971","0.0850836234765379"
"Mindestens einmal im Monat","1990","66 +","35","0.0302401849898927","0.0213675505652994","0.039112819414486"
"Mindestens einmal die Woche","1990","17-34","1712","","",""
"Mindestens einmal die Woche","1990","35-65","1315","","",""
"Mindestens einmal die Woche","1990","66 +","139","","",""
"Fast nie oder nie","1991","17-34","","","",""
"Fast nie oder nie","1991","35-65","","","",""
"Fast nie oder nie","1991","66 +","","","",""
"Mehrmals im Jahr","1991","17-34","","","",""
"Mehrmals im Jahr","1991","35-65","","","",""
"Mehrmals im Jahr","1991","66 +","","","",""
"Mindestens einmal im Monat","1991","17-34","","","",""
"Mindestens einmal im Monat","1991","35-65","","","",""
"Mindestens einmal im Monat","1991","66 +","","","",""
"Mindestens einmal die Woche","1991","17-34","","","",""
"Mindestens einmal die Woche","1991","35-65","","","",""
"Mindestens einmal die Woche","1991","66 +","","","",""
"Fast nie oder nie","1992","17-34","1853","","",""
"Fast nie oder nie","1992","35-65","4278","0.581998695986465","0.570233973199725","0.593763418773205"
"Fast nie oder nie","1992","66 +","1209","","",""
"Mehrmals im Jahr","1992","17-34","1086","","",""
"Mehrmals im Jahr","1992","35-65","1056","","",""
"Mehrmals im Jahr","1992","66 +","40","0.0265505794309492","0.0181353147263168","0.0349658441355816"
"Mindestens einmal im Monat","1992","17-34","423","0.0903519145678066","0.0823379477723201","0.098365881363293"
"Mindestens einmal im Monat","1992","35-65","316","0.057962449518037","0.0523888039676071","0.063536095068467"
"Mindestens einmal im Monat","1992","66 +","23","","",""
"Mindestens einmal die Woche","1992","17-34","1554","","",""
"Mindestens einmal die Woche","1992","35-65","1102","","",""
"Mindestens einmal die Woche","1992","66 +","130","","",""
"Fast nie oder nie","1993","17-34","","","",""
"Fast nie oder nie","1993","35-65","","","",""
"Fast nie oder nie","1993","66 +","","","",""
"Mehrmals im Jahr","1993","17-34","","","",""
"Mehrmals im Jahr","1993","35-65","","","",""
"Mehrmals im Jahr","1993","66 +","","","",""
"Mindestens einmal im Monat","1993","17-34","","","",""
"Mindestens einmal im Monat","1993","35-65","","","",""
"Mindestens einmal im Monat","1993","66 +","","","",""
"Mindestens einmal die Woche","1993","17-34","","","",""
"Mindestens einmal die Woche","1993","35-65","","","",""
"Mindestens einmal die Woche","1993","66 +","","","",""
"Fast nie oder nie","1994","17-34","1681","","",""
"Fast nie oder nie","1994","35-65","4047","0.56399970138282","0.551920323326967","0.576079079438672"
"Fast nie oder nie","1994","66 +","1235","","",""
"Mehrmals im Jahr","1994","17-34","1153","","",""
"Mehrmals im Jahr","1994","35-65","1066","","",""
"Mehrmals im Jahr","1994","66 +","55","0.0429431782782154","0.0324613833051433","0.0534249732512874"
"Mindestens einmal im Monat","1994","17-34","435","0.0878405674966901","0.0797916306661303","0.0958895043272499"
"Mindestens einmal im Monat","1994","35-65","319","0.0589980704509333","0.0532585460769242","0.0647375948249425"
"Mindestens einmal im Monat","1994","66 +","20","","",""
"Mindestens einmal die Woche","1994","17-34","1482","","",""
"Mindestens einmal die Woche","1994","35-65","1042","","",""
"Mindestens einmal die Woche","1994","66 +","127","","",""
"Fast nie oder nie","1995","17-34","1290","","",""
"Fast nie oder nie","1995","35-65","3367","0.437267473858406","0.425466936881096","0.449068010835715"
"Fast nie oder nie","1995","66 +","1174","","",""
"Mehrmals im Jahr","1995","17-34","1260","","",""
"Mehrmals im Jahr","1995","35-65","1556","","",""
"Mehrmals im Jahr","1995","66 +","112","","",""
"Mindestens einmal im Monat","1995","17-34","499","0.100891222628834","0.0924573471917187","0.109325098065949"
"Mindestens einmal im Monat","1995","35-65","414","0.0718358097830465","0.0656930989075063","0.0779785206585867"
"Mindestens einmal im Monat","1995","66 +","42","0.0269330390916809","0.0187295928120293","0.0351364853713325"
"Mindestens einmal die Woche","1995","17-34","1850","","",""
"Mindestens einmal die Woche","1995","35-65","1451","","",""
"Mindestens einmal die Woche","1995","66 +","168","","",""
"Fast nie oder nie","1996","17-34","1486","","",""
"Fast nie oder nie","1996","35-65","3739","0.502222541944157","0.490235057014676","0.514210026873638"
"Fast nie oder nie","1996","66 +","1232","","",""
"Mehrmals im Jahr","1996","17-34","1271","","",""
"Mehrmals im Jahr","1996","35-65","1327","","",""
"Mehrmals im Jahr","1996","66 +","95","0.0685737443530698","0.0558811234387284","0.0812663652674112"
"Mindestens einmal im Monat","1996","17-34","484","0.0958903817243659","0.0875064326569624","0.104274330791769"
"Mindestens einmal im Monat","1996","35-65","385","0.0660411306632154","0.0600867926363592","0.0719954686900716"
"Mindestens einmal im Monat","1996","66 +","48","0.0376010146606559","0.0280472288642269","0.0471548004570849"
"Mindestens einmal die Woche","1996","17-34","1497","","",""
"Mindestens einmal die Woche","1996","35-65","1232","","",""
"Mindestens einmal die Woche","1996","66 +","148","","",""
"Fast nie oder nie","1997","17-34","1469","","",""
"Fast nie oder nie","1997","35-65","3783","0.520080180471947","0.50800335651063","0.532157004433264"
"Fast nie oder nie","1997","66 +","1249","","",""
"Mehrmals im Jahr","1997","17-34","1187","","",""
"Mehrmals im Jahr","1997","35-65","1198","","",""
"Mehrmals im Jahr","1997","66 +","88","0.058479739805175","0.0467182618456401","0.0702412177647098"
"Mindestens einmal im Monat","1997","17-34","403","0.0844237154178738","0.0763771496759268","0.0924702811598207"
"Mindestens einmal im Monat","1997","35-65","330","0.056407599587524","0.0508306814734471","0.061984517701601"
"Mindestens einmal im Monat","1997","66 +","24","","",""
"Mindestens einmal die Woche","1997","17-34","1527","","",""
"Mindestens einmal die Woche","1997","35-65","1263","","",""
"Mindestens einmal die Woche","1997","66 +","168","","",""
"Fast nie oder nie","1998","17-34","1184","","",""
"Fast nie oder nie","1998","35-65","3320","0.402945776004456","0.391812439579111","0.414079112429801"
"Fast nie oder nie","1998","66 +","1380","","",""
"Mehrmals im Jahr","1998","17-34","1276","","",""
"Mehrmals im Jahr","1998","35-65","1750","","",""
"Mehrmals im Jahr","1998","66 +","165","","",""
"Mindestens einmal im Monat","1998","17-34","524","0.110549849374617","0.101707463640025","0.119392235109209"
"Mindestens einmal im Monat","1998","35-65","531","0.0782095880892986","0.0721150438500625","0.0843041323285347"
"Mindestens einmal im Monat","1998","66 +","47","0.0239590451047874","0.0169411891934919","0.0309769010160828"
"Mindestens einmal die Woche","1998","17-34","1847","","",""
"Mindestens einmal die Woche","1998","35-65","1855","","",""
"Mindestens einmal die Woche","1998","66 +","232","","",""
"Fast nie oder nie","1999","17-34","1340","","",""
"Fast nie oder nie","1999","35-65","3780","0.482138731899592","0.470608109562602","0.493669354236583"
"Fast nie oder nie","1999","66 +","1452","","",""
"Mehrmals im Jahr","1999","17-34","1246","","",""
"Mehrmals im Jahr","1999","35-65","1437","","",""
"Mehrmals im Jahr","1999","66 +","92","0.0591335865443732","0.048085524335129","0.0701816487536173"
"Mindestens einmal im Monat","1999","17-34","466","0.100824039322049","0.092095393524405","0.109552685119694"
"Mindestens einmal im Monat","1999","35-65","417","0.0613293108570969","0.0557926146767407","0.066866007037453"
"Mindestens einmal im Monat","1999","66 +","36","0.0222252998694871","0.015320545548641","0.0291300541903332"
"Mindestens einmal die Woche","1999","17-34","1519","","",""
"Mindestens einmal die Woche","1999","35-65","1580","","",""
"Mindestens einmal die Woche","1999","66 +","171","","",""
"Fast nie oder nie","2000","17-34","","","",""
"Fast nie oder nie","2000","35-65","","","",""
"Fast nie oder nie","2000","66 +","","","",""
"Mehrmals im Jahr","2000","17-34","","","",""
"Mehrmals im Jahr","2000","35-65","","","",""
"Mehrmals im Jahr","2000","66 +","","","",""
"Mindestens einmal im Monat","2000","17-34","","","",""
"Mindestens einmal im Monat","2000","35-65","","","",""
"Mindestens einmal im Monat","2000","66 +","","","",""
"Mindestens einmal die Woche","2000","17-34","","","",""
"Mindestens einmal die Woche","2000","35-65","","","",""
"Mindestens einmal die Woche","2000","66 +","","","",""
"Fast nie oder nie","2001","17-34","1957","","",""
"Fast nie oder nie","2001","35-65","6206","0.493832311310448","0.484945701287445","0.502718921333452"
"Fast nie oder nie","2001","66 +","2669","","",""
"Mehrmals im Jahr","2001","17-34","1414","","",""
"Mehrmals im Jahr","2001","35-65","2081","","",""
"Mehrmals im Jahr","2001","66 +","180","","",""
"Mindestens einmal im Monat","2001","17-34","571","0.092746592925435","0.0855325185974645","0.0999606672534054"
"Mindestens einmal im Monat","2001","35-65","710","0.0615346802701032","0.0572632998739694","0.065806060666237"
"Mindestens einmal im Monat","2001","66 +","81","0.0230690844735045","0.0179869846374517","0.0281511843095573"
"Mindestens einmal die Woche","2001","17-34","2269","","",""
"Mindestens einmal die Woche","2001","35-65","3162","0.273951615105528","0.266024432248439","0.281878797962616"
"Mindestens einmal die Woche","2001","66 +","422","0.125095615425745","0.113896146565357","0.136295084286133"
"Fast nie oder nie","2002","17-34","","","",""
"Fast nie oder nie","2002","35-65","","","",""
"Fast nie oder nie","2002","66 +","","","",""
"Mehrmals im Jahr","2002","17-34","","","",""
"Mehrmals im Jahr","2002","35-65","","","",""
"Mehrmals im Jahr","2002","66 +","","","",""
"Mindestens einmal im Monat","2002","17-34","","","",""
"Mindestens einmal im Monat","2002","35-65","","","",""
"Mindestens einmal im Monat","2002","66 +","","","",""
"Mindestens einmal die Woche","2002","17-34","","","",""
"Mindestens einmal die Woche","2002","35-65","","","",""
"Mindestens einmal die Woche","2002","66 +","","","",""
"Fast nie oder nie","2003","17-34","1312","","",""
"Fast nie oder nie","2003","35-65","4405","0.366359293409591","0.357943203486452","0.374775383332729"
"Fast nie oder nie","2003","66 +","2492","","",""
"Mehrmals im Jahr","2003","17-34","1331","","",""
"Mehrmals im Jahr","2003","35-65","2629","","",""
"Mehrmals im Jahr","2003","66 +","307","0.0840135490257602","0.074989239787287","0.0930378582642335"
"Mindestens einmal im Monat","2003","17-34","618","0.104457260982605","0.0965920590328023","0.112322462932408"
"Mindestens einmal im Monat","2003","35-65","989","0.078796831220282","0.0740906644392198","0.0835029980013442"
"Mindestens einmal im Monat","2003","66 +","118","","",""
"Mindestens einmal die Woche","2003","17-34","2548","","",""
"Mindestens einmal die Woche","2003","35-65","4567","0.342081839728635","0.333795052793384","0.350368626663886"
"Mindestens einmal die Woche","2003","66 +","713","0.188656786659876","0.175929574057796","0.201383999261955"
"Fast nie oder nie","2004","17-34","","","",""
"Fast nie oder nie","2004","35-65","","","",""
"Fast nie oder nie","2004","66 +","","","",""
"Mehrmals im Jahr","2004","17-34","","","",""
"Mehrmals im Jahr","2004","35-65","","","",""
"Mehrmals im Jahr","2004","66 +","","","",""
"Mindestens einmal im Monat","2004","17-34","","","",""
"Mindestens einmal im Monat","2004","35-65","","","",""
"Mindestens einmal im Monat","2004","66 +","","","",""
"Mindestens einmal die Woche","2004","17-34","","","",""
"Mindestens einmal die Woche","2004","35-65","","","",""
"Mindestens einmal die Woche","2004","66 +","","","",""
"Fast nie oder nie","2005","17-34","1253","","",""
"Fast nie oder nie","2005","35-65","4497","0.40970649369911","0.40073977505739","0.418673212340831"
"Fast nie oder nie","2005","66 +","2574","","",""
"Mehrmals im Jahr","2005","17-34","1264","","",""
"Mehrmals im Jahr","2005","35-65","2335","","",""
"Mehrmals im Jahr","2005","66 +","267","","",""
"Mindestens einmal im Monat","2005","17-34","602","0.120250550187963","0.111474103166419","0.129026997209506"
"Mindestens einmal im Monat","2005","35-65","872","0.0778926570054827","0.0730061096089934","0.0827792044019719"
"Mindestens einmal im Monat","2005","66 +","144","","",""
