"m11104","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","17-34","maennlich","860","0.378792067071883","0.358748465275676","0.39883566886809"
"Fast nie oder nie","1984","17-34","weiblich","1293","","",""
"Fast nie oder nie","1984","35-65","maennlich","2110","","",""
"Fast nie oder nie","1984","35-65","weiblich","2306","","",""
"Fast nie oder nie","1984","66 +","maennlich","415","0.860248776047471","0.829422589790477","0.891074962304465"
"Fast nie oder nie","1984","66 +","weiblich","670","0.906946992571487","0.885973512074124","0.92792047306885"
"Mehrmals im Jahr","1984","17-34","maennlich","616","0.269723853337175","0.251385511356563","0.288062195317787"
"Mehrmals im Jahr","1984","17-34","weiblich","605","0.27952838051717","0.261219930365038","0.297836830669301"
"Mehrmals im Jahr","1984","35-65","maennlich","560","0.183601223318573","0.170066017677243","0.197136428959903"
"Mehrmals im Jahr","1984","35-65","weiblich","362","0.129972050558773","0.11803403344","0.141910067677546"
"Mehrmals im Jahr","1984","66 +","maennlich","39","0.0758880337889865","0.0523441067263985","0.0994319608515745"
"Mehrmals im Jahr","1984","66 +","weiblich","26","","",""
"Mindestens einmal im Monat","1984","17-34","maennlich","774","0.351484079590942","0.331756673610482","0.371211485571402"
"Mindestens einmal im Monat","1984","17-34","weiblich","410","0.2260779444854","0.209012881384905","0.243143007585894"
"Mindestens einmal im Monat","1984","35-65","maennlich","473","0.170188554596336","0.157050508364959","0.183326600827712"
"Mindestens einmal im Monat","1984","35-65","weiblich","380","0.149111288856298","0.13646589814087","0.161756679571726"
"Mindestens einmal im Monat","1984","66 +","maennlich","32","0.063863190163542","0.0421249229880844","0.0856014573389996"
"Mindestens einmal im Monat","1984","66 +","weiblich","41","0.0554027709818537","0.0388868261317715","0.0719187158319359"
"Mindestens einmal die Woche","1984","17-34","maennlich","","","",""
"Mindestens einmal die Woche","1984","17-34","weiblich","","","",""
"Mindestens einmal die Woche","1984","35-65","maennlich","","","",""
"Mindestens einmal die Woche","1984","35-65","weiblich","","","",""
"Mindestens einmal die Woche","1984","66 +","maennlich","","","",""
"Mindestens einmal die Woche","1984","66 +","weiblich","","","",""
"Fast nie oder nie","1985","17-34","maennlich","665","0.30118200670737","0.281447286790526","0.320916726624213"
"Fast nie oder nie","1985","17-34","weiblich","994","0.401280578955424","0.380108882374153","0.422452275536695"
"Fast nie oder nie","1985","35-65","maennlich","1817","","",""
"Fast nie oder nie","1985","35-65","weiblich","2031","","",""
"Fast nie oder nie","1985","66 +","maennlich","362","0.852469741849805","0.818832979172654","0.886106504526955"
"Fast nie oder nie","1985","66 +","weiblich","588","0.900437829740845","0.877455273220731","0.923420386260958"
"Mehrmals im Jahr","1985","17-34","maennlich","401","0.197152552841796","0.180038528936648","0.214266576746945"
"Mehrmals im Jahr","1985","17-34","weiblich","408","0.211386652672927","0.193751031543353","0.2290222738025"
"Mehrmals im Jahr","1985","35-65","maennlich","337","0.122995423995899","0.110924828350348","0.135066019641451"
"Mehrmals im Jahr","1985","35-65","weiblich","257","","",""
"Mehrmals im Jahr","1985","66 +","maennlich","14","","",""
"Mehrmals im Jahr","1985","66 +","weiblich","14","","",""
"Mindestens einmal im Monat","1985","17-34","maennlich","189","","",""
"Mindestens einmal im Monat","1985","17-34","weiblich","112","","",""
"Mindestens einmal im Monat","1985","35-65","maennlich","134","","",""
"Mindestens einmal im Monat","1985","35-65","weiblich","87","0.0357025294479206","0.0288664062617043","0.0425386526341369"
"Mindestens einmal im Monat","1985","66 +","maennlich","10","","",""
"Mindestens einmal im Monat","1985","66 +","weiblich","8","0.0122779305358253","0.00382505920980474","0.0207308018618458"
"Mindestens einmal die Woche","1985","17-34","maennlich","821","0.415165811012487","0.39396943651188","0.436362185513094"
"Mindestens einmal die Woche","1985","17-34","weiblich","545","0.328998882224778","0.308704363777403","0.349293400672153"
"Mindestens einmal die Woche","1985","35-65","maennlich","556","0.220055494916704","0.204829655146867","0.23528133468654"
"Mindestens einmal die Woche","1985","35-65","weiblich","455","0.190196094318467","0.175736849736253","0.204655338900682"
"Mindestens einmal die Woche","1985","66 +","maennlich","41","0.0912746992789102","0.0639581605720828","0.118591237985737"
"Mindestens einmal die Woche","1985","66 +","weiblich","42","0.0664499632999976","0.047332050955293","0.0855678756447022"
"Fast nie oder nie","1986","17-34","maennlich","630","0.286800133059878","0.267293452861348","0.306306813258408"
"Fast nie oder nie","1986","17-34","weiblich","945","0.400144036036643","0.378667048818333","0.421621023254953"
"Fast nie oder nie","1986","35-65","maennlich","1699","","",""
"Fast nie oder nie","1986","35-65","weiblich","1923","","",""
"Fast nie oder nie","1986","66 +","maennlich","357","0.877684052810757","0.846045972210759","0.909322133410755"
"Fast nie oder nie","1986","66 +","weiblich","543","0.907051386427917","0.883798756290383","0.930304016565451"
