"m11104","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","Westdeutschland","7654","0.636704922074691","0.62808975711637","0.645320087033013"
"Fast nie oder nie","1984","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","Westdeutschland","2208","","",""
"Mehrmals im Jahr","1984","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","Westdeutschland","2110","","",""
"Mindestens einmal im Monat","1984","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","Ostdeutschland","","","",""
"Fast nie oder nie","1985","Westdeutschland","6457","0.585294278333931","0.576040242265046","0.594548314402817"
"Fast nie oder nie","1985","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","Westdeutschland","1431","","",""
"Mehrmals im Jahr","1985","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","Westdeutschland","540","0.0482790543149188","0.0442527348935424","0.0523053737362953"
"Mindestens einmal im Monat","1985","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","Westdeutschland","2460","","",""
"Mindestens einmal die Woche","1985","Ostdeutschland","","","",""
"Fast nie oder nie","1986","Westdeutschland","6097","0.58130191343945","0.571850683195088","0.590753143683812"
"Fast nie oder nie","1986","Ostdeutschland","","","",""
"Mehrmals im Jahr","1986","Westdeutschland","1274","","",""
"Mehrmals im Jahr","1986","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1986","Westdeutschland","564","0.0529808393072677","0.0486896687248003","0.057272009889735"
"Mindestens einmal im Monat","1986","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1986","Westdeutschland","2532","","",""
"Mindestens einmal die Woche","1986","Ostdeutschland","","","",""
"Fast nie oder nie","1987","Westdeutschland","","","",""
"Fast nie oder nie","1987","Ostdeutschland","","","",""
"Mehrmals im Jahr","1987","Westdeutschland","","","",""
"Mehrmals im Jahr","1987","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1987","Westdeutschland","","","",""
"Mindestens einmal im Monat","1987","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1987","Westdeutschland","","","",""
"Mindestens einmal die Woche","1987","Ostdeutschland","","","",""
"Fast nie oder nie","1988","Westdeutschland","5599","0.560330027567178","0.550535468320845","0.570124586813511"
"Fast nie oder nie","1988","Ostdeutschland","","","",""
"Mehrmals im Jahr","1988","Westdeutschland","1331","","",""
"Mehrmals im Jahr","1988","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1988","Westdeutschland","520","0.0534147601077802","0.0489775494089429","0.0578519708066176"
"Mindestens einmal im Monat","1988","Ostdeutschland","","","",""
