"m11104","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","(noch) kein Abschluss","Westdeutschland","964","0.591734242174395","0.56469141399354","0.618777070355249"
"Fast nie oder nie","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Fast nie oder nie","1984","Hauptschule","Westdeutschland","5051","0.72836661109397","0.718031212520944","0.738702009666997"
"Fast nie oder nie","1984","Hauptschule","Ostdeutschland","","","",""
"Fast nie oder nie","1984","Realschule","Westdeutschland","868","0.484247601519047","0.461572635826582","0.506922567211512"
"Fast nie oder nie","1984","Realschule","Ostdeutschland","","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Westdeutschland","386","0.436578412934942","0.403353865123066","0.469802960746819"
"Fast nie oder nie","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Fast nie oder nie","1984","AkademikerIn","Westdeutschland","329","0.4371719188669","0.402383348503718","0.471960489230081"
"Fast nie oder nie","1984","AkademikerIn","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Westdeutschland","160","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","Hauptschule","Westdeutschland","1107","","",""
"Mehrmals im Jahr","1984","Hauptschule","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","Realschule","Westdeutschland","464","0.236475076638659","0.217195541071077","0.25575461220624"
"Mehrmals im Jahr","1984","Realschule","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Westdeutschland","236","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Westdeutschland","219","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Westdeutschland","145","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Westdeutschland","957","0.130586122031584","0.122756831028257","0.138415413034911"
"Mindestens einmal im Monat","1984","Hauptschule","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","Realschule","Westdeutschland","534","0.279277321842294","0.258921239417179","0.29963340426741"
"Mindestens einmal im Monat","1984","Realschule","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Westdeutschland","234","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Westdeutschland","233","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","Realschule","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","Realschule","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Ostdeutschland","","","",""
"Fast nie oder nie","1985","(noch) kein Abschluss","Westdeutschland","802","0.53546292501931","0.505649027629665","0.565276822408955"
"Fast nie oder nie","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Fast nie oder nie","1985","Hauptschule","Westdeutschland","4345","0.70185897571751","0.690610479617803","0.713107471817217"
"Fast nie oder nie","1985","Hauptschule","Ostdeutschland","","","",""
"Fast nie oder nie","1985","Realschule","Westdeutschland","674","0.398638442122797","0.376000785290599","0.421276098954995"
"Fast nie oder nie","1985","Realschule","Ostdeutschland","","","",""
"Fast nie oder nie","1985","(Fach-)Abitur","Westdeutschland","287","","",""
"Fast nie oder nie","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Fast nie oder nie","1985","AkademikerIn","Westdeutschland","255","","",""
"Fast nie oder nie","1985","AkademikerIn","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","(noch) kein Abschluss","Westdeutschland","80","0.0953837682722417","0.0778242221993297","0.112943314345154"
"Mehrmals im Jahr","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","Hauptschule","Westdeutschland","713","0.101622614327234","0.0941927095026325","0.109052519151836"
"Mehrmals im Jahr","1985","Hauptschule","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","Realschule","Westdeutschland","334","0.176436774700155","0.158812263525477","0.194061285874832"
"Mehrmals im Jahr","1985","Realschule","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","(Fach-)Abitur","Westdeutschland","149","","",""
"Mehrmals im Jahr","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","AkademikerIn","Westdeutschland","140","","",""
"Mehrmals im Jahr","1985","AkademikerIn","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","(noch) kein Abschluss","Westdeutschland","31","0.0458559580730218","0.0333519652403093","0.0583599509057343"
"Mindestens einmal im Monat","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","Hauptschule","Westdeutschland","267","","",""
"Mindestens einmal im Monat","1985","Hauptschule","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","Realschule","Westdeutschland","123","","",""
"Mindestens einmal im Monat","1985","Realschule","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","(Fach-)Abitur","Westdeutschland","58","0.070019677234477","0.0520655556286665","0.0879737988402875"
"Mindestens einmal im Monat","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","AkademikerIn","Westdeutschland","56","0.0700331930672806","0.0517322496667623","0.0883341364677989"
"Mindestens einmal im Monat","1985","AkademikerIn","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","(noch) kein Abschluss","Westdeutschland","162","","",""
"Mindestens einmal die Woche","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","Hauptschule","Westdeutschland","1028","","",""
"Mindestens einmal die Woche","1985","Hauptschule","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","Realschule","Westdeutschland","666","0.359378323654767","0.337193764318351","0.381562882991182"
"Mindestens einmal die Woche","1985","Realschule","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","(Fach-)Abitur","Westdeutschland","282","","",""
"Mindestens einmal die Woche","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","AkademikerIn","Westdeutschland","296","","",""
"Mindestens einmal die Woche","1985","AkademikerIn","Ostdeutschland","","","",""
"Fast nie oder nie","1986","(noch) kein Abschluss","Westdeutschland","718","0.540870160610065","0.510198069596338","0.571542251623792"
"Fast nie oder nie","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
