"m11104","year","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","Schleswig-Holstein","220","","",""
"Fast nie oder nie","1984","Hamburg","191","","",""
"Fast nie oder nie","1984","Niedersachsen","747","0.627235222945219","0.599967600156227","0.654502845734211"
"Fast nie oder nie","1984","Bremen","98","0.737626861608793","0.662292954861407","0.812960768356179"
"Fast nie oder nie","1984","Nordrhein-Westfalen","2054","","",""
"Fast nie oder nie","1984","Hessen","792","0.638520175848486","0.611758265460497","0.665282086236476"
"Fast nie oder nie","1984","Rheinland-Pfalz,Saarland","559","0.671157551794232","0.639519293823308","0.702795809765155"
"Fast nie oder nie","1984","Baden-Wuerttemberg","1513","","",""
"Fast nie oder nie","1984","Bayern","1240","","",""
"Fast nie oder nie","1984","Saarland","","","",""
"Fast nie oder nie","1984","Berlin","240","","",""
"Fast nie oder nie","1984","Brandenburg","","","",""
"Fast nie oder nie","1984","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1984","Sachsen","","","",""
"Fast nie oder nie","1984","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1984","Thueringen","","","",""
"Mehrmals im Jahr","1984","Schleswig-Holstein","70","0.178037068865698","0.13982513124033","0.216249006491065"
"Mehrmals im Jahr","1984","Hamburg","56","0.180729936419833","0.137403260804418","0.224056612035248"
"Mehrmals im Jahr","1984","Niedersachsen","221","","",""
"Mehrmals im Jahr","1984","Bremen","15","","",""
"Mehrmals im Jahr","1984","Nordrhein-Westfalen","600","0.180801342193298","0.167477498928647","0.19412518545795"
"Mehrmals im Jahr","1984","Hessen","214","","",""
"Mehrmals im Jahr","1984","Rheinland-Pfalz,Saarland","128","","",""
"Mehrmals im Jahr","1984","Baden-Wuerttemberg","385","0.179970091381996","0.163971702818187","0.195968479945805"
"Mehrmals im Jahr","1984","Bayern","427","0.200074374992025","0.182709965568262","0.217438784415789"
"Mehrmals im Jahr","1984","Saarland","","","",""
"Mehrmals im Jahr","1984","Berlin","92","0.193350246408808","0.154696573046174","0.232003919771442"
"Mehrmals im Jahr","1984","Brandenburg","","","",""
"Mehrmals im Jahr","1984","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1984","Sachsen","","","",""
"Mehrmals im Jahr","1984","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1984","Thueringen","","","",""
"Mindestens einmal im Monat","1984","Schleswig-Holstein","95","0.238296436936588","0.195739585016246","0.280853288856929"
"Mindestens einmal im Monat","1984","Hamburg","56","0.198933900496488","0.153985385070158","0.243882415922818"
"Mindestens einmal im Monat","1984","Niedersachsen","240","","",""
"Mindestens einmal im Monat","1984","Bremen","18","","",""
"Mindestens einmal im Monat","1984","Nordrhein-Westfalen","551","0.180407121624547","0.167094609974321","0.193719633274774"
"Mindestens einmal im Monat","1984","Hessen","232","","",""
"Mindestens einmal im Monat","1984","Rheinland-Pfalz,Saarland","160","","",""
"Mindestens einmal im Monat","1984","Baden-Wuerttemberg","317","0.153500225546734","0.138488550386642","0.168511900706827"
"Mindestens einmal im Monat","1984","Bayern","372","0.190325540776735","0.173286574856003","0.207364506697468"
"Mindestens einmal im Monat","1984","Saarland","","","",""
"Mindestens einmal im Monat","1984","Berlin","69","0.183996538559213","0.146071438814951","0.221921638303475"
"Mindestens einmal im Monat","1984","Brandenburg","","","",""
"Mindestens einmal im Monat","1984","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1984","Sachsen","","","",""
"Mindestens einmal im Monat","1984","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1984","Thueringen","","","",""
"Mindestens einmal die Woche","1984","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1984","Hamburg","","","",""
"Mindestens einmal die Woche","1984","Niedersachsen","","","",""
"Mindestens einmal die Woche","1984","Bremen","","","",""
"Mindestens einmal die Woche","1984","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1984","Hessen","","","",""
"Mindestens einmal die Woche","1984","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1984","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1984","Bayern","","","",""
"Mindestens einmal die Woche","1984","Saarland","","","",""
"Mindestens einmal die Woche","1984","Berlin","","","",""
"Mindestens einmal die Woche","1984","Brandenburg","","","",""
"Mindestens einmal die Woche","1984","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1984","Sachsen","","","",""
"Mindestens einmal die Woche","1984","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1984","Thueringen","","","",""
"Fast nie oder nie","1985","Schleswig-Holstein","192","","",""
"Fast nie oder nie","1985","Hamburg","148","","",""
"Fast nie oder nie","1985","Niedersachsen","633","0.595887989705816","0.566769495628166","0.625006483783465"
"Fast nie oder nie","1985","Bremen","74","0.687406331433076","0.602684365759017","0.772128297107135"
"Fast nie oder nie","1985","Nordrhein-Westfalen","1736","","",""
"Fast nie oder nie","1985","Hessen","694","0.603466788442385","0.57472809766438","0.632205479220389"
"Fast nie oder nie","1985","Rheinland-Pfalz,Saarland","465","0.616830332462167","0.582243911341722","0.651416753582613"
"Fast nie oder nie","1985","Baden-Wuerttemberg","1264","","",""
"Fast nie oder nie","1985","Bayern","1040","","",""
"Fast nie oder nie","1985","Saarland","","","",""
"Fast nie oder nie","1985","Berlin","211","","",""
"Fast nie oder nie","1985","Brandenburg","","","",""
"Fast nie oder nie","1985","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1985","Sachsen","","","",""
"Fast nie oder nie","1985","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1985","Thueringen","","","",""
"Mehrmals im Jahr","1985","Schleswig-Holstein","48","0.13476908351429","0.098840135140364","0.170698031888217"
"Mehrmals im Jahr","1985","Hamburg","25","","",""
"Mehrmals im Jahr","1985","Niedersachsen","142","","",""
"Mehrmals im Jahr","1985","Bremen","18","","",""
"Mehrmals im Jahr","1985","Nordrhein-Westfalen","396","0.131018487434892","0.118798803741069","0.143238171128715"
"Mehrmals im Jahr","1985","Hessen","133","","",""
"Mehrmals im Jahr","1985","Rheinland-Pfalz,Saarland","102","","",""
"Mehrmals im Jahr","1985","Baden-Wuerttemberg","249","","",""
"Mehrmals im Jahr","1985","Bayern","267","","",""
"Mehrmals im Jahr","1985","Saarland","","","",""
"Mehrmals im Jahr","1985","Berlin","51","0.127447649340609","0.093095377246159","0.16179992143506"
"Mehrmals im Jahr","1985","Brandenburg","","","",""
"Mehrmals im Jahr","1985","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1985","Sachsen","","","",""
"Mehrmals im Jahr","1985","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1985","Thueringen","","","",""
"Mindestens einmal im Monat","1985","Schleswig-Holstein","17","","",""
"Mindestens einmal im Monat","1985","Hamburg","20","","",""
"Mindestens einmal im Monat","1985","Niedersachsen","46","0.0370294966161401","0.0258243869319267","0.0482346063003534"
"Mindestens einmal im Monat","1985","Bremen","9","0.0541594383089577","0.0127932776935218","0.0955255989243935"
"Mindestens einmal im Monat","1985","Nordrhein-Westfalen","128","","",""
"Mindestens einmal im Monat","1985","Hessen","44","0.0355025186759016","0.0246312397142947","0.0463737976375085"
"Mindestens einmal im Monat","1985","Rheinland-Pfalz,Saarland","37","0.0485460896164784","0.033256416259959","0.0638357629729978"
"Mindestens einmal im Monat","1985","Baden-Wuerttemberg","107","","",""
"Mindestens einmal im Monat","1985","Bayern","110","","",""
"Mindestens einmal im Monat","1985","Saarland","","","",""
"Mindestens einmal im Monat","1985","Berlin","22","","",""
"Mindestens einmal im Monat","1985","Brandenburg","","","",""
"Mindestens einmal im Monat","1985","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1985","Sachsen","","","",""
"Mindestens einmal im Monat","1985","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1985","Thueringen","","","",""
"Mindestens einmal die Woche","1985","Schleswig-Holstein","90","0.259323439240531","0.213210952787402","0.305435925693659"
"Mindestens einmal die Woche","1985","Hamburg","82","0.309098616305789","0.254480300303007","0.363716932308571"
"Mindestens einmal die Woche","1985","Niedersachsen","270","","",""
"Mindestens einmal die Woche","1985","Bremen","14","","",""
"Mindestens einmal die Woche","1985","Nordrhein-Westfalen","669","0.240164877799569","0.224694431767863","0.255635323831276"
"Mindestens einmal die Woche","1985","Hessen","242","","",""
"Mindestens einmal die Woche","1985","Rheinland-Pfalz,Saarland","155","","",""
"Mindestens einmal die Woche","1985","Baden-Wuerttemberg","402","0.22171566569543","0.203609568398322","0.239821762992539"
"Mindestens einmal die Woche","1985","Bayern","458","0.251154129860892","0.231524421991933","0.270783837729851"
"Mindestens einmal die Woche","1985","Saarland","","","",""
"Mindestens einmal die Woche","1985","Berlin","78","0.230714730337641","0.187316184691433","0.274113275983849"
"Mindestens einmal die Woche","1985","Brandenburg","","","",""
"Mindestens einmal die Woche","1985","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1985","Sachsen","","","",""
"Mindestens einmal die Woche","1985","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1985","Thueringen","","","",""
"Fast nie oder nie","1986","Schleswig-Holstein","178","","",""
"Fast nie oder nie","1986","Hamburg","143","","",""
"Fast nie oder nie","1986","Niedersachsen","610","0.579419348730181","0.550220343063967","0.608618354396395"
"Fast nie oder nie","1986","Bremen","75","0.671075065702429","0.582467631100138","0.75968250030472"
"Fast nie oder nie","1986","Nordrhein-Westfalen","1624","","",""
"Fast nie oder nie","1986","Hessen","650","0.604184015635405","0.574405743587102","0.633962287683708"
"Fast nie oder nie","1986","Rheinland-Pfalz,Saarland","492","0.652999784723494","0.619223862710079","0.686775706736908"
"Fast nie oder nie","1986","Baden-Wuerttemberg","1184","","",""
