"m11104","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","(noch) kein Abschluss","Schleswig-Holstein","10","","",""
"Fast nie oder nie","1984","(noch) kein Abschluss","Hamburg","23","","",""
"Fast nie oder nie","1984","(noch) kein Abschluss","Niedersachsen","62","0.423055633034465","0.323709264171949","0.522402001896981"
"Fast nie oder nie","1984","(noch) kein Abschluss","Bremen","6","1","1","1"
"Fast nie oder nie","1984","(noch) kein Abschluss","Nordrhein-Westfalen","312","0.601367801566623","0.553386241062217","0.649349362071029"
"Fast nie oder nie","1984","(noch) kein Abschluss","Hessen","114","","",""
"Fast nie oder nie","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","53","0.608540131408427","0.497336116801924","0.71974414601493"
"Fast nie oder nie","1984","(noch) kein Abschluss","Baden-Wuerttemberg","264","","",""
"Fast nie oder nie","1984","(noch) kein Abschluss","Bayern","91","0.542796483923133","0.45649537029205","0.629097597554217"
"Fast nie oder nie","1984","(noch) kein Abschluss","Saarland","","","",""
"Fast nie oder nie","1984","(noch) kein Abschluss","Berlin","29","","",""
"Fast nie oder nie","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Fast nie oder nie","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1984","(noch) kein Abschluss","Sachsen","","","",""
"Fast nie oder nie","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1984","(noch) kein Abschluss","Thueringen","","","",""
"Fast nie oder nie","1984","Hauptschule","Schleswig-Holstein","147","","",""
"Fast nie oder nie","1984","Hauptschule","Hamburg","112","","",""
"Fast nie oder nie","1984","Hauptschule","Niedersachsen","505","0.717006302922703","0.684262376652352","0.749750229193053"
"Fast nie oder nie","1984","Hauptschule","Bremen","73","0.820203969545138","0.741303719811783","0.899104219278492"
"Fast nie oder nie","1984","Hauptschule","Nordrhein-Westfalen","1321","","",""
