"m11104","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1985","Staedtischer Raum","5071","0.577916191217742","0.567442492308676","0.588389890126807"
"Fast nie oder nie","1985","Laendlicher Raum","1386","","",""
"Mehrmals im Jahr","1985","Staedtischer Raum","1136","","",""
"Mehrmals im Jahr","1985","Laendlicher Raum","295","","",""
"Mindestens einmal im Monat","1985","Staedtischer Raum","411","0.0474952384906397","0.042984715284713","0.0520057616965664"
"Mindestens einmal im Monat","1985","Laendlicher Raum","129","","",""
"Mindestens einmal die Woche","1985","Staedtischer Raum","1924","","",""
"Mindestens einmal die Woche","1985","Laendlicher Raum","536","0.226793068766952","0.209847863067115","0.243738274466789"
"Fast nie oder nie","1986","Staedtischer Raum","4811","0.57688338819286","0.566213399066196","0.587553377319525"
"Fast nie oder nie","1986","Laendlicher Raum","1286","","",""
"Mehrmals im Jahr","1986","Staedtischer Raum","984","0.119456717724642","0.112452323763513","0.126461111685771"
"Mehrmals im Jahr","1986","Laendlicher Raum","290","","",""
"Mindestens einmal im Monat","1986","Staedtischer Raum","443","0.053744609037468","0.0488742434809077","0.0586149745940282"
"Mindestens einmal im Monat","1986","Laendlicher Raum","121","","",""
"Mindestens einmal die Woche","1986","Staedtischer Raum","1998","","",""
"Mindestens einmal die Woche","1986","Laendlicher Raum","534","0.235215215872797","0.217615703643579","0.252814728102014"
"Fast nie oder nie","1987","Staedtischer Raum","","","",""
"Fast nie oder nie","1987","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1987","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1987","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1987","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1987","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1987","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1987","Laendlicher Raum","","","",""
"Fast nie oder nie","1988","Staedtischer Raum","4480","0.561773516419641","0.550761003870236","0.572786028969047"
"Fast nie oder nie","1988","Laendlicher Raum","1119","","",""
"Mehrmals im Jahr","1988","Staedtischer Raum","1007","","",""
"Mehrmals im Jahr","1988","Laendlicher Raum","324","0.152694798531019","0.137188436812231","0.168201160249807"
"Mindestens einmal im Monat","1988","Staedtischer Raum","401","0.0526856855580647","0.047727190973346","0.0576441801427834"
"Mindestens einmal im Monat","1988","Laendlicher Raum","119","","",""
"Mindestens einmal die Woche","1988","Staedtischer Raum","1910","","",""
"Mindestens einmal die Woche","1988","Laendlicher Raum","505","0.235848865272372","0.217547462480413","0.254150268064332"
"Fast nie oder nie","1989","Staedtischer Raum","","","",""
"Fast nie oder nie","1989","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1989","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1989","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1989","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1989","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1989","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1989","Laendlicher Raum","","","",""
"Fast nie oder nie","1990","Staedtischer Raum","4315","0.452083144105634","0.441715756237529","0.462450531973739"
"Fast nie oder nie","1990","Laendlicher Raum","2789","","",""
"Mehrmals im Jahr","1990","Staedtischer Raum","1574","","",""
"Mehrmals im Jahr","1990","Laendlicher Raum","822","0.185097819589786","0.174050774484543","0.196144864695028"
"Mindestens einmal im Monat","1990","Staedtischer Raum","673","0.0808129445092824","0.0751355996642633","0.0864902893543014"
"Mindestens einmal im Monat","1990","Laendlicher Raum","272","","",""
"Mindestens einmal die Woche","1990","Staedtischer Raum","2291","","",""
"Mindestens einmal die Woche","1990","Laendlicher Raum","865","0.207504048830948","0.195969395421237","0.219038702240659"
"Fast nie oder nie","1991","Staedtischer Raum","","","",""
"Fast nie oder nie","1991","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1991","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1991","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1991","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1991","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1991","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1991","Laendlicher Raum","","","",""
"Fast nie oder nie","1992","Staedtischer Raum","4599","0.531784875920225","0.521162596795885","0.542407155044565"
"Fast nie oder nie","1992","Laendlicher Raum","2669","","",""
"Mehrmals im Jahr","1992","Staedtischer Raum","1357","","",""
"Mehrmals im Jahr","1992","Laendlicher Raum","805","0.165787008590937","0.154892271003031","0.176681746178843"
"Mindestens einmal im Monat","1992","Staedtischer Raum","538","0.0665411883672279","0.0612357673236947","0.0718466094107611"
"Mindestens einmal im Monat","1992","Laendlicher Raum","223","","",""
"Mindestens einmal die Woche","1992","Staedtischer Raum","1983","","",""
"Mindestens einmal die Woche","1992","Laendlicher Raum","779","0.193793253260163","0.182213598992551","0.205372907527774"
"Fast nie oder nie","1993","Staedtischer Raum","","","",""
"Fast nie oder nie","1993","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1993","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1993","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1993","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1993","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1993","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1993","Laendlicher Raum","","","",""
"Fast nie oder nie","1994","Staedtischer Raum","4413","0.521427816748089","0.510694569002511","0.532161064493667"
"Fast nie oder nie","1994","Laendlicher Raum","2550","","",""
"Mehrmals im Jahr","1994","Staedtischer Raum","1490","","",""
"Mehrmals im Jahr","1994","Laendlicher Raum","784","0.169758150462577","0.158590268220349","0.180926032704805"
"Mindestens einmal im Monat","1994","Staedtischer Raum","538","0.0614102140787455","0.0562517721293275","0.0665686560281635"
"Mindestens einmal im Monat","1994","Laendlicher Raum","236","","",""
"Mindestens einmal die Woche","1994","Staedtischer Raum","1880","","",""
"Mindestens einmal die Woche","1994","Laendlicher Raum","771","0.192145735409332","0.180425533756664","0.203865937062001"
"Fast nie oder nie","1995","Staedtischer Raum","3846","0.432074680009827","0.421633721121263","0.442515638898392"
"Fast nie oder nie","1995","Laendlicher Raum","1985","","",""
"Mehrmals im Jahr","1995","Staedtischer Raum","1763","","",""
"Mehrmals im Jahr","1995","Laendlicher Raum","1165","","",""
"Mindestens einmal im Monat","1995","Staedtischer Raum","629","0.0745620469495922","0.069025386044521","0.0800987078546634"
"Mindestens einmal im Monat","1995","Laendlicher Raum","326","0.06735611705789","0.0600622471568215","0.0746499869589585"
"Mindestens einmal die Woche","1995","Staedtischer Raum","2409","","",""
"Mindestens einmal die Woche","1995","Laendlicher Raum","1060","","",""
"Fast nie oder nie","1996","Staedtischer Raum","4133","0.478254903393669","0.467604191417346","0.488905615369992"
"Fast nie oder nie","1996","Laendlicher Raum","2324","","",""
"Mehrmals im Jahr","1996","Staedtischer Raum","1695","","",""
"Mehrmals im Jahr","1996","Laendlicher Raum","998","0.204599410644552","0.192804987618665","0.21639383367044"
"Mindestens einmal im Monat","1996","Staedtischer Raum","627","0.0717402308121308","0.0662380369813122","0.0772424246429494"
"Mindestens einmal im Monat","1996","Laendlicher Raum","290","","",""
"Mindestens einmal die Woche","1996","Staedtischer Raum","1995","","",""
"Mindestens einmal die Woche","1996","Laendlicher Raum","882","0.214146288679419","0.202152464245865","0.226140113112973"
"Fast nie oder nie","1997","Staedtischer Raum","4165","0.496671284947649","0.485889462894772","0.507453107000525"
"Fast nie oder nie","1997","Laendlicher Raum","2336","","",""
"Mehrmals im Jahr","1997","Staedtischer Raum","1508","","",""
"Mehrmals im Jahr","1997","Laendlicher Raum","964","0.194463870435095","0.182805031445192","0.206122709424998"
"Mindestens einmal im Monat","1997","Staedtischer Raum","496","0.0568616238671649","0.0518678471827207","0.0618554005516091"
"Mindestens einmal im Monat","1997","Laendlicher Raum","261","","",""
"Mindestens einmal die Woche","1997","Staedtischer Raum","2092","","",""
"Mindestens einmal die Woche","1997","Laendlicher Raum","866","0.216823690561624","0.2046848706857","0.228962510437548"
