"m11104","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Fast nie oder nie","1984","(noch) kein Abschluss","maennlich","369","0.500441410634376","0.459322295688984","0.541560525579767"
"Fast nie oder nie","1984","(noch) kein Abschluss","weiblich","595","0.674333889587003","0.639643205920142","0.709024573253863"
"Fast nie oder nie","1984","Hauptschule","maennlich","2245","0.673286620757575","0.657643144985773","0.688930096529376"
"Fast nie oder nie","1984","Hauptschule","weiblich","2806","0.774451431215769","0.76091494166979","0.787987920761747"
"Fast nie oder nie","1984","Realschule","maennlich","301","0.407298427128501","0.372773505700701","0.4418233485563"
"Fast nie oder nie","1984","Realschule","weiblich","567","0.536172131062621","0.506539911604633","0.565804350520609"
"Fast nie oder nie","1984","(Fach-)Abitur","maennlich","228","0.438662881082384","0.395638466977057","0.481687295187711"
"Fast nie oder nie","1984","(Fach-)Abitur","weiblich","158","0.433557989210721","0.381265433460229","0.485850544961212"
"Fast nie oder nie","1984","AkademikerIn","maennlich","216","0.424613056026133","0.382452356969261","0.466773755083004"
"Fast nie oder nie","1984","AkademikerIn","weiblich","113","0.462596495410878","0.401158187422834","0.524034803398923"
"Mehrmals im Jahr","1984","(noch) kein Abschluss","maennlich","101","0.197142135764969","0.164424419283464","0.229859852246474"
"Mehrmals im Jahr","1984","(noch) kein Abschluss","weiblich","59","0.143535334240873","0.117580203566076","0.169490464915669"
"Mehrmals im Jahr","1984","Hauptschule","maennlich","628","0.168413626411959","0.155931398795576","0.180895854028343"
"Mehrmals im Jahr","1984","Hauptschule","weiblich","479","0.118150135829719","0.107695633593798","0.128604638065639"
"Mehrmals im Jahr","1984","Realschule","maennlich","199","0.249169115045203","0.218775912676316","0.279562317414089"
"Mehrmals im Jahr","1984","Realschule","weiblich","265","0.227909267096343","0.202983484342196","0.25283504985049"
"Mehrmals im Jahr","1984","(Fach-)Abitur","maennlich","132","0.260988855629633","0.222910856786242","0.299066854473024"
"Mehrmals im Jahr","1984","(Fach-)Abitur","weiblich","104","0.284560977297116","0.236949404562597","0.332172550031635"
"Mehrmals im Jahr","1984","AkademikerIn","maennlich","143","0.264381396834119","0.226765369446984","0.301997424221253"
"Mehrmals im Jahr","1984","AkademikerIn","weiblich","76","0.269231988206827","0.214575600686149","0.323888375727505"
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","maennlich","98","0.302416453600655","0.2646440392142","0.34018886798711"
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","weiblich","47","0.182130776172125","0.153559957539217","0.210701594805033"
"Mindestens einmal im Monat","1984","Hauptschule","maennlich","580","0.158299752830466","0.146124761866081","0.170474743794851"
"Mindestens einmal im Monat","1984","Hauptschule","weiblich","377","0.107398432954512","0.0973703777558877","0.117426488153137"
"Mindestens einmal im Monat","1984","Realschule","maennlich","278","0.343532457826297","0.310163026171453","0.376901889481141"
"Mindestens einmal im Monat","1984","Realschule","weiblich","256","0.235918601841036","0.210690501505026","0.261146702177047"
