"m11104","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","17-34","(noch) kein Abschluss","282","","",""
"Fast nie oder nie","1984","17-34","Hauptschule","1215","","",""
"Fast nie oder nie","1984","17-34","Realschule","365","0.357019765536171","0.327368545607345","0.386670985464998"
"Fast nie oder nie","1984","17-34","(Fach-)Abitur","204","","",""
"Fast nie oder nie","1984","17-34","AkademikerIn","76","0.298603764985698","0.24129851602556","0.355909013945837"
"Fast nie oder nie","1984","35-65","(noch) kein Abschluss","665","0.895684586218298","0.873616425412744","0.917752747023852"
"Fast nie oder nie","1984","35-65","Hauptschule","2983","","",""
"Fast nie oder nie","1984","35-65","Realschule","370","0.543191633441069","0.5060775615559","0.580305705326239"
"Fast nie oder nie","1984","35-65","(Fach-)Abitur","144","","",""
"Fast nie oder nie","1984","35-65","AkademikerIn","210","","",""
"Fast nie oder nie","1984","66 +","(noch) kein Abschluss","17","","",""
"Fast nie oder nie","1984","66 +","Hauptschule","853","0.920402167270004","0.902987565776475","0.937816768763533"
"Fast nie oder nie","1984","66 +","Realschule","133","","",""
"Fast nie oder nie","1984","66 +","(Fach-)Abitur","38","0.865873813569027","0.766304405517809","0.965443221620245"
"Fast nie oder nie","1984","66 +","AkademikerIn","43","0.725347600330004","0.613339879089375","0.837355321570634"
"Mehrmals im Jahr","1984","17-34","(noch) kein Abschluss","103","","",""
"Mehrmals im Jahr","1984","17-34","Hauptschule","546","0.253765638503543","0.235589841530929","0.271941435476157"
"Mehrmals im Jahr","1984","17-34","Realschule","295","","",""
"Mehrmals im Jahr","1984","17-34","(Fach-)Abitur","178","","",""
"Mehrmals im Jahr","1984","17-34","AkademikerIn","86","0.347244648283023","0.287629304879062","0.406859991686983"
"Mehrmals im Jahr","1984","35-65","(noch) kein Abschluss","57","0.0889872550669366","0.0684311665688425","0.109543343565031"
"Mehrmals im Jahr","1984","35-65","Hauptschule","526","0.130940937486776","0.120467329917072","0.14141454505648"
"Mehrmals im Jahr","1984","35-65","Realschule","150","","",""
"Mehrmals im Jahr","1984","35-65","(Fach-)Abitur","55","0.242701278131349","0.189127758269834","0.296274797992865"
"Mehrmals im Jahr","1984","35-65","AkademikerIn","125","","",""
"Mehrmals im Jahr","1984","66 +","(noch) kein Abschluss","","","",""
"Mehrmals im Jahr","1984","66 +","Hauptschule","35","0.0370304122575582","0.024880877096696","0.0491799474184205"
"Mehrmals im Jahr","1984","66 +","Realschule","19","","",""
"Mehrmals im Jahr","1984","66 +","(Fach-)Abitur","3","","",""
"Mehrmals im Jahr","1984","66 +","AkademikerIn","8","0.112851534428309","0.0334488727772751","0.192254196079343"
"Mindestens einmal im Monat","1984","17-34","(noch) kein Abschluss","130","","",""
"Mindestens einmal im Monat","1984","17-34","Hauptschule","441","0.213795170319368","0.196671130364832","0.230919210273905"
"Mindestens einmal im Monat","1984","17-34","Realschule","343","0.35204943356731","0.322491750616352","0.381607116518269"
"Mindestens einmal im Monat","1984","17-34","(Fach-)Abitur","183","","",""
"Mindestens einmal im Monat","1984","17-34","AkademikerIn","83","0.354151586731279","0.294265636744597","0.414037536717961"
"Mindestens einmal im Monat","1984","35-65","(noch) kein Abschluss","15","","",""
"Mindestens einmal im Monat","1984","35-65","Hauptschule","476","0.127349259733716","0.116998973236793","0.137699546230639"
"Mindestens einmal im Monat","1984","35-65","Realschule","172","","",""
"Mindestens einmal im Monat","1984","35-65","(Fach-)Abitur","47","0.229581762158729","0.177026947656719","0.282136576660739"
"Mindestens einmal im Monat","1984","35-65","AkademikerIn","140","","",""
"Mindestens einmal im Monat","1984","66 +","(noch) kein Abschluss","","","",""
"Mindestens einmal im Monat","1984","66 +","Hauptschule","40","0.0425674204724374","0.0295786850515654","0.0555561558933093"
"Mindestens einmal im Monat","1984","66 +","Realschule","19","","",""
