"m11104","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1985","17-34","Staedtischer Raum","1319","","",""
"Fast nie oder nie","1985","17-34","Laendlicher Raum","340","0.373231765854353","0.340887723456777","0.40557580825193"
"Fast nie oder nie","1985","35-65","Staedtischer Raum","3060","0.638547863267513","0.62447204349724","0.652623683037786"
"Fast nie oder nie","1985","35-65","Laendlicher Raum","788","0.651295805588238","0.624321130282289","0.678270480894187"
"Fast nie oder nie","1985","66 +","Staedtischer Raum","692","0.879574434874877","0.856893784979002","0.902255084770752"
"Fast nie oder nie","1985","66 +","Laendlicher Raum","258","","",""
"Mehrmals im Jahr","1985","17-34","Staedtischer Raum","642","0.207234394713893","0.193354714414924","0.221114075012861"
"Mehrmals im Jahr","1985","17-34","Laendlicher Raum","167","","",""
"Mehrmals im Jahr","1985","35-65","Staedtischer Raum","472","0.114949817514062","0.105604594663004","0.124295040365119"
"Mehrmals im Jahr","1985","35-65","Laendlicher Raum","122","","",""
"Mehrmals im Jahr","1985","66 +","Staedtischer Raum","22","","",""
"Mehrmals im Jahr","1985","66 +","Laendlicher Raum","6","0.0243927512342604","0.00657635963780424","0.0422091428307166"
"Mindestens einmal im Monat","1985","17-34","Staedtischer Raum","236","","",""
"Mindestens einmal im Monat","1985","17-34","Laendlicher Raum","65","0.0720051261083584","0.0547186685037558","0.089291583712961"
"Mindestens einmal im Monat","1985","35-65","Staedtischer Raum","163","","",""
"Mindestens einmal im Monat","1985","35-65","Laendlicher Raum","58","0.0488437980761926","0.0366435366986455","0.0610440594537397"
"Mindestens einmal im Monat","1985","66 +","Staedtischer Raum","12","","",""
"Mindestens einmal im Monat","1985","66 +","Laendlicher Raum","6","0.0192993354974273","0.00341052958958957","0.035188141405265"
"Mindestens einmal die Woche","1985","17-34","Staedtischer Raum","1079","","",""
"Mindestens einmal die Woche","1985","17-34","Laendlicher Raum","287","","",""
"Mindestens einmal die Woche","1985","35-65","Staedtischer Raum","780","0.205405756646322","0.193569058194274","0.217242455098371"
"Mindestens einmal die Woche","1985","35-65","Laendlicher Raum","231","","",""
"Mindestens einmal die Woche","1985","66 +","Staedtischer Raum","65","0.0799961529891785","0.0610906070930451","0.0989016988853119"
"Mindestens einmal die Woche","1985","66 +","Laendlicher Raum","18","","",""
"Fast nie oder nie","1986","17-34","Staedtischer Raum","1248","","",""
"Fast nie oder nie","1986","17-34","Laendlicher Raum","327","0.378627749197232","0.345806942008307","0.411448556386157"
"Fast nie oder nie","1986","35-65","Staedtischer Raum","2897","","",""
"Fast nie oder nie","1986","35-65","Laendlicher Raum","725","0.629161631561292","0.600985941203696","0.657337321918889"
"Fast nie oder nie","1986","66 +","Staedtischer Raum","666","0.898414483098207","0.876764799100432","0.920064167095982"
"Fast nie oder nie","1986","66 +","Laendlicher Raum","234","","",""
"Mehrmals im Jahr","1986","17-34","Staedtischer Raum","557","0.194442477601871","0.180783220380992","0.208101734822751"
"Mehrmals im Jahr","1986","17-34","Laendlicher Raum","165","","",""
