"m11104","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","17-34","Westdeutschland","2153","","",""
"Fast nie oder nie","1984","17-34","Ostdeutschland","","","",""
"Fast nie oder nie","1984","35-65","Westdeutschland","4416","0.684422898880898","0.672846254409843","0.695999543351952"
"Fast nie oder nie","1984","35-65","Ostdeutschland","","","",""
"Fast nie oder nie","1984","66 +","Westdeutschland","1085","","",""
"Fast nie oder nie","1984","66 +","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","17-34","Westdeutschland","1221","","",""
"Mehrmals im Jahr","1984","17-34","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","35-65","Westdeutschland","922","0.156169662041547","0.147127056384119","0.165212267698975"
"Mehrmals im Jahr","1984","35-65","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","66 +","Westdeutschland","65","0.051360548716245","0.0389896776410864","0.0637314197914036"
"Mehrmals im Jahr","1984","66 +","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","17-34","Westdeutschland","1184","","",""
"Mindestens einmal im Monat","1984","17-34","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","35-65","Westdeutschland","853","0.159407439077556","0.150289120690147","0.168525757464964"
"Mindestens einmal im Monat","1984","35-65","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","66 +","Westdeutschland","73","0.0584362874753401","0.0452900634974085","0.0715825114532717"
"Mindestens einmal im Monat","1984","66 +","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","17-34","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","17-34","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","35-65","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","35-65","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","66 +","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","66 +","Ostdeutschland","","","",""
"Fast nie oder nie","1985","17-34","Westdeutschland","1659","","",""
"Fast nie oder nie","1985","17-34","Ostdeutschland","","","",""
"Fast nie oder nie","1985","35-65","Westdeutschland","3848","0.641646266090734","0.629169350759323","0.654123181422144"
"Fast nie oder nie","1985","35-65","Ostdeutschland","","","",""
"Fast nie oder nie","1985","66 +","Westdeutschland","950","0.883392920650368","0.864242567602973","0.902543273697763"
"Fast nie oder nie","1985","66 +","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","17-34","Westdeutschland","809","0.204159204990717","0.19187327840914","0.216445131572294"
"Mehrmals im Jahr","1985","17-34","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","35-65","Westdeutschland","594","0.110704745552865","0.102540622692265","0.118868868413464"
"Mehrmals im Jahr","1985","35-65","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","66 +","Westdeutschland","28","","",""
"Mehrmals im Jahr","1985","66 +","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","17-34","Westdeutschland","301","0.0726352075149066","0.064724611123926","0.0805458039058872"
"Mindestens einmal im Monat","1985","17-34","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","35-65","Westdeutschland","221","","",""
"Mindestens einmal im Monat","1985","35-65","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","66 +","Westdeutschland","18","","",""
"Mindestens einmal im Monat","1985","66 +","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","17-34","Westdeutschland","1366","","",""
"Mindestens einmal die Woche","1985","17-34","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","35-65","Westdeutschland","1011","","",""
"Mindestens einmal die Woche","1985","35-65","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","66 +","Westdeutschland","83","0.0752711481034612","0.0595291867146052","0.0910131094923172"
"Mindestens einmal die Woche","1985","66 +","Ostdeutschland","","","",""
"Fast nie oder nie","1986","17-34","Westdeutschland","1575","","",""
"Fast nie oder nie","1986","17-34","Ostdeutschland","","","",""
"Fast nie oder nie","1986","35-65","Westdeutschland","3622","0.635480887103899","0.622634395181144","0.648327379026655"
"Fast nie oder nie","1986","35-65","Ostdeutschland","","","",""
"Fast nie oder nie","1986","66 +","Westdeutschland","900","0.896451245391889","0.877670696085817","0.915231794697962"
"Fast nie oder nie","1986","66 +","Ostdeutschland","","","",""
"Mehrmals im Jahr","1986","17-34","Westdeutschland","722","0.195040325273608","0.18285827156484","0.207222378982377"
"Mehrmals im Jahr","1986","17-34","Ostdeutschland","","","",""
"Mehrmals im Jahr","1986","35-65","Westdeutschland","535","0.103953073240533","0.095806833384863","0.112099313096202"
"Mehrmals im Jahr","1986","35-65","Ostdeutschland","","","",""
"Mehrmals im Jahr","1986","66 +","Westdeutschland","17","","",""
"Mehrmals im Jahr","1986","66 +","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1986","17-34","Westdeutschland","302","0.079574371125323","0.0712538179512689","0.087894924299377"
"Mindestens einmal im Monat","1986","17-34","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1986","35-65","Westdeutschland","244","","",""
"Mindestens einmal im Monat","1986","35-65","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1986","66 +","Westdeutschland","18","","",""
"Mindestens einmal im Monat","1986","66 +","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1986","17-34","Westdeutschland","1465","","",""
"Mindestens einmal die Woche","1986","17-34","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1986","35-65","Westdeutschland","991","0.213154807469754","0.202223669819843","0.224085945119665"
"Mindestens einmal die Woche","1986","35-65","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1986","66 +","Westdeutschland","76","0.0720025539204524","0.0560687358461905","0.0879363719947144"
"Mindestens einmal die Woche","1986","66 +","Ostdeutschland","","","",""
"Fast nie oder nie","1987","17-34","Westdeutschland","","","",""
"Fast nie oder nie","1987","17-34","Ostdeutschland","","","",""
"Fast nie oder nie","1987","35-65","Westdeutschland","","","",""
"Fast nie oder nie","1987","35-65","Ostdeutschland","","","",""
"Fast nie oder nie","1987","66 +","Westdeutschland","","","",""
"Fast nie oder nie","1987","66 +","Ostdeutschland","","","",""
"Mehrmals im Jahr","1987","17-34","Westdeutschland","","","",""
"Mehrmals im Jahr","1987","17-34","Ostdeutschland","","","",""
"Mehrmals im Jahr","1987","35-65","Westdeutschland","","","",""
"Mehrmals im Jahr","1987","35-65","Ostdeutschland","","","",""
"Mehrmals im Jahr","1987","66 +","Westdeutschland","","","",""
"Mehrmals im Jahr","1987","66 +","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1987","17-34","Westdeutschland","","","",""
"Mindestens einmal im Monat","1987","17-34","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1987","35-65","Westdeutschland","","","",""
"Mindestens einmal im Monat","1987","35-65","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1987","66 +","Westdeutschland","","","",""
"Mindestens einmal im Monat","1987","66 +","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1987","17-34","Westdeutschland","","","",""
"Mindestens einmal die Woche","1987","17-34","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1987","35-65","Westdeutschland","","","",""
"Mindestens einmal die Woche","1987","35-65","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1987","66 +","Westdeutschland","","","",""
"Mindestens einmal die Woche","1987","66 +","Ostdeutschland","","","",""
"Fast nie oder nie","1988","17-34","Westdeutschland","1468","","",""
"Fast nie oder nie","1988","17-34","Ostdeutschland","","","",""
"Fast nie oder nie","1988","35-65","Westdeutschland","3259","0.599571608403775","0.586018592703983","0.613124624103566"
"Fast nie oder nie","1988","35-65","Ostdeutschland","","","",""
"Fast nie oder nie","1988","66 +","Westdeutschland","872","0.856569797190257","0.835038217834323","0.878101376546192"
"Fast nie oder nie","1988","66 +","Ostdeutschland","","","",""
"Mehrmals im Jahr","1988","17-34","Westdeutschland","731","0.204626622252322","0.191843345210788","0.217409899293856"
"Mehrmals im Jahr","1988","17-34","Ostdeutschland","","","",""
"Mehrmals im Jahr","1988","35-65","Westdeutschland","568","0.127450136284207","0.11822615825261","0.136674114315803"
"Mehrmals im Jahr","1988","35-65","Ostdeutschland","","","",""
"Mehrmals im Jahr","1988","66 +","Westdeutschland","32","0.0317388147319238","0.0209700518217233","0.0425075776421243"
"Mehrmals im Jahr","1988","66 +","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1988","17-34","Westdeutschland","279","","",""
"Mindestens einmal im Monat","1988","17-34","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1988","35-65","Westdeutschland","223","","",""
"Mindestens einmal im Monat","1988","35-65","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1988","66 +","Westdeutschland","18","","",""
