"m11104","year","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Fast nie oder nie","1984","maennlich","3385","0.578596140760086","0.565973989465721","0.59121829205445"
"Fast nie oder nie","1984","weiblich","4269","0.688487939945058","0.676859589732465","0.700116290157651"
"Mehrmals im Jahr","1984","maennlich","1215","0.200315877206906","0.190084990292936","0.210546764120876"
"Mehrmals im Jahr","1984","weiblich","993","0.157727336844238","0.148575414214738","0.166879259473738"
"Mindestens einmal im Monat","1984","maennlich","1279","0.221087982033008","0.210480235568365","0.231695728497651"
"Mindestens einmal im Monat","1984","weiblich","831","0.153784723210704","0.144726781318059","0.162842665103349"
"Mindestens einmal die Woche","1984","maennlich","","","",""
"Mindestens einmal die Woche","1984","weiblich","","","",""
"Fast nie oder nie","1985","maennlich","2844","0.527376871686176","0.513995179859933","0.54075856351242"
"Fast nie oder nie","1985","weiblich","3613","0.636682186030841","0.624018541494899","0.649345830566783"
"Mehrmals im Jahr","1985","maennlich","752","0.138364549598207","0.129109746244626","0.147619352951788"
"Mehrmals im Jahr","1985","weiblich","679","0.117818536979351","0.109329864202242","0.12630720975646"
"Mindestens einmal im Monat","1985","maennlich","333","0.0600181273651567","0.0536517268261136","0.0663845279041998"
"Mindestens einmal im Monat","1985","weiblich","207","0.0378634221713431","0.0328378870704103","0.042888957272276"
"Mindestens einmal die Woche","1985","maennlich","1418","0.27424045135046","0.26228254533518","0.28619835736574"
"Mindestens einmal die Woche","1985","weiblich","1042","0.207635854818465","0.196955944676324","0.218315764960606"
"Fast nie oder nie","1986","maennlich","2686","0.516499664516898","0.502883076721544","0.530116252312252"
"Fast nie oder nie","1986","weiblich","3411","0.639463158819616","0.626527762687387","0.652398554951845"
"Mehrmals im Jahr","1986","maennlich","681","0.133396296414912","0.124131902017874","0.14266069081195"
"Mehrmals im Jahr","1986","weiblich","593","0.106813153785193","0.0984920551017861","0.1151342524686"
"Mindestens einmal im Monat","1986","maennlich","323","0.0602823807198996","0.0537971002705173","0.0667676611692819"
"Mindestens einmal im Monat","1986","weiblich","241","0.0464275676413249","0.0407591485337858","0.0520959867488641"
"Mindestens einmal die Woche","1986","maennlich","1484","0.28982165834829","0.277459792988455","0.302183523708125"
"Mindestens einmal die Woche","1986","weiblich","1048","0.207296119753866","0.196375476441892","0.21821676306584"
"Fast nie oder nie","1987","maennlich","","","",""
"Fast nie oder nie","1987","weiblich","","","",""
"Mehrmals im Jahr","1987","maennlich","","","",""
"Mehrmals im Jahr","1987","weiblich","","","",""
"Mindestens einmal im Monat","1987","maennlich","","","",""
"Mindestens einmal im Monat","1987","weiblich","","","",""
"Mindestens einmal die Woche","1987","maennlich","","","",""
"Mindestens einmal die Woche","1987","weiblich","","","",""
"Fast nie oder nie","1988","maennlich","2515","0.510105613566427","0.496091559930432","0.524119667202421"
"Fast nie oder nie","1988","weiblich","3084","0.606146233408553","0.592571838561678","0.619720628255428"
"Mehrmals im Jahr","1988","maennlich","703","0.148831075711201","0.138853220847689","0.158808930574713"
"Mehrmals im Jahr","1988","weiblich","628","0.123817387462484","0.114666727780225","0.132968047144743"
"Mindestens einmal im Monat","1988","maennlich","291","0.058965251934452","0.0523616117485408","0.0655688921203633"
"Mindestens einmal im Monat","1988","weiblich","229","0.0483514362022418","0.0423919714119231","0.0543109009925605"
"Mindestens einmal die Woche","1988","maennlich","1379","0.28209805878792","0.269482249794026","0.294713867781814"
"Mindestens einmal die Woche","1988","weiblich","1036","0.221684942926721","0.210144829300871","0.233225056552572"
"Fast nie oder nie","1989","maennlich","","","",""
"Fast nie oder nie","1989","weiblich","","","",""
"Mehrmals im Jahr","1989","maennlich","","","",""
"Mehrmals im Jahr","1989","weiblich","","","",""
"Mindestens einmal im Monat","1989","maennlich","","","",""
"Mindestens einmal im Monat","1989","weiblich","","","",""
"Mindestens einmal die Woche","1989","maennlich","","","",""
"Mindestens einmal die Woche","1989","weiblich","","","",""
"Fast nie oder nie","1990","maennlich","3069","0.415277859995068","0.40346448395519","0.427091236034945"
"Fast nie oder nie","1990","weiblich","4086","0.538965954351056","0.527291053720294","0.550640854981818"
"Mehrmals im Jahr","1990","maennlich","1291","0.20776377409123","0.198037597916775","0.217489950265686"
"Mehrmals im Jahr","1990","weiblich","1126","0.165012350681767","0.156318658095689","0.173706043267844"
"Mindestens einmal im Monat","1990","maennlich","555","0.0895985091460288","0.0827515656763942","0.0964454526156635"
"Mindestens einmal im Monat","1990","weiblich","394","0.0644567225302511","0.0587053423230797","0.0702081027374226"
"Mindestens einmal die Woche","1990","maennlich","1769","0.287359856767673","0.276511147744741","0.298208565790605"
"Mindestens einmal die Woche","1990","weiblich","1397","0.231564972436926","0.221685220559903","0.241444724313949"
"Fast nie oder nie","1991","maennlich","","","",""
"Fast nie oder nie","1991","weiblich","","","",""
"Mehrmals im Jahr","1991","maennlich","","","",""
"Mehrmals im Jahr","1991","weiblich","","","",""
"Mindestens einmal im Monat","1991","maennlich","","","",""
"Mindestens einmal im Monat","1991","weiblich","","","",""
"Mindestens einmal die Woche","1991","maennlich","","","",""
"Mindestens einmal die Woche","1991","weiblich","","","",""
"Fast nie oder nie","1992","maennlich","3229","0.496404123852268","0.484114273290035","0.5086939744145"
"Fast nie oder nie","1992","weiblich","4111","0.600855142402562","0.589139333547004","0.612570951258121"
"Mehrmals im Jahr","1992","maennlich","1150","0.176613624687139","0.16724012499829","0.185987124375987"
"Mehrmals im Jahr","1992","weiblich","1032","0.143046548959199","0.134670495788882","0.151422602129517"
"Mindestens einmal im Monat","1992","maennlich","461","0.0772078630183586","0.0706468554622726","0.0837688705744446"
"Mindestens einmal im Monat","1992","weiblich","301","0.0463556665430154","0.0413256808653873","0.0513856522206435"
"Mindestens einmal die Woche","1992","maennlich","1518","0.249774388442235","0.23913399407787","0.2604147828066"
"Mindestens einmal die Woche","1992","weiblich","1268","0.209742642095223","0.200002848388866","0.21948243580158"
"Fast nie oder nie","1993","maennlich","","","",""
"Fast nie oder nie","1993","weiblich","","","",""
"Mehrmals im Jahr","1993","maennlich","","","",""
"Mehrmals im Jahr","1993","weiblich","","","",""
"Mindestens einmal im Monat","1993","maennlich","","","",""
"Mindestens einmal im Monat","1993","weiblich","","","",""
"Mindestens einmal die Woche","1993","maennlich","","","",""
"Mindestens einmal die Woche","1993","weiblich","","","",""
"Fast nie oder nie","1994","maennlich","3009","0.485153901762236","0.472629490273454","0.497678313251018"
"Fast nie oder nie","1994","weiblich","3954","0.59174104930106","0.579833374327516","0.603648724274603"
"Mehrmals im Jahr","1994","maennlich","1200","0.19898724692669","0.188982382965647","0.208992110887732"
"Mehrmals im Jahr","1994","weiblich","1074","0.14870324139134","0.140083505225206","0.157322977557473"
"Mindestens einmal im Monat","1994","maennlich","445","0.0674782722880791","0.061192041696215","0.0737645028799432"
"Mindestens einmal im Monat","1994","weiblich","329","0.052488638792667","0.0470858482157919","0.0578914293695421"
"Mindestens einmal die Woche","1994","maennlich","1463","0.248380579022995","0.237552867789108","0.259208290256883"
"Mindestens einmal die Woche","1994","weiblich","1188","0.207067070514933","0.19725033676455","0.216883804265317"
"Fast nie oder nie","1995","maennlich","2513","0.385118309307888","0.373168217586601","0.397068401029175"
"Fast nie oder nie","1995","weiblich","3318","0.48429191162809","0.472425088321423","0.496158734934758"
"Mehrmals im Jahr","1995","maennlich","1494","0.228177457786203","0.217871853255167","0.238483062317239"
