"m11104","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1985","Staedtischer Raum","Westdeutschland","5071","0.577916191217742","0.567442492308676","0.588389890126807"
"Fast nie oder nie","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1985","Laendlicher Raum","Westdeutschland","1386","","",""
"Fast nie oder nie","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","Staedtischer Raum","Westdeutschland","1136","","",""
"Mehrmals im Jahr","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","Laendlicher Raum","Westdeutschland","295","","",""
"Mehrmals im Jahr","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","Staedtischer Raum","Westdeutschland","411","0.0474952384906397","0.042984715284713","0.0520057616965664"
"Mindestens einmal im Monat","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","Laendlicher Raum","Westdeutschland","129","","",""
"Mindestens einmal im Monat","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","Staedtischer Raum","Westdeutschland","1924","","",""
"Mindestens einmal die Woche","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","Laendlicher Raum","Westdeutschland","536","0.226793068766952","0.209847863067115","0.243738274466789"
"Mindestens einmal die Woche","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1986","Staedtischer Raum","Westdeutschland","4811","0.57688338819286","0.566213399066196","0.587553377319525"
"Fast nie oder nie","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1986","Laendlicher Raum","Westdeutschland","1286","","",""
"Fast nie oder nie","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1986","Staedtischer Raum","Westdeutschland","984","0.119456717724642","0.112452323763513","0.126461111685771"
"Mehrmals im Jahr","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1986","Laendlicher Raum","Westdeutschland","290","","",""
"Mehrmals im Jahr","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1986","Staedtischer Raum","Westdeutschland","443","0.053744609037468","0.0488742434809077","0.0586149745940282"
"Mindestens einmal im Monat","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1986","Laendlicher Raum","Westdeutschland","121","","",""
"Mindestens einmal im Monat","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1986","Staedtischer Raum","Westdeutschland","1998","","",""
"Mindestens einmal die Woche","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1986","Laendlicher Raum","Westdeutschland","534","0.235215215872797","0.217615703643579","0.252814728102014"
"Mindestens einmal die Woche","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1987","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","1987","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1987","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","1987","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1987","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","1987","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1987","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","1987","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1987","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","1987","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1987","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","1987","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1987","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","1987","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1987","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","1987","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1988","Staedtischer Raum","Westdeutschland","4480","0.561773516419641","0.550761003870236","0.572786028969047"
"Fast nie oder nie","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1988","Laendlicher Raum","Westdeutschland","1119","","",""
"Fast nie oder nie","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1988","Staedtischer Raum","Westdeutschland","1007","","",""
"Mehrmals im Jahr","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1988","Laendlicher Raum","Westdeutschland","324","0.152694798531019","0.137188436812231","0.168201160249807"
"Mehrmals im Jahr","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1988","Staedtischer Raum","Westdeutschland","401","0.0526856855580647","0.047727190973346","0.0576441801427834"
"Mindestens einmal im Monat","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1988","Laendlicher Raum","Westdeutschland","119","","",""
"Mindestens einmal im Monat","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1988","Staedtischer Raum","Westdeutschland","1910","","",""
"Mindestens einmal die Woche","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1988","Laendlicher Raum","Westdeutschland","505","0.235848865272372","0.217547462480413","0.254150268064332"
"Mindestens einmal die Woche","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1989","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1989","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1989","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1989","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1989","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1989","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1989","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1989","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","1989","Laendlicher Raum","Ostdeutschland","","","",""
