"m11104","year","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Fast nie oder nie","1984","7654","0.636704922074691","0.62808975711637","0.645320087033013"
"Mehrmals im Jahr","1984","2208","0.177795832974334","0.170947019117073","0.184644646831595"
"Mindestens einmal im Monat","1984","2110","0.185499244950975","0.178536482867296","0.192462007034654"
"Mindestens einmal die Woche","1984","","","",""
"Fast nie oder nie","1985","6457","0.585294278333931","0.576040242265046","0.594548314402817"
"Mehrmals im Jahr","1985","1431","0.127477871535291","0.121213468926267","0.133742274144315"
"Mindestens einmal im Monat","1985","540","0.0482790543149188","0.0442527348935424","0.0523053737362953"
"Mindestens einmal die Woche","1985","2460","0.238948795815859","0.230938779572735","0.246958812058982"
"Fast nie oder nie","1986","6097","0.58130191343945","0.571850683195088","0.590753143683812"
"Mehrmals im Jahr","1986","1274","0.119386874873964","0.113175212417258","0.12559853733067"
"Mindestens einmal im Monat","1986","564","0.0529808393072677","0.0486896687248003","0.057272009889735"
"Mindestens einmal die Woche","1986","2532","0.246330372379318","0.23807595418975","0.254584790568887"
"Fast nie oder nie","1987","","","",""
"Mehrmals im Jahr","1987","","","",""
"Mindestens einmal im Monat","1987","","","",""
"Mindestens einmal die Woche","1987","","","",""
"Fast nie oder nie","1988","5599","0.560330027567178","0.550535468320845","0.570124586813511"
"Mehrmals im Jahr","1988","1331","0.135750174772052","0.128991066627758","0.142509282916346"
"Mindestens einmal im Monat","1988","520","0.0534147601077802","0.0489775494089429","0.0578519708066176"
"Mindestens einmal die Woche","1988","2415","0.25050503755299","0.241954525230445","0.259055549875534"
"Fast nie oder nie","1989","","","",""
"Mehrmals im Jahr","1989","","","",""
"Mindestens einmal im Monat","1989","","","",""
"Mindestens einmal die Woche","1989","","","",""
"Fast nie oder nie","1990","7155","0.479776176463466","0.471406504914967","0.488145848011965"
"Mehrmals im Jahr","1990","2417","0.185470643528462","0.178959085465344","0.191982201591579"
"Mindestens einmal im Monat","1990","949","0.0764880887925692","0.0720355048817276","0.0809406727034109"
"Mindestens einmal die Woche","1990","3166","0.258265091215503","0.250932606423009","0.265597576007996"
"Fast nie oder nie","1991","","","",""
"Mehrmals im Jahr","1991","","","",""
"Mindestens einmal im Monat","1991","","","",""
"Mindestens einmal die Woche","1991","","","",""
"Fast nie oder nie","1992","7340","0.550557465644906","0.542029435816991","0.55908549547282"
"Mehrmals im Jahr","1992","2182","0.159210545711904","0.15293805769024","0.165483033733568"
"Mindestens einmal im Monat","1992","762","0.0612123316777199","0.0571026002007682","0.0653220631546716"
"Mindestens einmal die Woche","1992","2786","0.22901965696547","0.221815746112969","0.236223567817971"
"Fast nie oder nie","1993","","","",""
"Mehrmals im Jahr","1993","","","",""
"Mindestens einmal im Monat","1993","","","",""
"Mindestens einmal die Woche","1993","","","",""
"Fast nie oder nie","1994","6963","0.540401530255002","0.531721034910368","0.549082025599636"
"Mehrmals im Jahr","1994","2274","0.172923391001346","0.166336254284594","0.179510527718099"
"Mindestens einmal im Monat","1994","774","0.059708651637563","0.0555815345657241","0.0638357687094019"
"Mindestens einmal die Woche","1994","2651","0.226966427106088","0.219670559830241","0.234262294381936"
"Fast nie oder nie","1995","5831","0.436504200043153","0.428038156066372","0.444970244019935"
"Mehrmals im Jahr","1995","2928","0.211044595105518","0.204079062812865","0.218010127398171"
"Mindestens einmal im Monat","1995","955","0.072279901564832","0.0678595356248911","0.076700267504773"
"Mindestens einmal die Woche","1995","3469","0.280171303286497","0.27250532882181","0.287837277751184"
"Fast nie oder nie","1996","6457","0.490181958743928","0.481570036492154","0.498793880995703"
"Mehrmals im Jahr","1996","2693","0.1975300399769","0.190671292607807","0.204388787345993"
"Mindestens einmal im Monat","1996","917","0.0695443418048421","0.0651621379145157","0.0739265456951684"
"Mindestens einmal die Woche","1996","2877","0.242743659474329","0.235357660457607","0.250129658491052"
"Fast nie oder nie","1997","6501","0.507279634331821","0.498580854025331","0.515978414638311"
"Mehrmals im Jahr","1997","2473","0.184635473337306","0.177884477022507","0.191386469652104"
"Mindestens einmal im Monat","1997","757","0.0571781928300989","0.0531383505106207","0.0612180351495771"
"Mindestens einmal die Woche","1997","2958","0.250906699500774","0.243363449914071","0.258449949087477"
"Fast nie oder nie","1998","5884","0.415998556923059","0.40786609446236","0.424131019383757"
"Mehrmals im Jahr","1998","3191","0.210464556365607","0.203738747912364","0.217190364818851"
"Mindestens einmal im Monat","1998","1102","0.0770525881507993","0.0726526022106584","0.0814525740909401"
"Mindestens einmal die Woche","1998","3934","0.296484298560535","0.288948887613464","0.304019709507605"
"Fast nie oder nie","1999","6572","0.488143441322348","0.479722691133969","0.496564191510727"
"Mehrmals im Jahr","1999","2775","0.190404428529165","0.183790256250812","0.197018600807517"
"Mindestens einmal im Monat","1999","919","0.0646986469949595","0.0605545844754803","0.0688427095144388"
"Mindestens einmal die Woche","1999","3270","0.256753483153527","0.249394335249137","0.264112631057918"
"Fast nie oder nie","2000","","","",""
"Mehrmals im Jahr","2000","","","",""
"Mindestens einmal im Monat","2000","","","",""
"Mindestens einmal die Woche","2000","","","",""
"Fast nie oder nie","2001","10832","0.506348530593625","0.499699885047413","0.512997176139838"
"Mehrmals im Jahr","2001","3675","0.160077618897236","0.155201401370542","0.164953836423931"
"Mindestens einmal im Monat","2001","1362","0.0618659708924338","0.0586622361747836","0.065069705610084"
"Mindestens einmal die Woche","2001","5853","0.271707879616705","0.265792234553359","0.27762352468005"
"Fast nie oder nie","2002","","","",""
"Mehrmals im Jahr","2002","","","",""
"Mindestens einmal im Monat","2002","","","",""
"Mindestens einmal die Woche","2002","","","",""
"Fast nie oder nie","2003","8209","0.403406845236488","0.396928539141939","0.409885151331038"
"Mehrmals im Jahr","2003","4267","0.189043357520412","0.183872885071922","0.194213829968903"
"Mindestens einmal im Monat","2003","1725","0.0751799670171497","0.0716979540885823","0.0786619799457171"
"Mindestens einmal die Woche","2003","7828","0.33236983022595","0.326149270358403","0.338590390093497"
"Fast nie oder nie","2004","","","",""
"Mehrmals im Jahr","2004","","","",""
"Mindestens einmal im Monat","2004","","","",""
"Mindestens einmal die Woche","2004","","","",""
"Fast nie oder nie","2005","8324","0.43127397472602","0.42450418351652","0.43804376593552"
"Mehrmals im Jahr","2005","3866","0.183720054162143","0.178426529465008","0.189013578859277"
"Mindestens einmal im Monat","2005","1618","0.0794316551139761","0.0757353150272108","0.0831279952007413"
"Mindestens einmal die Woche","2005","6751","0.305574315997861","0.299277537599075","0.311871094396647"
"Fast nie oder nie","2006","","","",""
"Mehrmals im Jahr","2006","","","",""
"Mindestens einmal im Monat","2006","","","",""
"Mindestens einmal die Woche","2006","","","",""
"Fast nie oder nie","2007","8147","0.417851131266421","0.41108146439205","0.424620798140792"
"Mehrmals im Jahr","2007","3629","0.177980808551987","0.172730714974361","0.183230902129614"
"Mindestens einmal im Monat","2007","1498","0.070972492682924","0.067447982302215","0.074497003063633"
"Mindestens einmal die Woche","2007","7116","0.333195567498668","0.326725805199707","0.339665329797628"
