"m11104","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Fast nie oder nie","1984","17-34","Schleswig-Holstein","57","0.399932895150293","0.317600242080525","0.48226554822006"
"Fast nie oder nie","1984","17-34","Hamburg","54","0.407074606845495","0.316889941818465","0.497259271872524"
"Fast nie oder nie","1984","17-34","Niedersachsen","198","0.424102268520217","0.378029433363258","0.470175103677176"
"Fast nie oder nie","1984","17-34","Bremen","","","",""
"Fast nie oder nie","1984","17-34","Nordrhein-Westfalen","607","0.436243400202761","0.409054419997817","0.463432380407705"
"Fast nie oder nie","1984","17-34","Hessen","240","0.439943589213712","0.396863421417934","0.48302375700949"
"Fast nie oder nie","1984","17-34","Rheinland-Pfalz,Saarland","143","0.443714362851022","0.388849603195511","0.498579122506534"
"Fast nie oder nie","1984","17-34","Baden-Wuerttemberg","441","0.469179888812744","0.43551166186083","0.502848115764657"
"Fast nie oder nie","1984","17-34","Bayern","338","0.429182986812371","0.393736199005832","0.464629774618911"
"Fast nie oder nie","1984","17-34","Berlin","56","0.378512558683716","0.297590881919638","0.459434235447795"
"Fast nie oder nie","1984","17-34","Brandenburg","","","",""
"Fast nie oder nie","1984","17-34","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1984","17-34","Sachsen","","","",""
"Fast nie oder nie","1984","17-34","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1984","17-34","Thueringen","","","",""
"Fast nie oder nie","1984","35-65","Schleswig-Holstein","121","0.573035536979202","0.505324759105784","0.640746314852621"
"Fast nie oder nie","1984","35-65","Hamburg","102","0.663931622046735","0.587310736857467","0.740552507236004"
"Fast nie oder nie","1984","35-65","Niedersachsen","416","0.659721954929511","0.622396921989818","0.697046987869204"
"Fast nie oder nie","1984","35-65","Bremen","49","0.705320542366005","0.595332791676735","0.815308293055275"
"Fast nie oder nie","1984","35-65","Nordrhein-Westfalen","1200","0.701185931163278","0.679119668590724","0.723252193735831"
"Fast nie oder nie","1984","35-65","Hessen","467","0.708902510997906","0.673345372155386","0.744459649840426"
"Fast nie oder nie","1984","35-65","Rheinland-Pfalz,Saarland","307","0.715731310616193","0.672593016450499","0.758869604781887"
"Fast nie oder nie","1984","35-65","Baden-Wuerttemberg","888","0.71759897828537","0.6917712207524","0.743426735818339"
"Fast nie oder nie","1984","35-65","Bayern","716","0.651981249175946","0.623399766379153","0.680562731972738"
"Fast nie oder nie","1984","35-65","Berlin","150","0.674113941375675","0.612319202766805","0.735908679984544"
"Fast nie oder nie","1984","35-65","Brandenburg","","","",""
"Fast nie oder nie","1984","35-65","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1984","35-65","Sachsen","","","",""
"Fast nie oder nie","1984","35-65","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1984","35-65","Thueringen","","","",""
"Fast nie oder nie","1984","66 +","Schleswig-Holstein","42","0.96559225376016","0.911734684004237","1.01944982351608"
"Fast nie oder nie","1984","66 +","Hamburg","35","0.818233896885046","0.702965820676454","0.933501973093638"
"Fast nie oder nie","1984","66 +","Niedersachsen","133","0.905838273012297","0.858626320199722","0.953050225824872"
"Fast nie oder nie","1984","66 +","Bremen","30","0.898324236197645","0.795210528962879","1.00143794343241"
"Fast nie oder nie","1984","66 +","Nordrhein-Westfalen","247","0.90853540482093","0.874402736081121","0.942668073560738"
"Fast nie oder nie","1984","66 +","Hessen","85","0.848681190950774","0.778792621664038","0.918569760237511"
"Fast nie oder nie","1984","66 +","Rheinland-Pfalz,Saarland","109","0.97410097958259","0.944685039060825","1.00351692010435"
"Fast nie oder nie","1984","66 +","Baden-Wuerttemberg","184","0.899149586028454","0.857826968431909","0.940472203624998"
"Fast nie oder nie","1984","66 +","Bayern","186","0.839808253857166","0.791668285938311","0.887948221776022"
"Fast nie oder nie","1984","66 +","Berlin","34","0.823503535963463","0.708204895996103","0.938802175930824"
"Fast nie oder nie","1984","66 +","Brandenburg","","","",""
"Fast nie oder nie","1984","66 +","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1984","66 +","Sachsen","","","",""
"Fast nie oder nie","1984","66 +","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1984","66 +","Thueringen","","","",""
"Mehrmals im Jahr","1984","17-34","Schleswig-Holstein","30","0.241996919854993","0.170015726704849","0.313978113005137"
"Mehrmals im Jahr","1984","17-34","Hamburg","35","0.345031081503693","0.257767080627676","0.43229508237971"
"Mehrmals im Jahr","1984","17-34","Niedersachsen","128","0.298672826482304","0.256005528051646","0.341340124912961"
"Mehrmals im Jahr","1984","17-34","Bremen","","","",""
"Mehrmals im Jahr","1984","17-34","Nordrhein-Westfalen","337","0.272784857132045","0.248366060948185","0.297203653315906"
"Mehrmals im Jahr","1984","17-34","Hessen","127","0.228321559834759","0.191891939280647","0.264751180388871"
"Mehrmals im Jahr","1984","17-34","Rheinland-Pfalz,Saarland","78","0.259074239560599","0.210691297041103","0.307457182080095"
"Mehrmals im Jahr","1984","17-34","Baden-Wuerttemberg","213","0.27093350396683","0.240949350295702","0.300917657637959"
"Mehrmals im Jahr","1984","17-34","Bayern","224","0.295895225540197","0.263206739591135","0.32858371148926"
"Mehrmals im Jahr","1984","17-34","Berlin","43","0.266300435840076","0.192551863580551","0.3400490080996"
"Mehrmals im Jahr","1984","17-34","Brandenburg","","","",""
"Mehrmals im Jahr","1984","17-34","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1984","17-34","Sachsen","","","",""
"Mehrmals im Jahr","1984","17-34","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1984","17-34","Thueringen","","","",""
"Mehrmals im Jahr","1984","35-65","Schleswig-Holstein","38","0.185169372494746","0.131996587181097","0.238342157808395"
"Mehrmals im Jahr","1984","35-65","Hamburg","","","",""
