"m11104","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","Westdeutschland","maennlich","3385","0.578596140760086","0.565973989465721","0.59121829205445"
"Fast nie oder nie","1984","Westdeutschland","weiblich","4269","0.688487939945058","0.676859589732465","0.700116290157651"
"Fast nie oder nie","1984","Ostdeutschland","maennlich","","","",""
"Fast nie oder nie","1984","Ostdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1984","Westdeutschland","maennlich","1215","0.200315877206906","0.190084990292936","0.210546764120876"
"Mehrmals im Jahr","1984","Westdeutschland","weiblich","993","0.157727336844238","0.148575414214738","0.166879259473738"
"Mehrmals im Jahr","1984","Ostdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1984","Ostdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1984","Westdeutschland","maennlich","1279","0.221087982033008","0.210480235568365","0.231695728497651"
"Mindestens einmal im Monat","1984","Westdeutschland","weiblich","831","0.153784723210704","0.144726781318059","0.162842665103349"
"Mindestens einmal im Monat","1984","Ostdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1984","Ostdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1984","Westdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1984","Westdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1984","Ostdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1984","Ostdeutschland","weiblich","","","",""
"Fast nie oder nie","1985","Westdeutschland","maennlich","2844","0.527376871686176","0.513995179859933","0.54075856351242"
"Fast nie oder nie","1985","Westdeutschland","weiblich","3613","0.636682186030841","0.624018541494899","0.649345830566783"
"Fast nie oder nie","1985","Ostdeutschland","maennlich","","","",""
"Fast nie oder nie","1985","Ostdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1985","Westdeutschland","maennlich","752","0.138364549598207","0.129109746244626","0.147619352951788"
"Mehrmals im Jahr","1985","Westdeutschland","weiblich","679","0.117818536979351","0.109329864202242","0.12630720975646"
"Mehrmals im Jahr","1985","Ostdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1985","Ostdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1985","Westdeutschland","maennlich","333","0.0600181273651567","0.0536517268261136","0.0663845279041998"
"Mindestens einmal im Monat","1985","Westdeutschland","weiblich","207","0.0378634221713431","0.0328378870704103","0.042888957272276"
"Mindestens einmal im Monat","1985","Ostdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1985","Ostdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1985","Westdeutschland","maennlich","1418","0.27424045135046","0.26228254533518","0.28619835736574"
"Mindestens einmal die Woche","1985","Westdeutschland","weiblich","1042","0.207635854818465","0.196955944676324","0.218315764960606"
"Mindestens einmal die Woche","1985","Ostdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1985","Ostdeutschland","weiblich","","","",""
"Fast nie oder nie","1986","Westdeutschland","maennlich","2686","0.516499664516898","0.502883076721544","0.530116252312252"
"Fast nie oder nie","1986","Westdeutschland","weiblich","3411","0.639463158819616","0.626527762687387","0.652398554951845"
"Fast nie oder nie","1986","Ostdeutschland","maennlich","","","",""
"Fast nie oder nie","1986","Ostdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1986","Westdeutschland","maennlich","681","0.133396296414912","0.124131902017874","0.14266069081195"
"Mehrmals im Jahr","1986","Westdeutschland","weiblich","593","0.106813153785193","0.0984920551017861","0.1151342524686"
"Mehrmals im Jahr","1986","Ostdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1986","Ostdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1986","Westdeutschland","maennlich","323","0.0602823807198996","0.0537971002705173","0.0667676611692819"
"Mindestens einmal im Monat","1986","Westdeutschland","weiblich","241","0.0464275676413249","0.0407591485337858","0.0520959867488641"
"Mindestens einmal im Monat","1986","Ostdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1986","Ostdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1986","Westdeutschland","maennlich","1484","0.28982165834829","0.277459792988455","0.302183523708125"
"Mindestens einmal die Woche","1986","Westdeutschland","weiblich","1048","0.207296119753866","0.196375476441892","0.21821676306584"
"Mindestens einmal die Woche","1986","Ostdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1986","Ostdeutschland","weiblich","","","",""
"Fast nie oder nie","1987","Westdeutschland","maennlich","","","",""
"Fast nie oder nie","1987","Westdeutschland","weiblich","","","",""
"Fast nie oder nie","1987","Ostdeutschland","maennlich","","","",""
"Fast nie oder nie","1987","Ostdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1987","Westdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1987","Westdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1987","Ostdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1987","Ostdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1987","Westdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1987","Westdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1987","Ostdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1987","Ostdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1987","Westdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1987","Westdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1987","Ostdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1987","Ostdeutschland","weiblich","","","",""
"Fast nie oder nie","1988","Westdeutschland","maennlich","2515","0.510105613566427","0.496091559930432","0.524119667202421"
"Fast nie oder nie","1988","Westdeutschland","weiblich","3084","0.606146233408553","0.592571838561678","0.619720628255428"
"Fast nie oder nie","1988","Ostdeutschland","maennlich","","","",""
"Fast nie oder nie","1988","Ostdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1988","Westdeutschland","maennlich","703","0.148831075711201","0.138853220847689","0.158808930574713"
"Mehrmals im Jahr","1988","Westdeutschland","weiblich","628","0.123817387462484","0.114666727780225","0.132968047144743"
"Mehrmals im Jahr","1988","Ostdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1988","Ostdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1988","Westdeutschland","maennlich","291","0.058965251934452","0.0523616117485408","0.0655688921203633"
"Mindestens einmal im Monat","1988","Westdeutschland","weiblich","229","0.0483514362022418","0.0423919714119231","0.0543109009925605"
"Mindestens einmal im Monat","1988","Ostdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1988","Ostdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1988","Westdeutschland","maennlich","1379","0.28209805878792","0.269482249794026","0.294713867781814"
"Mindestens einmal die Woche","1988","Westdeutschland","weiblich","1036","0.221684942926721","0.210144829300871","0.233225056552572"
"Mindestens einmal die Woche","1988","Ostdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1988","Ostdeutschland","weiblich","","","",""
"Fast nie oder nie","1989","Westdeutschland","maennlich","","","",""
"Fast nie oder nie","1989","Westdeutschland","weiblich","","","",""
"Fast nie oder nie","1989","Ostdeutschland","maennlich","","","",""
"Fast nie oder nie","1989","Ostdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1989","Westdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1989","Westdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1989","Ostdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1989","Ostdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1989","Westdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1989","Westdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1989","Ostdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1989","Ostdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1989","Westdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1989","Westdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1989","Ostdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1989","Ostdeutschland","weiblich","","","",""
"Fast nie oder nie","1990","Westdeutschland","maennlich","1814","0.36424706585111","0.35039636464045","0.378097767061771"
"Fast nie oder nie","1990","Westdeutschland","weiblich","2404","0.481379227464243","0.467189422475954","0.495569032452533"
"Fast nie oder nie","1990","Ostdeutschland","maennlich","1255","0.632031488937861","0.611140266390085","0.652922711485636"
"Fast nie oder nie","1990","Ostdeutschland","weiblich","1682","0.77702640217174","0.759789123990468","0.794263680353012"
"Mehrmals im Jahr","1990","Westdeutschland","maennlich","953","0.219595240200526","0.2076800505561","0.231510429844953"
"Mehrmals im Jahr","1990","Westdeutschland","weiblich","836","0.177917340154772","0.167056218386071","0.188778461923474"
"Mehrmals im Jahr","1990","Ostdeutschland","maennlich","338","0.157509545092381","0.141728887273215","0.173290202911546"
"Mehrmals im Jahr","1990","Ostdeutschland","weiblich","290","0.111663814670971","0.0986210701218086","0.124706559220133"
"Mindestens einmal im Monat","1990","Westdeutschland","maennlich","457","0.100115937404409","0.0914767194193954","0.108755155389423"
"Mindestens einmal im Monat","1990","Westdeutschland","weiblich","345","0.0755922411089136","0.0680850373790094","0.0830994448388179"
"Mindestens einmal im Monat","1990","Ostdeutschland","maennlich","98","0.044925664437431","0.0359523060863062","0.0538990227885558"
"Mindestens einmal im Monat","1990","Ostdeutschland","weiblich","49","0.0184230845226184","0.0128542101317104","0.0239919589135264"
"Mindestens einmal die Woche","1990","Westdeutschland","maennlich","1413","0.316041756543954","0.30265989381203","0.329423619275878"
"Mindestens einmal die Woche","1990","Westdeutschland","weiblich","1178","0.265111191272071","0.252575951434663","0.277646431109478"
"Mindestens einmal die Woche","1990","Ostdeutschland","maennlich","356","0.165533301532328","0.149432912755585","0.181633690309071"
"Mindestens einmal die Woche","1990","Ostdeutschland","weiblich","219","0.0928866986346708","0.0808659473015595","0.104907449967782"
"Fast nie oder nie","1991","Westdeutschland","maennlich","","","",""
"Fast nie oder nie","1991","Westdeutschland","weiblich","","","",""
"Fast nie oder nie","1991","Ostdeutschland","maennlich","","","",""
"Fast nie oder nie","1991","Ostdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1991","Westdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1991","Westdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1991","Ostdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1991","Ostdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1991","Westdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1991","Westdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1991","Ostdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1991","Ostdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1991","Westdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1991","Westdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1991","Ostdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1991","Ostdeutschland","weiblich","","","",""
"Fast nie oder nie","1992","Westdeutschland","maennlich","2109","0.464447410460404","0.449862708727969","0.47903211219284"
"Fast nie oder nie","1992","Westdeutschland","weiblich","2656","0.56481202750276","0.550565184182499","0.579058870823021"
"Fast nie oder nie","1992","Ostdeutschland","maennlich","1120","0.622815625611839","0.600824428677783","0.644806822545895"
"Fast nie oder nie","1992","Ostdeutschland","weiblich","1455","0.740436192443117","0.721504895465011","0.759367489421223"
"Mehrmals im Jahr","1992","Westdeutschland","maennlich","781","0.175402612348948","0.164281013578818","0.186524211119079"
"Mehrmals im Jahr","1992","Westdeutschland","weiblich","692","0.144480375993295","0.134377438697811","0.154583313288779"
"Mehrmals im Jahr","1992","Ostdeutschland","maennlich","369","0.18140403872136","0.163919646269085","0.198888431173635"
