"m11104","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1985","Staedtischer Raum","maennlich","2242","","",""
"Fast nie oder nie","1985","Staedtischer Raum","weiblich","2829","","",""
"Fast nie oder nie","1985","Laendlicher Raum","maennlich","602","0.549118680374953","0.520272440797307","0.577964919952599"
"Fast nie oder nie","1985","Laendlicher Raum","weiblich","784","0.659522232667243","0.632744464533979","0.686300000800507"
"Mehrmals im Jahr","1985","Staedtischer Raum","maennlich","595","0.14242727746981","0.131862780983051","0.152991773956569"
"Mehrmals im Jahr","1985","Staedtischer Raum","weiblich","541","0.122051511248099","0.112310379535509","0.131792642960689"
"Mehrmals im Jahr","1985","Laendlicher Raum","maennlich","157","","",""
"Mehrmals im Jahr","1985","Laendlicher Raum","weiblich","138","","",""
"Mindestens einmal im Monat","1985","Staedtischer Raum","maennlich","258","","",""
"Mindestens einmal im Monat","1985","Staedtischer Raum","weiblich","153","","",""
"Mindestens einmal im Monat","1985","Laendlicher Raum","maennlich","75","0.061969910917241","0.0479925945111297","0.0759472273233523"
"Mindestens einmal im Monat","1985","Laendlicher Raum","weiblich","54","0.0406482084643653","0.0294892174621364","0.0518071994665942"
"Mindestens einmal die Woche","1985","Staedtischer Raum","maennlich","1109","","",""
"Mindestens einmal die Woche","1985","Staedtischer Raum","weiblich","815","0.21185856549644","0.199698710086944","0.224018420905936"
"Mindestens einmal die Woche","1985","Laendlicher Raum","maennlich","309","0.262901896680363","0.237381672663268","0.288422120697457"
"Mindestens einmal die Woche","1985","Laendlicher Raum","weiblich","227","","",""
"Fast nie oder nie","1986","Staedtischer Raum","maennlich","2122","","",""
"Fast nie oder nie","1986","Staedtischer Raum","weiblich","2689","","",""
"Fast nie oder nie","1986","Laendlicher Raum","maennlich","564","0.534354951425292","0.50474230264846","0.563967600202123"
"Fast nie oder nie","1986","Laendlicher Raum","weiblich","722","0.648794158881762","0.621096720836807","0.676491596926717"
"Mehrmals im Jahr","1986","Staedtischer Raum","maennlich","527","0.13371742204236","0.123279140367189","0.144155703717532"
"Mehrmals im Jahr","1986","Staedtischer Raum","weiblich","457","0.106608631778711","0.0972214229472564","0.115995840610166"
"Mehrmals im Jahr","1986","Laendlicher Raum","maennlich","154","","",""
"Mehrmals im Jahr","1986","Laendlicher Raum","weiblich","136","","",""
"Mindestens einmal im Monat","1986","Staedtischer Raum","maennlich","258","","",""
"Mindestens einmal im Monat","1986","Staedtischer Raum","weiblich","185","","",""
