year,bula_h,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Schleswig-Holstein,No,0.64730,257,257,0.58877,0.70583
1999,Hamburg,No,0.72881,118,118,0.64825,0.80937
1999,Lower Saxony,Yes,0.07669,93,1027,0.06041,0.09298
1999,Lower Saxony,No,0.63752,934,1027,0.60810,0.66693
1999,Bremen,No,0.81832,78,78,0.73219,0.90444
1999,North Rhine-Westphalia,Yes,0.09494,256,2360,0.08312,0.10677
1999,North Rhine-Westphalia,No,0.62066,2104,2360,0.60108,0.64025
1999,Hesse,Yes,0.06717,58,789,0.04969,0.08465
1999,Hesse,No,0.64123,731,789,0.60774,0.67471
1999,"Rhineland-Palatinate, Saarland",Yes,0.03539,34,678,0.02147,0.04930
1999,"Rhineland-Palatinate, Saarland",No,0.67436,644,678,0.63906,0.70966
1999,Baden-Wuerttemberg,Yes,0.06792,116,1552,0.05540,0.08044
1999,Baden-Wuerttemberg,No,0.64947,1436,1552,0.62572,0.67321
1999,Bavaria,Yes,0.09312,187,1563,0.07871,0.10753
1999,Bavaria,No,0.60602,1376,1563,0.58179,0.63025
1999,Berlin,No,0.68473,425,425,0.64051,0.72896
1999,Brandenburg,No,0.75968,545,545,0.72377,0.79558
1999,Mecklenburg-Western Pomerania,No,0.74530,354,354,0.69985,0.79075
1999,Saxony,Yes,0.04373,60,1098,0.03163,0.05584
1999,Saxony,No,0.76465,1038,1098,0.73954,0.78975
1999,Saxony-Anhalt,Yes,0.04366,31,665,0.02812,0.05920
1999,Saxony-Anhalt,No,0.80638,634,665,0.77632,0.83643
1999,Thuringa,No,0.76912,669,669,0.73717,0.80108
2000,Schleswig-Holstein,Yes,0.05415,47,584,0.03578,0.07252
2000,Schleswig-Holstein,No,0.64181,537,584,0.60289,0.68073
2000,Hamburg,No,0.69886,237,237,0.64033,0.75739
2000,Lower Saxony,Yes,0.07023,165,1794,0.05840,0.08206
2000,Lower Saxony,No,0.64812,1629,1794,0.62602,0.67023
2000,Bremen,No,0.74972,165,165,0.68343,0.81602
2000,North Rhine-Westphalia,Yes,0.09922,585,4472,0.09045,0.10798
2000,North Rhine-Westphalia,No,0.62483,3887,4472,0.61063,0.63902
2000,Hesse,Yes,0.06577,121,1467,0.05308,0.07846
2000,Hesse,No,0.64899,1346,1467,0.62456,0.67343
2000,"Rhineland-Palatinate, Saarland",Yes,0.04852,81,1277,0.03673,0.06031
2000,"Rhineland-Palatinate, Saarland",No,0.65799,1196,1277,0.63196,0.68402
2000,Baden-Wuerttemberg,Yes,0.08114,264,2584,0.07061,0.09167
2000,Baden-Wuerttemberg,No,0.61524,2320,2584,0.59648,0.63400
2000,Bavaria,Yes,0.08336,333,2865,0.07323,0.09348
2000,Bavaria,No,0.61788,2532,2865,0.60008,0.63567
