year,age_gr,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,Yes,0.07411,186,2732,0.06428,0.08393
1999,17-29 y.,No,0.83082,2546,2732,0.81676,0.84488
1999,30-45 y.,Yes,0.09094,377,4174,0.08222,0.09966
1999,30-45 y.,No,0.77321,3797,4174,0.76051,0.78592
1999,46-65 y.,Yes,0.08621,275,3724,0.07719,0.09522
1999,46-65 y.,No,0.78094,3449,3724,0.76766,0.79423
1999,66 and older,Yes,0.06664,105,1656,0.05462,0.07865
1999,66 and older,No,0.83893,1551,1656,0.82122,0.85664
2000,17-29 y.,Yes,0.06840,290,4160,0.06073,0.07607
2000,17-29 y.,No,0.83312,3870,4160,0.82179,0.84446
2000,30-45 y.,Yes,0.08942,692,7164,0.08281,0.09603
2000,30-45 y.,No,0.77734,6472,7164,0.76770,0.78697
2000,46-65 y.,Yes,0.09778,665,6721,0.09068,0.10488
2000,46-65 y.,No,0.76304,6056,6721,0.75288,0.77321
2000,66 and older,Yes,0.06616,223,3293,0.05767,0.07465
2000,66 and older,No,0.84538,3070,3293,0.83302,0.85773
2001,17-29 y.,Yes,0.07261,271,3714,0.06427,0.08096
2001,17-29 y.,No,0.82932,3443,3714,0.81721,0.84142
2001,30-45 y.,Yes,0.10494,693,6439,0.09746,0.11243
2001,30-45 y.,No,0.76342,5746,6439,0.75304,0.77380
2001,46-65 y.,Yes,0.08656,551,6135,0.07953,0.09360
2001,46-65 y.,No,0.76971,5584,6135,0.75917,0.78025
2001,66 and older,Yes,0.06548,204,3096,0.05677,0.07420
2001,66 and older,No,0.83983,2892,3096,0.82690,0.85275
2002,17-29 y.,Yes,0.07304,314,3697,0.06465,0.08143
2002,17-29 y.,No,0.83737,3383,3697,0.82548,0.84927
2002,30-45 y.,Yes,0.09759,768,6290,0.09026,0.10492
2002,30-45 y.,No,0.77772,5522,6290,0.76744,0.78799
2002,46-65 y.,Yes,0.10232,820,6330,0.09485,0.10978
2002,46-65 y.,No,0.75407,5510,6330,0.74346,0.76468
2002,66 and older,Yes,0.07883,290,3245,0.06956,0.08811
2002,66 and older,No,0.83813,2955,3245,0.82546,0.85081
2003,17-29 y.,Yes,0.07806,333,3564,0.06925,0.08686
2003,17-29 y.,No,0.82871,3231,3564,0.81633,0.84108
2003,30-45 y.,Yes,0.10659,743,5898,0.09872,0.11447
2003,30-45 y.,No,0.76641,5155,5898,0.75561,0.77721
2003,46-65 y.,Yes,0.09480,765,6101,0.08744,0.10215
2003,46-65 y.,No,0.75819,5336,6101,0.74744,0.76894
2003,66 and older,Yes,0.07897,299,3274,0.06973,0.08821
2003,66 and older,No,0.83159,2975,3274,0.81877,0.84441
2004,17-29 y.,Yes,0.08450,355,3508,0.07530,0.09371
2004,17-29 y.,No,0.82639,3153,3508,0.81386,0.83893
2004,30-45 y.,Yes,0.11108,726,5534,0.10280,0.11936
2004,30-45 y.,No,0.75794,4808,5534,0.74666,0.76923
2004,46-65 y.,Yes,0.10592,825,5913,0.09808,0.11377
2004,46-65 y.,No,0.74173,5088,5913,0.73057,0.75289
2004,66 and older,Yes,0.08404,333,3376,0.07468,0.09340
2004,66 and older,No,0.82989,3043,3376,0.81721,0.84256
2005,17-29 y.,Yes,0.09649,357,3382,0.08654,0.10645
2005,17-29 y.,No,0.81150,3025,3382,0.79832,0.82469
2005,30-45 y.,Yes,0.12432,768,5139,0.11529,0.13334
2005,30-45 y.,No,0.74015,4371,5139,0.72816,0.75214
2005,46-65 y.,Yes,0.11254,827,5609,0.10427,0.12081
2005,46-65 y.,No,0.72971,4782,5609,0.71809,0.74133
2005,66 and older,Yes,0.09612,366,3366,0.08616,0.10608
2005,66 and older,No,0.81596,3000,3366,0.80286,0.82905
2006,17-29 y.,Yes,0.10390,396,3263,0.09343,0.11437
2006,17-29 y.,No,0.74893,2867,3263,0.73405,0.76381
2006,30-45 y.,Yes,0.14059,915,5309,0.13124,0.14994
2006,30-45 y.,No,0.72554,4394,5309,0.71354,0.73755
2006,46-65 y.,Yes,0.13630,1088,6065,0.12766,0.14493
2006,46-65 y.,No,0.70652,4977,6065,0.69506,0.71798
2006,66 and older,Yes,0.09883,467,3944,0.08951,0.10814
2006,66 and older,No,0.80634,3477,3944,0.79401,0.81868
2007,17-29 y.,Yes,0.10964,382,2996,0.09845,0.12083
2007,17-29 y.,No,0.71865,2614,2996,0.70254,0.73475
2007,30-45 y.,Yes,0.15801,921,4822,0.14771,0.16830
2007,30-45 y.,No,0.70193,3901,4822,0.68902,0.71484
2007,46-65 y.,Yes,0.14729,1082,5665,0.13806,0.15652
2007,46-65 y.,No,0.69941,4583,5665,0.68747,0.71135
2007,66 and older,Yes,0.11323,530,3833,0.10319,0.12326
2007,66 and older,No,0.78509,3303,3833,0.77208,0.79809
2008,17-29 y.,Yes,0.12784,422,2830,0.11554,0.14015
2008,17-29 y.,No,0.72663,2408,2830,0.71021,0.74305
2008,30-45 y.,Yes,0.19693,984,4432,0.18522,0.20864
2008,30-45 y.,No,0.67453,3448,4432,0.66073,0.68833
2008,46-65 y.,Yes,0.16539,1161,5421,0.15550,0.17529
2008,46-65 y.,No,0.68955,4260,5421,0.67724,0.70187
2008,66 and older,Yes,0.14149,625,3784,0.13038,0.15260
2008,66 and older,No,0.75907,3159,3784,0.74544,0.77270
2010,17-29 y.,Yes,0.14267,495,3615,0.13127,0.15407
2010,17-29 y.,No,0.72455,3120,3615,0.70999,0.73912
2010,30-45 y.,Yes,0.20286,1752,7877,0.19398,0.21174
2010,30-45 y.,No,0.65626,6125,7877,0.64577,0.66675
2010,46-65 y.,Yes,0.18384,1342,5701,0.17379,0.19390
2010,46-65 y.,No,0.66725,4359,5701,0.65502,0.67948
2010,66 and older,Yes,0.15329,629,3484,0.14132,0.16525
2010,66 and older,No,0.74818,2855,3484,0.73376,0.76259
2011,17-29 y.,Yes,0.11899,396,2680,0.10673,0.13125
2011,17-29 y.,No,0.63952,2284,2680,0.62134,0.65770
2011,30-45 y.,Yes,0.16559,1024,4185,0.15432,0.17685
2011,30-45 y.,No,0.50114,3161,4185,0.48599,0.51629
2011,46-65 y.,Yes,0.18700,1577,6395,0.17745,0.19656
2011,46-65 y.,No,0.62321,4818,6395,0.61133,0.63509
2011,66 and older,Yes,0.16822,861,4376,0.15713,0.17930
2011,66 and older,No,0.70815,3515,4376,0.69468,0.72162
2012,17-29 y.,Yes,0.12777,504,3657,0.11695,0.13860
2012,17-29 y.,No,0.73005,3153,3657,0.71566,0.74444
2012,30-45 y.,Yes,0.21864,1897,7965,0.20956,0.22772
2012,30-45 y.,No,0.64306,6068,7965,0.63253,0.65358
2012,46-65 y.,Yes,0.20741,2047,7834,0.19843,0.21639
2012,46-65 y.,No,0.64825,5787,7834,0.63767,0.65882
2012,66 and older,Yes,0.16937,904,4420,0.15831,0.18043
2012,66 and older,No,0.70615,3516,4420,0.69272,0.71958
2013,17-29 y.,Yes,0.10599,379,2279,0.09335,0.11863
2013,17-29 y.,No,0.51990,1900,2279,0.49939,0.54042
2013,30-45 y.,Yes,0.16091,948,3535,0.14880,0.17303
2013,30-45 y.,No,0.41754,2587,3535,0.40128,0.43380
2013,46-65 y.,Yes,0.21005,1718,6086,0.19981,0.22028
2013,46-65 y.,No,0.55720,4368,6086,0.54472,0.56968
2013,66 and older,Yes,0.18640,941,4166,0.17458,0.19823
2013,66 and older,No,0.67424,3225,4166,0.66001,0.68848
2014,17-29 y.,Yes,0.12553,498,3966,0.11522,0.13584
2014,17-29 y.,No,0.73455,3468,3966,0.72081,0.74830
2014,30-45 y.,Yes,0.23774,1798,7658,0.22820,0.24727
2014,30-45 y.,No,0.64003,5860,7658,0.62928,0.65078
2014,46-65 y.,Yes,0.22761,2090,7911,0.21837,0.23685
2014,46-65 y.,No,0.62722,5821,7911,0.61656,0.63787
2014,66 and older,Yes,0.19445,980,4180,0.18245,0.20645
2014,66 and older,No,0.66574,3200,4180,0.65144,0.68004
2016,17-29 y.,Yes,0.08702,367,3512,0.07770,0.09635
2016,17-29 y.,No,0.74020,3145,3512,0.72570,0.75471
2016,30-45 y.,Yes,0.21805,1376,6422,0.20795,0.22815
2016,30-45 y.,No,0.65894,5046,6422,0.64734,0.67053
2016,46-65 y.,Yes,0.21836,1801,7349,0.20891,0.22780
2016,46-65 y.,No,0.64019,5548,7349,0.62921,0.65116
2016,66 and older,Yes,0.16692,800,3920,0.15525,0.17860
2016,66 and older,No,0.68514,3120,3920,0.67059,0.69968
2018,17-29 y.,Yes,0.11561,449,3899,0.10557,0.12565
2018,17-29 y.,No,0.71256,3450,3899,0.69835,0.72676
2018,30-45 y.,Yes,0.20371,1321,6155,0.19365,0.21377
2018,30-45 y.,No,0.68433,4834,6155,0.67272,0.69595
2018,46-65 y.,Yes,0.22780,2128,8321,0.21879,0.23681
2018,46-65 y.,No,0.63611,6193,8321,0.62577,0.64645
2018,66 and older,Yes,0.17709,888,4123,0.16544,0.18875
2018,66 and older,No,0.66497,3235,4123,0.65056,0.67938
2020,17-29 y.,Yes,0.09610,428,3989,0.08695,0.10525
2020,17-29 y.,No,0.73017,3561,3989,0.71639,0.74394
