year,age_gr,migback,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,No migration background,Yes,0.08319,163,1918,0.07082,0.09555
1999,17-29 y.,No migration background,No,0.80760,1755,1918,0.78995,0.82524
1999,17-29 y.,Direct migration background,No,0.92879,353,353,0.90192,0.95565
1999,17-29 y.,Indirect migration background,No,0.87952,438,438,0.84900,0.91004
1999,30-45 y.,No migration background,Yes,0.10018,351,3375,0.09005,0.11031
1999,30-45 y.,No migration background,No,0.75269,3024,3375,0.73813,0.76725
1999,30-45 y.,Direct migration background,No,0.89885,690,690,0.87634,0.92137
1999,30-45 y.,Indirect migration background,No,0.86983,83,83,0.79700,0.94266
1999,46-65 y.,No migration background,Yes,0.09271,258,2892,0.08214,0.10328
1999,46-65 y.,No migration background,No,0.76195,2634,2892,0.74642,0.77747
1999,46-65 y.,Direct migration background,No,0.87817,797,797,0.85545,0.90089
1999,66 and older,No migration background,Yes,0.06892,94,1414,0.05572,0.08213
1999,66 and older,No migration background,No,0.83450,1320,1414,0.81512,0.85388
1999,66 and older,Direct migration background,No,0.87812,227,227,0.83547,0.92078
2000,17-29 y.,No migration background,Yes,0.07838,252,3015,0.06879,0.08798
2000,17-29 y.,No migration background,No,0.80865,2763,3015,0.79461,0.82269
2000,17-29 y.,Direct migration background,No,0.91474,546,546,0.89129,0.93819
2000,17-29 y.,Indirect migration background,No,0.89357,561,561,0.86802,0.91911
2000,30-45 y.,No migration background,Yes,0.09643,634,5896,0.08889,0.10396
2000,30-45 y.,No migration background,No,0.75776,5262,5896,0.74682,0.76869
2000,30-45 y.,Direct migration background,Yes,0.03743,40,1126,0.02634,0.04853
2000,30-45 y.,Direct migration background,No,0.90374,1086,1126,0.88650,0.92097
2000,30-45 y.,Indirect migration background,No,0.74268,124,124,0.66542,0.81994
2000,46-65 y.,No migration background,Yes,0.10565,619,5579,0.09759,0.11372
2000,46-65 y.,No migration background,No,0.74460,4960,5579,0.73315,0.75604
2000,46-65 y.,Direct migration background,Yes,0.05114,45,1116,0.03821,0.06407
2000,46-65 y.,Direct migration background,No,0.87343,1071,1116,0.85392,0.89295
2000,66 and older,No migration background,Yes,0.06942,212,2942,0.06023,0.07861
2000,66 and older,No migration background,No,0.83999,2730,2942,0.82673,0.85324
2000,66 and older,Direct migration background,No,0.90382,327,327,0.87182,0.93583
2001,17-29 y.,No migration background,Yes,0.08440,241,2725,0.07396,0.09483
2001,17-29 y.,No migration background,No,0.80397,2484,2725,0.78906,0.81888
2001,17-29 y.,Direct migration background,No,0.92631,463,463,0.90249,0.95014
2001,17-29 y.,Indirect migration background,No,0.87408,496,496,0.84485,0.90330
2001,30-45 y.,No migration background,Yes,0.11251,636,5305,0.10400,0.12101
2001,30-45 y.,No migration background,No,0.74445,4669,5305,0.73271,0.75619
2001,30-45 y.,Direct migration background,Yes,0.04247,31,979,0.02983,0.05511
2001,30-45 y.,Direct migration background,No,0.88889,948,979,0.86920,0.90859
2001,30-45 y.,Indirect migration background,No,0.71677,129,129,0.63872,0.79483
2001,46-65 y.,No migration background,Yes,0.09499,523,5123,0.08696,0.10302
2001,46-65 y.,No migration background,No,0.75178,4600,5123,0.73995,0.76361
2001,46-65 y.,Direct migration background,No,0.88201,957,957,0.86157,0.90246
2001,66 and older,No migration background,Yes,0.06738,192,2763,0.05803,0.07673
2001,66 and older,No migration background,No,0.83481,2571,2763,0.82096,0.84866
2001,66 and older,Direct migration background,No,0.90881,309,309,0.87666,0.94096
2002,17-29 y.,No migration background,Yes,0.08828,284,2786,0.07774,0.09881
2002,17-29 y.,No migration background,No,0.80517,2502,2786,0.79046,0.81988
2002,17-29 y.,Direct migration background,No,0.96431,419,419,0.94653,0.98210
2002,17-29 y.,Indirect migration background,No,0.88908,462,462,0.86041,0.91774
2002,30-45 y.,No migration background,Yes,0.10503,703,5222,0.09671,0.11334
2002,30-45 y.,No migration background,No,0.75839,4519,5222,0.74678,0.77000
2002,30-45 y.,Direct migration background,Yes,0.05254,44,897,0.03793,0.06715
2002,30-45 y.,Direct migration background,No,0.88830,853,897,0.86767,0.90893
2002,30-45 y.,Indirect migration background,No,0.83016,150,150,0.76986,0.89045
2002,46-65 y.,No migration background,Yes,0.11039,772,5333,0.10198,0.11880
2002,46-65 y.,No migration background,No,0.73294,4561,5333,0.72106,0.74481
2002,46-65 y.,Direct migration background,Yes,0.05551,46,963,0.04104,0.06998
2002,46-65 y.,Direct migration background,No,0.88113,917,963,0.86068,0.90159
2002,46-65 y.,Indirect migration background,No,0.87318,32,32,0.75604,0.99033
2002,66 and older,No migration background,Yes,0.08300,277,2906,0.07296,0.09303
2002,66 and older,No migration background,No,0.83241,2629,2906,0.81883,0.84599
2002,66 and older,Direct migration background,No,0.90274,317,317,0.87007,0.93541
2003,17-29 y.,No migration background,Yes,0.09181,299,2733,0.08098,0.10264
2003,17-29 y.,No migration background,No,0.80000,2434,2733,0.78500,0.81500
2003,17-29 y.,Direct migration background,No,0.95527,355,355,0.93374,0.97680
2003,17-29 y.,Indirect migration background,No,0.87025,442,442,0.83888,0.90161
2003,30-45 y.,No migration background,Yes,0.11585,681,4871,0.10686,0.12484
2003,30-45 y.,No migration background,No,0.74578,4190,4871,0.73355,0.75801
2003,30-45 y.,Direct migration background,Yes,0.04594,35,834,0.03172,0.06015
2003,30-45 y.,Direct migration background,No,0.88601,799,834,0.86443,0.90760
2003,30-45 y.,Indirect migration background,No,0.78244,166,166,0.71949,0.84540
2003,46-65 y.,No migration background,Yes,0.10377,721,5140,0.09543,0.11210
2003,46-65 y.,No migration background,No,0.73436,4419,5140,0.72228,0.74643
2003,46-65 y.,Direct migration background,Yes,0.04233,40,922,0.02933,0.05533
2003,46-65 y.,Direct migration background,No,0.89793,882,922,0.87838,0.91748
2003,46-65 y.,Indirect migration background,No,0.87615,35,35,0.76542,0.98687
2003,66 and older,No migration background,Yes,0.08302,287,2932,0.07303,0.09301
2003,66 and older,No migration background,No,0.82651,2645,2932,0.81280,0.84022
2003,66 and older,Direct migration background,No,0.88988,323,323,0.85569,0.92407
2004,17-29 y.,No migration background,Yes,0.09650,310,2678,0.08532,0.10769
2004,17-29 y.,No migration background,No,0.80508,2368,2678,0.79007,0.82008
2004,17-29 y.,Direct migration background,No,0.90128,337,337,0.86938,0.93317
2004,17-29 y.,Indirect migration background,No,0.87118,448,448,0.84012,0.90224
2004,30-45 y.,No migration background,Yes,0.12248,675,4537,0.11294,0.13202
2004,30-45 y.,No migration background,No,0.73018,3862,4537,0.71726,0.74309
2004,30-45 y.,Direct migration background,No,0.91555,770,770,0.89589,0.93520
2004,30-45 y.,Indirect migration background,No,0.76977,176,176,0.70739,0.83214
2004,46-65 y.,No migration background,Yes,0.11743,777,4985,0.10849,0.12637
2004,46-65 y.,No migration background,No,0.71468,4208,4985,0.70214,0.72722
2004,46-65 y.,Direct migration background,Yes,0.04023,44,887,0.02729,0.05317
2004,46-65 y.,Direct migration background,No,0.89593,843,887,0.87583,0.91604
2004,46-65 y.,Indirect migration background,No,0.79556,37,37,0.66382,0.92730
2004,66 and older,No migration background,Yes,0.08724,315,3030,0.07719,0.09729
2004,66 and older,No migration background,No,0.82426,2715,3030,0.81070,0.83781
2004,66 and older,Direct migration background,No,0.89466,322,322,0.86108,0.92825
2005,17-29 y.,No migration background,Yes,0.11179,317,2604,0.09968,0.12389
2005,17-29 y.,No migration background,No,0.78218,2287,2604,0.76632,0.79804
2005,17-29 y.,Direct migration background,No,0.91598,287,287,0.88383,0.94813
2005,17-29 y.,Indirect migration background,No,0.88202,451,451,0.85221,0.91182
2005,30-45 y.,No migration background,Yes,0.13288,690,4188,0.12260,0.14316
2005,30-45 y.,No migration background,No,0.71919,3498,4188,0.70558,0.73281
2005,30-45 y.,Direct migration background,Yes,0.07144,46,734,0.05279,0.09009
2005,30-45 y.,Direct migration background,No,0.84874,688,734,0.82280,0.87468
2005,30-45 y.,Indirect migration background,Yes,0.14776,32,217,0.10044,0.19509
2005,30-45 y.,Indirect migration background,No,0.77754,185,217,0.72208,0.83301
2005,46-65 y.,No migration background,Yes,0.12543,776,4743,0.11600,0.13485
2005,46-65 y.,No migration background,No,0.70096,3967,4743,0.68792,0.71399
