year,age_gr,bula_h,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,Schleswig-Holstein,No,0.74993,46,46,0.62340,0.87646
1999,17-29 y.,Lower Saxony,No,0.81266,217,217,0.76062,0.86469
1999,17-29 y.,North Rhine-Westphalia,Yes,0.07510,40,534,0.05272,0.09747
1999,17-29 y.,North Rhine-Westphalia,No,0.82524,494,534,0.79300,0.85748
1999,17-29 y.,Hesse,No,0.77022,151,151,0.70290,0.83754
1999,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.89058,129,129,0.83649,0.94466
1999,17-29 y.,Baden-Wuerttemberg,No,0.87175,371,371,0.83768,0.90582
1999,17-29 y.,Bavaria,Yes,0.14164,45,341,0.10457,0.17870
1999,17-29 y.,Bavaria,No,0.74184,296,341,0.69532,0.78836
1999,17-29 y.,Berlin,No,0.87478,94,94,0.80751,0.94204
1999,17-29 y.,Brandenburg,No,0.83440,120,120,0.76761,0.90119
1999,17-29 y.,Mecklenburg-Western Pomerania,No,0.80507,80,80,0.71771,0.89243
1999,17-29 y.,Saxony,No,0.90573,219,219,0.86694,0.94452
1999,17-29 y.,Saxony-Anhalt,No,0.87706,137,137,0.82187,0.93224
1999,17-29 y.,Thuringa,No,0.91576,144,144,0.87023,0.96128
1999,30-45 y.,Schleswig-Holstein,No,0.77201,94,94,0.68674,0.85727
1999,30-45 y.,Lower Saxony,Yes,0.11778,41,367,0.08475,0.15080
1999,30-45 y.,Lower Saxony,No,0.74562,326,367,0.70100,0.79023
1999,30-45 y.,North Rhine-Westphalia,Yes,0.14015,108,805,0.11615,0.16414
1999,30-45 y.,North Rhine-Westphalia,No,0.70651,697,805,0.67503,0.73798
1999,30-45 y.,Hesse,No,0.76897,234,234,0.71485,0.82309
1999,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.84021,251,251,0.79479,0.88563
