year,age_gr,quintil_oecd,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,1st Quintile,No,0.92088,698,698,0.90084,0.94092
1999,17-29 y.,2nd Quintile,No,0.90742,588,588,0.88397,0.93087
1999,17-29 y.,3rd Quintile,Yes,0.06429,39,569,0.04412,0.08446
1999,17-29 y.,3rd Quintile,No,0.81978,530,569,0.78817,0.85139
1999,17-29 y.,4th Quintile,Yes,0.11978,57,498,0.09123,0.14832
1999,17-29 y.,4th Quintile,No,0.76126,441,498,0.72378,0.79874
1999,17-29 y.,5th Quintile,Yes,0.11098,38,327,0.07689,0.14508
1999,17-29 y.,5th Quintile,No,0.67487,289,327,0.62403,0.72572
1999,30-45 y.,1st Quintile,Yes,0.05690,31,838,0.04121,0.07260
1999,30-45 y.,1st Quintile,No,0.90708,807,838,0.88742,0.92675
1999,30-45 y.,2nd Quintile,Yes,0.04784,43,1009,0.03467,0.06102
1999,30-45 y.,2nd Quintile,No,0.89386,966,1009,0.87484,0.91287
1999,30-45 y.,3rd Quintile,Yes,0.08335,76,904,0.06532,0.10138
1999,30-45 y.,3rd Quintile,No,0.80737,828,904,0.78165,0.83309
1999,30-45 y.,4th Quintile,Yes,0.11762,107,818,0.09553,0.13971
1999,30-45 y.,4th Quintile,No,0.74496,711,818,0.71507,0.77485
1999,30-45 y.,5th Quintile,Yes,0.14052,120,605,0.11281,0.16824
1999,30-45 y.,5th Quintile,No,0.54060,485,605,0.50086,0.58035
1999,46-65 y.,1st Quintile,No,0.91255,573,573,0.88940,0.93570
1999,46-65 y.,2nd Quintile,No,0.94362,693,693,0.92644,0.96081
1999,46-65 y.,3rd Quintile,Yes,0.05461,31,754,0.03838,0.07084
1999,46-65 y.,3rd Quintile,No,0.88968,723,754,0.86731,0.91206
1999,46-65 y.,4th Quintile,Yes,0.07563,58,871,0.05806,0.09320
1999,46-65 y.,4th Quintile,No,0.80895,813,871,0.78283,0.83508
1999,46-65 y.,5th Quintile,Yes,0.16669,157,804,0.14091,0.19247
1999,46-65 y.,5th Quintile,No,0.54586,647,804,0.51143,0.58030
1999,66 and older,1st Quintile,No,0.96229,349,349,0.94228,0.98231
1999,66 and older,2nd Quintile,No,0.92683,429,429,0.90216,0.95150
1999,66 and older,3rd Quintile,No,0.88211,369,369,0.84916,0.91506
1999,66 and older,4th Quintile,No,0.82828,257,257,0.78208,0.87448
1999,66 and older,5th Quintile,Yes,0.20419,53,200,0.14818,0.26020
1999,66 and older,5th Quintile,No,0.51373,147,200,0.44428,0.58317
2000,17-29 y.,1st Quintile,No,0.94433,665,665,0.92689,0.96177
2000,17-29 y.,2nd Quintile,No,0.89924,570,570,0.87451,0.92397
2000,17-29 y.,3rd Quintile,Yes,0.05820,31,534,0.03832,0.07808
2000,17-29 y.,3rd Quintile,No,0.85824,503,534,0.82863,0.88785
2000,17-29 y.,4th Quintile,Yes,0.07756,37,464,0.05319,0.10192
2000,17-29 y.,4th Quintile,No,0.78059,427,464,0.74289,0.81829
2000,17-29 y.,5th Quintile,Yes,0.10943,42,298,0.07393,0.14494
2000,17-29 y.,5th Quintile,No,0.67315,256,298,0.61981,0.72650
2000,30-45 y.,1st Quintile,No,0.92650,741,741,0.90770,0.94530
2000,30-45 y.,2nd Quintile,Yes,0.06099,62,988,0.04606,0.07592
2000,30-45 y.,2nd Quintile,No,0.88744,926,988,0.86772,0.90716
2000,30-45 y.,3rd Quintile,Yes,0.09266,77,870,0.07338,0.11193
2000,30-45 y.,3rd Quintile,No,0.81754,793,870,0.79186,0.84322
2000,30-45 y.,4th Quintile,Yes,0.10315,94,800,0.08206,0.12424
2000,30-45 y.,4th Quintile,No,0.75152,706,800,0.72156,0.78149
2000,30-45 y.,5th Quintile,Yes,0.12854,107,606,0.10187,0.15521
2000,30-45 y.,5th Quintile,No,0.51797,499,606,0.47815,0.55779
2000,46-65 y.,1st Quintile,No,0.93750,609,609,0.91826,0.95674
2000,46-65 y.,2nd Quintile,No,0.93102,633,633,0.91126,0.95078
2000,46-65 y.,3rd Quintile,Yes,0.06356,41,756,0.04616,0.08096
2000,46-65 y.,3rd Quintile,No,0.87496,715,756,0.85136,0.89855
2000,46-65 y.,4th Quintile,Yes,0.09053,69,852,0.07125,0.10981
2000,46-65 y.,4th Quintile,No,0.80812,783,852,0.78167,0.83458
2000,46-65 y.,5th Quintile,Yes,0.18714,164,765,0.15948,0.21479
2000,46-65 y.,5th Quintile,No,0.52306,601,765,0.48764,0.55848
2000,66 and older,1st Quintile,No,0.95990,439,439,0.94153,0.97827
2000,66 and older,2nd Quintile,No,0.93230,413,413,0.90804,0.95656
2000,66 and older,3rd Quintile,No,0.87696,334,334,0.84168,0.91224
2000,66 and older,4th Quintile,No,0.84875,243,243,0.80361,0.89390
2000,66 and older,5th Quintile,Yes,0.18800,47,180,0.13076,0.24524
2000,66 and older,5th Quintile,No,0.52634,133,180,0.45319,0.59949
2001,17-29 y.,1st Quintile,No,0.89767,916,916,0.87803,0.91731
2001,17-29 y.,2nd Quintile,Yes,0.04692,39,854,0.03272,0.06111
2001,17-29 y.,2nd Quintile,No,0.88729,815,854,0.86607,0.90851
2001,17-29 y.,3rd Quintile,Yes,0.08199,63,763,0.06251,0.10147
2001,17-29 y.,3rd Quintile,No,0.83513,700,763,0.80878,0.86148
2001,17-29 y.,4th Quintile,Yes,0.10641,82,709,0.08369,0.12912
2001,17-29 y.,4th Quintile,No,0.77147,627,709,0.74054,0.80240
2001,17-29 y.,5th Quintile,Yes,0.11194,58,443,0.08255,0.14134
2001,17-29 y.,5th Quintile,No,0.68222,385,443,0.63881,0.72562
2001,30-45 y.,1st Quintile,Yes,0.03162,35,1192,0.02168,0.04156
2001,30-45 y.,1st Quintile,No,0.94653,1157,1192,0.93375,0.95930
2001,30-45 y.,2nd Quintile,Yes,0.08369,103,1460,0.06948,0.09790
2001,30-45 y.,2nd Quintile,No,0.85943,1357,1460,0.84160,0.87727
2001,30-45 y.,3rd Quintile,Yes,0.10025,154,1454,0.08480,0.11569
2001,30-45 y.,3rd Quintile,No,0.82184,1300,1454,0.80216,0.84151
2001,30-45 y.,4th Quintile,Yes,0.12172,174,1310,0.10401,0.13943
2001,30-45 y.,4th Quintile,No,0.72996,1136,1310,0.70591,0.75401
2001,30-45 y.,5th Quintile,Yes,0.16896,227,1023,0.14599,0.19194
2001,30-45 y.,5th Quintile,No,0.51072,796,1023,0.48007,0.54136
2001,46-65 y.,1st Quintile,No,0.93670,892,892,0.92071,0.95269
2001,46-65 y.,2nd Quintile,No,0.92640,1049,1049,0.91059,0.94221
2001,46-65 y.,3rd Quintile,Yes,0.06376,84,1302,0.05048,0.07703
2001,46-65 y.,3rd Quintile,No,0.86217,1218,1302,0.84344,0.88091
2001,46-65 y.,4th Quintile,Yes,0.10033,143,1467,0.08495,0.11571
2001,46-65 y.,4th Quintile,No,0.78584,1324,1467,0.76484,0.80684
2001,46-65 y.,5th Quintile,Yes,0.14721,274,1374,0.12847,0.16595
2001,46-65 y.,5th Quintile,No,0.53790,1100,1374,0.51152,0.56427
2001,66 and older,1st Quintile,No,0.95362,685,685,0.93786,0.96938
2001,66 and older,2nd Quintile,No,0.93441,794,794,0.91717,0.95164
2001,66 and older,3rd Quintile,Yes,0.05007,36,689,0.03377,0.06637
2001,66 and older,3rd Quintile,No,0.90117,653,689,0.87886,0.92347
2001,66 and older,4th Quintile,Yes,0.12053,61,525,0.09265,0.14841
2001,66 and older,4th Quintile,No,0.77124,464,525,0.73527,0.80720
2001,66 and older,5th Quintile,Yes,0.14415,77,373,0.10846,0.17984
2001,66 and older,5th Quintile,No,0.53469,296,373,0.48400,0.58538
2002,17-29 y.,1st Quintile,Yes,0.04490,34,805,0.03059,0.05921
2002,17-29 y.,1st Quintile,No,0.90483,771,805,0.88455,0.92512
2002,17-29 y.,2nd Quintile,No,0.91499,731,731,0.89476,0.93522
2002,17-29 y.,3rd Quintile,Yes,0.07725,54,696,0.05740,0.09710
2002,17-29 y.,3rd Quintile,No,0.84978,642,696,0.82322,0.87634
2002,17-29 y.,4th Quintile,Yes,0.10482,67,657,0.08138,0.12826
2002,17-29 y.,4th Quintile,No,0.79216,590,657,0.76111,0.82321
2002,17-29 y.,5th Quintile,Yes,0.12608,79,552,0.09837,0.15380
2002,17-29 y.,5th Quintile,No,0.69499,473,552,0.65654,0.73343
2002,30-45 y.,1st Quintile,No,0.93654,984,984,0.92130,0.95178
2002,30-45 y.,2nd Quintile,Yes,0.08913,95,1187,0.07291,0.10535
2002,30-45 y.,2nd Quintile,No,0.87445,1092,1187,0.85559,0.89331
2002,30-45 y.,3rd Quintile,Yes,0.09179,135,1285,0.07599,0.10758
2002,30-45 y.,3rd Quintile,No,0.82190,1150,1285,0.80097,0.84283
2002,30-45 y.,4th Quintile,Yes,0.10766,168,1324,0.09096,0.12437
2002,30-45 y.,4th Quintile,No,0.76759,1156,1324,0.74483,0.79035
2002,30-45 y.,5th Quintile,Yes,0.14062,237,1166,0.12065,0.16058
2002,30-45 y.,5th Quintile,No,0.58098,929,1166,0.55264,0.60931
2002,46-65 y.,1st Quintile,No,0.94959,872,872,0.93507,0.96412
2002,46-65 y.,2nd Quintile,Yes,0.06202,48,990,0.04699,0.07705
2002,46-65 y.,2nd Quintile,No,0.89838,942,990,0.87955,0.91721
2002,46-65 y.,3rd Quintile,Yes,0.06565,74,1110,0.05108,0.08023
2002,46-65 y.,3rd Quintile,No,0.86320,1036,1110,0.84298,0.88343
2002,46-65 y.,4th Quintile,Yes,0.12269,150,1301,0.10485,0.14052
2002,46-65 y.,4th Quintile,No,0.76527,1151,1301,0.74223,0.78831
2002,46-65 y.,5th Quintile,Yes,0.16118,324,1506,0.14260,0.17976
2002,46-65 y.,5th Quintile,No,0.56910,1182,1506,0.54408,0.59411
2002,66 and older,1st Quintile,No,0.94156,637,637,0.92332,0.95979
2002,66 and older,2nd Quintile,Yes,0.04161,31,855,0.02821,0.05500
2002,66 and older,2nd Quintile,No,0.92266,824,855,0.90475,0.94058
2002,66 and older,3rd Quintile,No,0.89168,646,646,0.86770,0.91567
2002,66 and older,4th Quintile,Yes,0.08836,47,548,0.06458,0.11215
2002,66 and older,4th Quintile,No,0.80285,501,548,0.76951,0.83619
2002,66 and older,5th Quintile,Yes,0.22036,108,417,0.18053,0.26019
2002,66 and older,5th Quintile,No,0.54557,309,417,0.49773,0.59342
2003,17-29 y.,1st Quintile,No,0.92699,788,788,0.90882,0.94517
2003,17-29 y.,2nd Quintile,Yes,0.05749,45,739,0.04069,0.07428
2003,17-29 y.,2nd Quintile,No,0.89816,694,739,0.87634,0.91998
2003,17-29 y.,3rd Quintile,Yes,0.07677,56,692,0.05692,0.09662
2003,17-29 y.,3rd Quintile,No,0.83795,636,692,0.81048,0.86543
2003,17-29 y.,4th Quintile,Yes,0.13074,90,700,0.10574,0.15573
2003,17-29 y.,4th Quintile,No,0.75850,610,700,0.72677,0.79023
2003,17-29 y.,5th Quintile,Yes,0.13935,112,614,0.11193,0.16676
2003,17-29 y.,5th Quintile,No,0.61043,502,614,0.57183,0.64904
2003,30-45 y.,1st Quintile,Yes,0.04696,39,926,0.03332,0.06059
2003,30-45 y.,1st Quintile,No,0.91374,887,926,0.89564,0.93183
2003,30-45 y.,2nd Quintile,Yes,0.08769,100,1207,0.07172,0.10365
2003,30-45 y.,2nd Quintile,No,0.87665,1107,1207,0.85809,0.89521
2003,30-45 y.,3rd Quintile,Yes,0.09406,120,1250,0.07787,0.11025
2003,30-45 y.,3rd Quintile,No,0.81826,1130,1250,0.79687,0.83965
2003,30-45 y.,4th Quintile,Yes,0.13794,192,1284,0.11907,0.15681
2003,30-45 y.,4th Quintile,No,0.73761,1092,1284,0.71354,0.76168
2003,30-45 y.,5th Quintile,Yes,0.14742,292,1231,0.12761,0.16724
2003,30-45 y.,5th Quintile,No,0.53557,939,1231,0.50770,0.56344
2003,46-65 y.,1st Quintile,No,0.95885,855,855,0.94553,0.97217
2003,46-65 y.,2nd Quintile,Yes,0.05571,42,939,0.04103,0.07038
2003,46-65 y.,2nd Quintile,No,0.90844,897,939,0.88998,0.92689
2003,46-65 y.,3rd Quintile,Yes,0.07067,79,1133,0.05574,0.08560
2003,46-65 y.,3rd Quintile,No,0.84855,1054,1133,0.82767,0.86943
2003,46-65 y.,4th Quintile,Yes,0.10465,152,1375,0.08846,0.12083
2003,46-65 y.,4th Quintile,No,0.78249,1223,1375,0.76068,0.80430
2003,46-65 y.,5th Quintile,Yes,0.15869,474,1781,0.14172,0.17567
2003,46-65 y.,5th Quintile,No,0.50568,1307,1781,0.48245,0.52891
2003,66 and older,1st Quintile,No,0.93776,654,654,0.91923,0.95629
2003,66 and older,2nd Quintile,No,0.94208,829,829,0.92617,0.95799
2003,66 and older,3rd Quintile,Yes,0.06355,39,716,0.04567,0.08143
2003,66 and older,3rd Quintile,No,0.86755,677,716,0.84270,0.89240
2003,66 and older,4th Quintile,Yes,0.13043,62,506,0.10106,0.15980
2003,66 and older,4th Quintile,No,0.76546,444,506,0.72851,0.80242
2003,66 and older,5th Quintile,Yes,0.17934,149,520,0.14633,0.21234
2003,66 and older,5th Quintile,No,0.54381,371,520,0.50095,0.58666
2004,17-29 y.,1st Quintile,Yes,0.03433,35,858,0.02214,0.04652
2004,17-29 y.,1st Quintile,No,0.92158,823,858,0.90358,0.93958
2004,17-29 y.,2nd Quintile,Yes,0.08008,55,696,0.05990,0.10026
2004,17-29 y.,2nd Quintile,No,0.85411,641,696,0.82787,0.88035
2004,17-29 y.,3rd Quintile,Yes,0.08967,67,688,0.06830,0.11103
2004,17-29 y.,3rd Quintile,No,0.84352,621,688,0.81635,0.87069
2004,17-29 y.,4th Quintile,Yes,0.11458,79,653,0.09013,0.13903
2004,17-29 y.,4th Quintile,No,0.80876,574,653,0.77857,0.83895
2004,17-29 y.,5th Quintile,Yes,0.14780,119,612,0.11966,0.17594
2004,17-29 y.,5th Quintile,No,0.59292,493,612,0.55396,0.63187
2004,30-45 y.,1st Quintile,Yes,0.05616,46,890,0.04103,0.07130
2004,30-45 y.,1st Quintile,No,0.91247,844,890,0.89389,0.93105
2004,30-45 y.,2nd Quintile,Yes,0.09623,88,1124,0.07898,0.11348
2004,30-45 y.,2nd Quintile,No,0.86691,1036,1124,0.84704,0.88677
2004,30-45 y.,3rd Quintile,Yes,0.10014,128,1144,0.08273,0.11754
2004,30-45 y.,3rd Quintile,No,0.82361,1016,1144,0.80151,0.84571
2004,30-45 y.,4th Quintile,Yes,0.13706,182,1216,0.11772,0.15639
2004,30-45 y.,4th Quintile,No,0.71153,1034,1216,0.68606,0.73701
2004,30-45 y.,5th Quintile,Yes,0.15012,282,1160,0.12955,0.17068
2004,30-45 y.,5th Quintile,No,0.53179,878,1160,0.50306,0.56052
2004,46-65 y.,1st Quintile,No,0.91863,801,801,0.89969,0.93758
2004,46-65 y.,2nd Quintile,Yes,0.06373,54,962,0.04829,0.07917
2004,46-65 y.,2nd Quintile,No,0.89014,908,962,0.87037,0.90991
2004,46-65 y.,3rd Quintile,Yes,0.07417,93,1079,0.05853,0.08982
2004,46-65 y.,3rd Quintile,No,0.84895,986,1079,0.82757,0.87033
2004,46-65 y.,4th Quintile,Yes,0.12279,160,1274,0.10476,0.14082
2004,46-65 y.,4th Quintile,No,0.76981,1114,1274,0.74669,0.79293
2004,46-65 y.,5th Quintile,Yes,0.17160,496,1774,0.15405,0.18915
2004,46-65 y.,5th Quintile,No,0.48450,1278,1774,0.46124,0.50776
2004,66 and older,1st Quintile,No,0.94169,590,590,0.92276,0.96061
2004,66 and older,2nd Quintile,Yes,0.04457,37,876,0.03090,0.05824
2004,66 and older,2nd Quintile,No,0.92652,839,876,0.90923,0.94381
2004,66 and older,3rd Quintile,Yes,0.05450,40,746,0.03820,0.07080
2004,66 and older,3rd Quintile,No,0.88483,706,746,0.86190,0.90775
2004,66 and older,4th Quintile,Yes,0.11152,69,645,0.08721,0.13583
2004,66 and older,4th Quintile,No,0.79977,576,645,0.76886,0.83068
2004,66 and older,5th Quintile,Yes,0.22811,173,504,0.19144,0.26478
2004,66 and older,5th Quintile,No,0.49770,331,504,0.45401,0.54140
2005,17-29 y.,1st Quintile,Yes,0.07577,51,854,0.05801,0.09353
2005,17-29 y.,1st Quintile,No,0.86905,803,854,0.84641,0.89169
2005,17-29 y.,2nd Quintile,Yes,0.05932,50,701,0.04182,0.07682
2005,17-29 y.,2nd Quintile,No,0.90242,651,701,0.88043,0.92440
2005,17-29 y.,3rd Quintile,Yes,0.08596,58,634,0.06413,0.10780
2005,17-29 y.,3rd Quintile,No,0.80922,576,634,0.77861,0.83982
2005,17-29 y.,4th Quintile,Yes,0.12414,83,644,0.09866,0.14963
2005,17-29 y.,4th Quintile,No,0.78595,561,644,0.75425,0.81766
2005,17-29 y.,5th Quintile,Yes,0.18135,115,548,0.14906,0.21364
2005,17-29 y.,5th Quintile,No,0.57532,433,548,0.53390,0.61674
2005,30-45 y.,1st Quintile,Yes,0.05720,43,839,0.04147,0.07292
2005,30-45 y.,1st Quintile,No,0.90115,796,839,0.88094,0.92136
2005,30-45 y.,2nd Quintile,Yes,0.09949,96,980,0.08074,0.11824
2005,30-45 y.,2nd Quintile,No,0.84660,884,980,0.82403,0.86918
2005,30-45 y.,3rd Quintile,Yes,0.12174,155,1084,0.10226,0.14121
2005,30-45 y.,3rd Quintile,No,0.80441,929,1084,0.78079,0.82804
2005,30-45 y.,4th Quintile,Yes,0.15655,209,1140,0.13545,0.17765
2005,30-45 y.,4th Quintile,No,0.69485,931,1140,0.66811,0.72159
2005,30-45 y.,5th Quintile,Yes,0.16426,265,1095,0.14231,0.18622
2005,30-45 y.,5th Quintile,No,0.52180,830,1095,0.49220,0.55140
2005,46-65 y.,1st Quintile,Yes,0.03833,32,756,0.02464,0.05203
2005,46-65 y.,1st Quintile,No,0.92399,724,756,0.90509,0.94290
2005,46-65 y.,2nd Quintile,Yes,0.07836,70,939,0.06116,0.09556
2005,46-65 y.,2nd Quintile,No,0.87020,869,939,0.84869,0.89170
2005,46-65 y.,3rd Quintile,Yes,0.10238,98,1026,0.08382,0.12094
2005,46-65 y.,3rd Quintile,No,0.81297,928,1026,0.78910,0.83684
2005,46-65 y.,4th Quintile,Yes,0.10832,158,1251,0.09109,0.12554
2005,46-65 y.,4th Quintile,No,0.76593,1093,1251,0.74246,0.78940
2005,46-65 y.,5th Quintile,Yes,0.18032,469,1637,0.16169,0.19895
2005,46-65 y.,5th Quintile,No,0.46843,1168,1637,0.44425,0.49261
2005,66 and older,1st Quintile,No,0.94180,565,565,0.92248,0.96112
2005,66 and older,2nd Quintile,Yes,0.04659,41,919,0.03296,0.06023
2005,66 and older,2nd Quintile,No,0.92963,878,919,0.91308,0.94617
2005,66 and older,3rd Quintile,Yes,0.08068,56,720,0.06077,0.10058
